"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.01521301,0.01441675,0.002908114,0.08970443,0.1265347,0.2166952,0.1047299,0.0009136083,0.5460564,0.001230197,0.04888136,0.01457751,0.06649745,0.0004533302,0.006100947,0.0208288,0.06431162,0.01557743,0.1444455,0.0009122172,0.007287059,0.009637731,0.007227841,0.00894224,0.02597479,0.0008883182,0.00615473,0.01492107,0.02481465,0.06626932,0.08477885,0.02015118,0.01376185,0.009629219,0.00291972,0.01107273,0.02293696,0.006330087,0.03194711,0.0005304433,0.01097645,0.041995,0.04450079,0.01186431,0.03846177,1.694593,1.830262,1.98724,0.7818224,1.226832,1.097936,0.336237,0.08666079,4.100792,20.39234,2.123053,1.139386,0.7593969,0.8323616,0.4510016,1.297171,5.532185,2.790196,1.57306,5.111691,21.3585,31.0325,25.12701,6.32815,38.5148,5.521217,10.63764,8.925471,0.5248893,8.612229,14.53478,0.4534303,15.90614,27.13671,14.99368,126.2358,153.2795,353.0497
12,0.01519017,0.01435001,0.002867979,0.08988503,0.1253746,0.215447,0.1024904,0.0008820526,0.5553607,0.00120243,0.04840899,0.01467477,0.06719904,0.0004779749,0.006228855,0.02108219,0.06493295,0.01587648,0.1446566,0.000943603,0.007273713,0.00997272,0.006705659,0.009233933,0.02602833,0.001034662,0.006337783,0.01567065,0.02433706,0.06864864,0.08625799,0.02017554,0.01372537,0.00966975,0.00295839,0.01110693,0.02284637,0.00632081,0.03256052,0.0003384457,0.009039961,0.04247285,0.04434483,0.01179384,0.03848491,1.713237,1.828607,2.006268,0.7930251,1.294782,1.107784,0.3324963,0.08659171,4.119572,20.33784,2.153439,1.114397,0.7770118,0.8435666,0.4514734,1.321153,5.531382,2.842305,1.611679,5.293171,21.79905,31.24808,26.37199,6.406506,38.19252,5.365901,10.38599,8.822412,0.522122,9.718159,12.93253,0.4516401,14.22899,25.69777,14.1347,108.9579,148.1702,369.8832
13,0.01517044,0.01428385,0.002828679,0.09018427,0.124274,0.2140533,0.100316,0.0008634063,0.5445799,0.001227838,0.04807147,0.01481152,0.06771629,0.0005027768,0.006262492,0.02156668,0.06564163,0.01624443,0.1462482,0.0009667109,0.007292902,0.01030441,0.006689386,0.009227805,0.02585777,0.001158096,0.006564953,0.01665616,0.02468008,0.06853827,0.08901693,0.02021133,0.01364119,0.009706679,0.003022666,0.01115059,0.02275531,0.006302042,0.03313061,0.0001774256,0.007335867,0.04304897,0.04413263,0.01169182,0.03859217,1.738054,1.831192,2.028243,0.8062102,1.373,1.118603,0.330624,0.08664191,4.154228,20.25518,2.192364,1.091754,0.801649,0.8540846,0.4535178,1.332629,5.574154,2.914001,1.654417,5.375289,21.95565,31.31359,26.87599,6.366755,35.49572,5.177447,9.983918,8.602702,0.5058976,9.328831,11.86262,0.4476548,12.13545,25.27814,14.05337,89.73021,141.3174,384.1541
14,0.01515235,0.01421831,0.002790228,0.09051237,0.1232048,0.2125937,0.09822218,0.0008572122,0.523459,0.0012527,0.04774972,0.01496182,0.06814442,0.0005222786,0.006258172,0.02209343,0.06639187,0.01665117,0.1483812,0.0009910302,0.007298369,0.01056721,0.006768935,0.009195229,0.02571394,0.001218029,0.006787415,0.01764088,0.02510883,0.06925694,0.09153812,0.02025329,0.01354518,0.009742768,0.003092902,0.01120215,0.02266547,0.006279114,0.03368092,9.461254E-05,0.005967789,0.04365025,0.04391358,0.01158732,0.03876484,1.765765,1.83673,2.051308,0.8187,1.440948,1.129638,0.3294568,0.08675189,4.195447,20.20276,2.219329,1.068264,0.8274346,0.8669599,0.4550599,1.327229,5.597395,2.987557,1.688727,5.336703,21.93233,31.25086,26.65618,6.274622,32.2707,5.052342,9.787527,8.491179,0.4871844,8.088989,11.51222,0.4428081,10.76366,25.57415,14.26224,81.41029,135.5733,389.9043
15,0.01513468,0.01415342,0.00275258,0.09076762,0.1221554,0.2113242,0.09618481,0.0008549879,0.4994365,0.001281941,0.04744413,0.01511623,0.06861267,0.0005248351,0.006248079,0.02264233,0.06716026,0.0171102,0.1503641,0.001003529,0.007357842,0.01073585,0.006906698,0.009153362,0.0255757,0.001208048,0.006951713,0.01849339,0.02531241,0.07077998,0.09354874,0.02029979,0.01344933,0.009780974,0.003158765,0.01125905,0.02257745,0.006256715,0.03421977,6.685955E-05,0.004973387,0.04424511,0.0437564,0.01152268,0.03897971,1.792593,1.84339,2.073662,0.8289887,1.488974,1.140375,0.3284394,0.08696365,4.237392,20.23846,2.223242,1.042799,0.8476967,0.8822286,0.4551924,1.31108,5.561382,3.045367,1.705085,5.220192,21.83898,31.0989,25.95792,6.172179,29.49733,5.025172,9.779095,8.511209,0.4748475,6.596297,11.81511,0.4383329,10.22242,26.35384,14.77921,83.31018,132.3507,388.4286
16,0.01511665,0.01408919,0.002715698,0.09088515,0.1211227,0.210487,0.09418517,0.0008622743,0.4776299,0.001308771,0.04715489,0.01527073,0.06929713,0.0005186877,0.006198644,0.02322125,0.06793045,0.01749708,0.151273,0.001002546,0.007449379,0.01087769,0.007081807,0.00901775,0.02550632,0.001149922,0.006999339,0.01905403,0.02554089,0.07242633,0.0956634,0.02035045,0.01335867,0.009825132,0.003215863,0.01131839,0.02249213,0.006239127,0.03475044,6.921034E-05,0.004467929,0.0448326,0.04367318,0.0115288,0.03920955,1.815773,1.849373,2.094003,0.8360956,1.514272,1.150482,0.3272907,0.08732967,4.27654,20.38247,2.206088,1.01601,0.8584377,0.8990864,0.4535613,1.29379,5.461195,3.077696,1.701521,5.089627,21.8137,30.92138,25.13707,6.087199,27.69856,5.078054,9.877253,8.600616,0.4718133,5.376549,12.55868,0.4352543,10.20226,26.40323,14.81322,89.68046,132.2023,383.9124
17,0.01509788,0.01402566,0.002679498,0.09081826,0.1201085,0.2100594,0.09220719,0.0008805242,0.4615403,0.001320091,0.04686464,0.01542313,0.07057509,0.0005020767,0.006107236,0.02383146,0.06869545,0.01751828,0.1498716,0.000996329,0.007487699,0.01098316,0.007337607,0.008892192,0.02543662,0.001080426,0.006966976,0.01932581,0.02573056,0.07449041,0.0974194,0.02040548,0.01327615,0.009880796,0.003264902,0.01137778,0.02241062,0.006231567,0.03527464,0.0001348614,0.005331296,0.04544657,0.04361793,0.01163899,0.03942882,1.834042,1.853453,2.111707,0.8375137,1.519695,1.159262,0.32592,0.08785427,4.311756,20.72281,2.175565,0.9899719,0.8548962,0.9150599,0.4493279,1.281004,5.312892,3.086576,1.667739,4.993057,21.82534,30.72235,24.19409,5.97135,27.01589,5.177165,9.891401,8.643538,0.4737651,4.679022,13.37641,0.4339131,10.59739,25.78215,14.45297,98.27921,133.4924,377.243
18,0.01507868,0.01396277,0.002644001,0.09058616,0.1191188,0.2098162,0.09023678,0.0009049717,0.4553033,0.001323302,0.04657055,0.0155718,0.07244914,0.000479027,0.006033695,0.02441556,0.06943155,0.01713453,0.147194,0.0009889485,0.007527011,0.01104783,0.007694129,0.008657431,0.02544991,0.001012048,0.00688163,0.01935899,0.02597458,0.0761192,0.09960558,0.02046542,0.01320374,0.009947407,0.003307575,0.01143554,0.02233374,0.006236738,0.03579314,0.0002392046,0.008056371,0.04606579,0.04355672,0.01182404,0.0396138,1.84674,1.854613,2.125982,0.8323782,1.507666,1.165897,0.3243012,0.08847649,4.342151,21.32042,2.139146,0.9662099,0.8360406,0.9287952,0.4419106,1.27536,5.139406,3.078059,1.600739,4.94625,21.74085,30.47998,23.08339,5.787235,27.34836,5.272375,9.735595,8.561749,0.4760154,4.510184,13.77755,0.4340127,11.30202,25.86757,14.58924,107.1278,134.3918,368.1947
19,0.01505953,0.01390046,0.002609214,0.09026576,0.1181573,0.2095797,0.08827332,0.0009289706,0.4631354,0.001308736,0.04625397,0.01571585,0.07461295,0.0004517219,0.006003413,0.02495424,0.07010522,0.01656341,0.144123,0.0009830132,0.007603325,0.01104746,0.008100787,0.008387523,0.02552055,0.0009633054,0.00678414,0.01923764,0.02606511,0.07838436,0.1010431,0.02053036,0.01314177,0.0100199,0.003345529,0.01148978,0.02226154,0.006250852,0.03630545,0.0002791787,0.009991036,0.04665918,0.04349154,0.01203048,0.0397421,1.853521,1.851991,2.136657,0.8238334,1.485223,1.170684,0.3224151,0.089081,4.366139,22.0218,2.099798,0.9440591,0.8110572,0.9431942,0.4320131,1.275528,4.9641,3.058509,1.521737,4.948247,21.61173,30.23491,22.1648,5.634352,28.30767,5.326058,9.634734,8.45036,0.4787294,4.783205,13.9479,0.4351397,12.46515,27.01455,15.32924,117.539,135.3288,359.7695
20,0.01504145,0.01383869,0.002575143,0.08992244,0.1172253,0.2092653,0.08631779,0.0009508905,0.4860623,0.001296484,0.04589594,0.01585521,0.07688507,0.000428912,0.006062243,0.02542244,0.07070724,0.01593467,0.1408616,0.0009864764,0.00768592,0.01102572,0.008577862,0.008112499,0.02559945,0.0009377382,0.006668468,0.01907225,0.0263563,0.08054133,0.1022279,0.02060032,0.01308889,0.01009522,0.003380059,0.01153949,0.02219336,0.006269807,0.03681095,0.0003375836,0.01126345,0.04722059,0.04342603,0.01221265,0.03980973,1.855247,1.84556,2.144166,0.8137053,1.457347,1.174355,0.3203077,0.08959341,4.383958,22.69952,2.059215,0.9219837,0.7867937,0.9600908,0.420862,1.277768,4.804299,3.035583,1.447853,5.005484,21.61509,30.04772,21.64615,5.571298,29.25995,5.360368,9.783022,8.433176,0.4855644,5.330758,14.24287,0.4378414,13.8681,27.67739,15.62121,126.7663,137.68,356.7148
