"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,86
Timestep, Region,"lionfish juv"_0,"lionfish juv"_1,"lionfish juv"_2,"lionfish juv"_3,"lionfish juv"_4,"lionfish juv"_5,"lionfish adult"_6,"lionfish adult"_7,"lionfish adult"_8,"lionfish adult"_9,"lionfish adult"_10,"lionfish adult"_11,"lionfish adult"_12,"lionfish adult"_13,"lionfish adult"_14,"lionfish adult"_15,"lionfish adult"_16,"lionfish adult"_17,"lionfish adult"_18,"lionfish adult"_19,"lionfish adult"_20,"lionfish adult"_21,"lionfish adult"_22,"lionfish adult"_23,"lionfish adult"_24,"lionfish adult"_25,"lionfish adult"_26,"lionfish adult"_27,"lionfish adult"_28,"lionfish adult"_29,"lionfish adult"_30,"lionfish adult"_31,"lionfish adult"_32,"lionfish adult"_33,"lionfish adult"_34,"lionfish adult"_35,"lionfish adult"_36,"lionfish adult"_37,"lionfish adult"_38,"lionfish adult"_39,"lionfish adult"_40,"lionfish adult"_41,"lionfish adult"_42,"lionfish adult"_43,"lionfish adult"_44,"lionfish adult"_45,"lionfish adult"_46,"lionfish adult"_47,"lionfish adult"_48,"lionfish adult"_49,"lionfish adult"_50,"lionfish adult"_51,"lionfish adult"_52,"lionfish adult"_53,"lionfish adult"_54,"lionfish adult"_55,"lionfish adult"_56,"lionfish adult"_57,"lionfish adult"_58,"lionfish adult"_59,"lionfish adult"_60,"lionfish adult"_61,"lionfish adult"_62,"lionfish adult"_63,"lionfish adult"_64,"lionfish adult"_65,"lionfish adult"_66,"lionfish adult"_67,"lionfish adult"_68,"lionfish adult"_69,"lionfish adult"_70,"lionfish adult"_71,"lionfish adult"_72,"lionfish adult"_73,"lionfish adult"_74,"lionfish adult"_75,"lionfish adult"_76,"lionfish adult"_77,"lionfish adult"_78,"lionfish adult"_79,"lionfish adult"_80,"lionfish adult"_81,"lionfish adult"_82,"lionfish adult"_83,"lionfish adult"_84,"lionfish adult"_85,"lionfish adult"_86
0,Ecosim Base Values,0,5.666545E-05,0.000427704,0.001362444,0.003049318,0.005625577,0.009185682,0.01378854,0.01946376,0.02621698,0.03403446,0.04288705,0.05273342,0.06352301,0.07519837,0.08769715,0.1009538,0.114901,0.1294708,0.1445956,0.1602087,0.1762452,0.1926425,0.2093402,0.2262809,0.2434101,0.2606766,0.2780321,0.2954316,0.3128334,0.3301988,0.3474921,0.3646809,0.3817353,0.3986284,0.4153358,0.4318356,0.4481083,0.4641368,0.4799058,0.4954022,0.5106146,0.5255334,0.5401505,0.5544596,0.5684552,0.5821335,0.5954916,0.608528,0.6212418,0.6336331,0.6457028,0.6574525,0.6688846,0.6800018,0.6908075,0.7013056,0.7115002,0.7213961,0.7309979,0.740311,0.7493405,0.7580923,0.7665719,0.7747852,0.7827382,0.7904369,0.7978873,0.8050955,0.8120678,0.81881,0.8253284,0.831629,0.8377178,0.8436006,0.8492833,0.8547719,0.8600718,0.8651888,0.8701285,0.8748959,0.8794968,0.8839361,0.8882189,0.8923503,0.8963351,0.9163717
1,2,9.999945E-11,1.155921E-05,9.234423E-05,0.0003025656,0.0008965436,0.002175412,0.004484645,0.007497346,0.01165002,0.01371595,0.0138621,0.01538853,0.0168411,0.02013646,0.02626632,0.03636662,0.04404462,0.0511862,0.06310171,0.06817742,0.07835457,0.08550688,0.1047643,0.1361113,0.1601067,0.2353481,0.292121,0.3313129,0.390876,0.4695998,0.5221997,0.558574,0.6138299,0.6599137,0.7346323,0.7591129,0.8580083,1.084829,0.9725154,0.9755178,1.029785,1.075599,1.128299,1.197229,1.30083,1.603005,1.649708,1.425034,1.540145,2.308513,1.558517,1.764261,2.186234,1.837091,1.669157,1.95968,1.815643,2.208114,1.933707,1.85226,2.748997,2.331301,2.757481,2.048576,2.524301,2.134492,2.122305,3.772844,2.482088,2.728138,2.353965,2.30261,6.41405,2.37747,2.477518,2.541453,3.597057,3.179635,3.789475,3.215626,4.104037,2.904147,3.016873,3.910087,2.899616,3.002578,2.52032
2,2,9.999945E-11,7.974311E-06,6.322271E-05,0.0002045939,0.0004633618,0.00110118,0.002367888,0.004479218,0.00732301,0.01107341,0.01293969,0.01328126,0.01513076,0.01625397,0.01920289,0.02477848,0.03415681,0.04122208,0.0477166,0.05866425,0.0630892,0.07299898,0.07910477,0.09578201,0.1243434,0.1453145,0.2136426,0.2645624,0.2976323,0.356598,0.4280261,0.4662595,0.5005609,0.5486892,0.5881345,0.6619343,0.6790847,0.7726048,0.9685106,0.8694619,0.8687708,0.9221837,0.9648308,1.003452,1.064231,1.155972,1.423121,1.477352,1.38863,1.369879,2.059293,1.385599,1.570292,2.040094,1.702048,1.486851,1.868944,1.615751,1.963825,1.724068,1.782934,2.871078,2.068724,2.450085,1.817109,2.672769,1.898358,1.888404,3.343805,2.201452,2.678306,2.090103,2.247185,5.826234,2.108374,2.235581,2.411662,3.184819,2.830073,3.358546,2.861979,3.660612,2.578298,2.675681,3.875336,2.568489,2.661746
3,2,9.999945E-11,7.459902E-06,5.80302E-05,0.000183205,0.0004022571,0.000725373,0.001426527,0.002693905,0.004742389,0.007636154,0.01092425,0.0125693,0.01314149,0.01506399,0.0163424,0.01879963,0.02402632,0.03278309,0.03931886,0.04546126,0.05563922,0.0593362,0.06921097,0.0745053,0.08876392,0.1146987,0.1352511,0.1998601,0.2423285,0.2687158,0.3291595,0.3858609,0.4350197,0.4533947,0.5019167,0.5267859,0.6035461,0.607832,0.6946828,0.8691864,0.7758748,0.7794821,0.8259594,0.9067172,0.8992037,0.950273,1.030144,1.309714,1.326837,1.236997,1.321527,1.832726,1.326093,1.400205,1.871384,1.515105,1.319867,1.707462,1.435289,1.744856,1.729925,1.609554,2.810337,1.89782,2.17982,1.617907,2.728469,1.690929,1.67787,2.970153,2.008627,2.422557,1.858769,2.396451,5.401443,1.886632,1.987999,2.168456,2.876871,2.517011,3.706674,2.543494,3.277822,2.506608,2.776824,3.437904,12.9043
4,2,9.999945E-11,1.291076E-05,9.856893E-05,0.0002739001,0.0005488924,0.0009193051,0.001372379,0.002270978,0.003552316,0.005620706,0.00889775,0.01168784,0.0135967,0.01414443,0.01620259,0.01761317,0.01975039,0.02541551,0.03327427,0.0395953,0.04575054,0.05538273,0.05872632,0.06912852,0.07309946,0.08541655,0.1147092,0.139107,0.1853869,0.2288722,0.2569912,0.3166327,0.3630259,0.4226905,0.4219876,0.4599346,0.4812903,0.5495259,0.5565461,0.6257048,0.8204983,0.7040324,0.7033842,0.7454584,0.8628796,0.8532039,0.8523088,0.9236206,1.172593,1.214218,1.122043,1.267182,1.642946,1.243175,1.250898,1.70777,1.407931,1.336175,1.521892,1.283288,1.560967,1.564586,1.480374,2.561267,1.746655,1.944085,1.447023,2.899719,1.521662,1.503803,2.861268,1.841469,2.397673,1.67113,2.135127,4.862385,1.683347,1.779755,1.978661,2.561102,2.244059,3.312305,2.27263,3.132137,2.233187,2.487897,3.902204
5,2,9.999945E-11,4.536288E-05,0.0003885649,0.0008410744,0.001621958,0.002463105,0.003503893,0.00373869,0.005660808,0.007193012,0.009789905,0.01471014,0.01676174,0.0194431,0.02023222,0.02314322,0.02639967,0.02743044,0.03554931,0.04241024,0.05099375,0.05776588,0.06781195,0.07155348,0.08465032,0.08982038,0.09644934,0.1299277,0.1490782,0.1894241,0.2395507,0.256094,0.33086,0.3932593,0.4106786,0.4812227,0.4820885,0.4607732,0.535082,0.526046,0.5953714,0.7895952,0.6601942,0.6775718,0.7005265,0.8251263,0.8053092,0.7929459,0.8631675,1.126588,1.125527,1.041285,1.274163,4.369551,1.181848,1.724933,1.807422,1.311396,1.230371,1.479105,1.182425,4.524425,1.734352,1.356124,5.505804,1.608914,1.984079,1.422359,6.312679,1.394311,1.391654,2.7541,1.683362,2.186805,1.621356,1.947831,7.933147,1.875411,1.629847,1.794034,2.540124,2.065042,3.243338,2.076772,3.026985,2.124317,2.591333
6,2,9.999945E-11,0.0001372403,0.0009154628,0.002613395,0.004714292,0.007465279,0.01001924,0.008281208,0.01039167,0.01503438,0.01751015,0.02153403,0.0297586,0.03298466,0.03293538,0.036379,0.04267491,0.04942191,0.04772563,0.05869802,0.06902081,0.08323886,0.09353001,0.1070954,0.1077962,0.1232446,0.1280382,0.128682,0.1826401,0.1882709,0.2772847,0.2867244,0.2973924,0.375686,0.4715589,0.4567398,0.5903928,0.724913,0.4886897,0.5635209,0.5436609,0.6171533,0.8434021,0.7170544,0.7087112,0.7041379,0.845004,0.8164535,0.789475,0.8656163,1.14876,1.324009,1.051027,1.434353,4.046547,1.209658,1.628712,5.307658,1.338524,1.208483,1.551127,1.187688,4.216423,2.154356,1.34605,5.174996,3.497149,1.870307,1.508186,5.938948,1.475642,1.396509,2.784027,1.60431,2.313152,1.701792,1.841359,7.448641,2.511322,1.840655,1.689612,2.367806,2.069658,3.003436,2.025915,3.348812,2.211505
7,2,9.999945E-11,0.00021654,0.001542698,0.004229609,0.008462088,0.01356927,0.01956763,0.01343636,0.013932,0.01838781,0.02528401,0.02899025,0.03472762,0.04581026,0.05095453,0.0470347,0.05244063,0.06118006,0.07076744,0.06741155,0.08282481,0.09500059,0.1140673,0.1279095,0.1465925,0.1445226,0.1579232,0.1642192,0.1622965,0.2280151,0.2243925,0.3027858,0.3373023,0.3442773,0.4234223,0.5349567,0.4939359,0.5979212,0.7966266,0.5194513,0.5908887,0.5601684,0.6382399,0.8631516,0.730374,0.742379,0.7026414,0.8688876,0.8383061,0.7865275,0.8908383,1.124175,1.269738,1.026689,1.564325,3.722179,1.237137,1.546385,8.386786,1.323534,1.200016,1.47391,1.14715,3.903179,2.061383,1.296658,4.863473,6.905158,1.773715,1.468959,5.618849,1.424281,1.364715,2.576751,1.534464,2.200249,1.620292,1.751836,6.845148,2.560023,1.753628,1.601629,2.239066,1.962847,2.786317,1.92458,3.107611
8,2,9.999945E-11,0.0002458015,0.001826389,0.005600628,0.01137828,0.01926141,0.02829629,0.02251527,0.01802963,0.02085519,0.02695613,0.03634629,0.04126467,0.04892972,0.0615914,0.07033445,0.06103665,0.0684898,0.08102635,0.09146676,0.08569998,0.1095512,0.1198891,0.143631,0.1608627,0.1806641,0.1789913,0.1890386,0.1932587,0.1951914,0.2883531,0.2810653,0.3297115,0.3795286,0.3818416,0.4667184,0.5568431,0.539764,0.6046492,0.8621842,0.5461091,0.6128472,0.5815952,0.6607426,0.8735483,0.7505746,0.7632573,0.7090548,0.9104582,0.8687587,0.7942125,0.9036482,1.102952,1.219656,1.002015,1.673147,3.45441,1.268276,1.47874,7.516685,1.334984,1.175038,1.399537,1.112149,3.56777,1.969596,1.247844,4.563395,6.22276,1.688882,1.435262,5.252361,1.3699,1.330042,2.392646,1.503645,2.089329,1.556817,1.666395,6.249191,2.581325,1.668511,1.522938,2.099025,1.90588,2.603394,1.858599
9,2,9.999945E-11,0.0002148702,0.001568245,0.005050369,0.01198896,0.02145589,0.03304718,0.03020988,0.02710544,0.0243633,0.02898179,0.03709852,0.0490709,0.05476882,0.06393229,0.0802749,0.08866002,0.07653745,0.08585615,0.1017244,0.1158298,0.1047472,0.1349424,0.1500919,0.1740223,0.1917973,0.2142612,0.2096204,0.2200852,0.2249323,0.2262703,0.3503985,0.3574167,0.3570627,0.42231,0.4305305,0.5111473,0.5883907,0.579302,0.6146029,0.8556706,0.5767078,0.6359901,0.6130639,0.6914734,0.8845678,0.7648389,0.8017754,0.7313128,0.9543841,0.9002966,0.7998689,0.9224293,1.100303,1.181389,0.9840652,1.777988,3.232651,1.303269,1.431052,6.801731,1.703268,1.177569,1.371153,1.090608,3.270192,1.884831,1.208634,4.165461,5.621019,1.658635,1.41578,4.964916,1.327027,1.310578,2.237875,1.485646,2.004395,1.519256,1.600817,5.73859,2.598242,1.599536,1.456539,2.025731,1.868107,2.506055
