"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,86
Timestep, Region,"lionfish juv"_0,"lionfish juv"_1,"lionfish juv"_2,"lionfish juv"_3,"lionfish juv"_4,"lionfish juv"_5,"lionfish adult"_6,"lionfish adult"_7,"lionfish adult"_8,"lionfish adult"_9,"lionfish adult"_10,"lionfish adult"_11,"lionfish adult"_12,"lionfish adult"_13,"lionfish adult"_14,"lionfish adult"_15,"lionfish adult"_16,"lionfish adult"_17,"lionfish adult"_18,"lionfish adult"_19,"lionfish adult"_20,"lionfish adult"_21,"lionfish adult"_22,"lionfish adult"_23,"lionfish adult"_24,"lionfish adult"_25,"lionfish adult"_26,"lionfish adult"_27,"lionfish adult"_28,"lionfish adult"_29,"lionfish adult"_30,"lionfish adult"_31,"lionfish adult"_32,"lionfish adult"_33,"lionfish adult"_34,"lionfish adult"_35,"lionfish adult"_36,"lionfish adult"_37,"lionfish adult"_38,"lionfish adult"_39,"lionfish adult"_40,"lionfish adult"_41,"lionfish adult"_42,"lionfish adult"_43,"lionfish adult"_44,"lionfish adult"_45,"lionfish adult"_46,"lionfish adult"_47,"lionfish adult"_48,"lionfish adult"_49,"lionfish adult"_50,"lionfish adult"_51,"lionfish adult"_52,"lionfish adult"_53,"lionfish adult"_54,"lionfish adult"_55,"lionfish adult"_56,"lionfish adult"_57,"lionfish adult"_58,"lionfish adult"_59,"lionfish adult"_60,"lionfish adult"_61,"lionfish adult"_62,"lionfish adult"_63,"lionfish adult"_64,"lionfish adult"_65,"lionfish adult"_66,"lionfish adult"_67,"lionfish adult"_68,"lionfish adult"_69,"lionfish adult"_70,"lionfish adult"_71,"lionfish adult"_72,"lionfish adult"_73,"lionfish adult"_74,"lionfish adult"_75,"lionfish adult"_76,"lionfish adult"_77,"lionfish adult"_78,"lionfish adult"_79,"lionfish adult"_80,"lionfish adult"_81,"lionfish adult"_82,"lionfish adult"_83,"lionfish adult"_84,"lionfish adult"_85,"lionfish adult"_86
10,2,9.999945E-11,0.0001147733,0.0009420162,0.003212909,0.007946223,0.0168081,0.02856339,0.03327246,0.03212559,0.03084866,0.03046538,0.03569552,0.04543094,0.05891954,0.06468225,0.07391211,0.09567328,0.09919765,0.08818264,0.09783701,0.1163702,0.1300367,0.1178098,0.1522811,0.1685407,0.1922309,0.2116394,0.2345153,0.2294906,0.2383472,0.2423412,0.2470876,0.4131794,0.3926345,0.3757947,0.4562862,0.449351,0.523253,0.5966893,0.593434,0.6080664,0.8315449,0.9735604,0.6366353,0.6246942,0.6913915,0.866767,0.7575467,0.8089236,0.7331898,1.012342,0.9442536,0.7859572,0.9267195,1.530148,1.126962,0.946225,1.826474,3.048871,1.323056,1.363918,7.152947,1.879574,1.164951,1.299229,1.04635,2.984269,1.77784,1.170533,3.783655,5.583848,1.591127,1.373363,4.761429,1.264459,1.265138,2.075953,1.562994,1.896872,1.463287,1.515821,5.231969,2.410233,1.507952,1.377895,1.980732,1.776894
11,2,9.999945E-11,3.10598E-05,0.0003040427,0.001333487,0.003750915,0.008526994,0.01738445,0.02717371,0.03172339,0.03111908,0.03076227,0.03105067,0.03625144,0.04595698,0.05859321,0.06429053,0.07289687,0.09501455,0.09693363,0.08784904,0.09658317,0.1155295,0.1268818,0.1154611,0.1478855,0.1640853,0.185567,0.2042789,0.227215,0.2203831,0.2310853,0.2334072,0.2378801,0.3925306,0.3745277,0.3566518,0.4368369,0.4248644,0.4939584,0.5628211,0.5597802,0.562331,0.7641012,0.8889675,0.5928454,0.5848978,0.6466814,0.7985453,0.7001821,0.7561671,0.6762937,0.9395328,0.8696993,0.7268581,0.8620863,1.677601,1.026617,0.8738325,1.724007,2.745031,1.219854,1.244091,6.970399,1.871204,1.066817,1.182016,0.9566134,2.673321,1.619617,1.070883,3.380822,5.294345,1.464189,1.24809,4.398007,1.39936,1.190132,1.87171,1.426053,1.726048,1.340551,1.37654,4.696311,2.187859,1.379194,1.287131,1.805472
12,2,9.999945E-11,1.283641E-05,9.782105E-05,0.0004466604,0.001493954,0.003808364,0.008285746,0.01640968,0.02557981,0.02964181,0.02944659,0.02959823,0.03023074,0.03527359,0.04457917,0.05602678,0.06133255,0.06936906,0.09077945,0.09206796,0.08376423,0.09165362,0.110565,0.1193182,0.1089798,0.139782,0.1539971,0.1736927,0.1910194,0.2128084,0.2054186,0.2150931,0.2173314,0.2224484,0.3620185,0.3450733,0.3272539,0.4056554,0.3926996,0.4550965,0.5188068,0.5115905,0.5137389,0.6928572,0.8039522,0.5432193,0.5342268,0.5920262,0.724238,0.6368037,0.6882206,0.6129879,0.8575264,0.7893269,0.6610333,0.7867314,1.504068,0.9247919,0.7909201,1.581616,2.45568,1.107579,1.119405,6.727573,1.832436,0.9658136,1.235543,0.8632032,2.381648,1.632037,0.9663148,3.592558,5.286219,1.32664,1.132782,3.909992,1.409531,1.073121,1.674084,1.286942,2.162779,1.39545,1.236758,4.374376,2.588137,1.241645,1.160119
13,2,9.999945E-11,6.729428E-06,5.308267E-05,0.000177345,0.0005580374,0.001567915,0.003714843,0.008253451,0.01549415,0.02400016,0.02761882,0.02790193,0.02827627,0.0291049,0.03377564,0.04242841,0.05295215,0.05783569,0.06523926,0.08611261,0.08602201,0.07937471,0.08602293,0.1050979,0.1109819,0.1015557,0.1302027,0.143305,0.1621372,0.1770319,0.1961922,0.1895486,0.1977566,0.2009784,0.2047229,0.3347067,0.3155042,0.2986528,0.3764773,0.3639198,0.4183119,0.4819873,0.4646334,0.4783253,0.6256008,0.7220564,0.4951789,0.4869076,0.5363507,0.6554516,0.5755212,0.6271995,0.5534403,0.7803061,0.7169095,0.6003692,0.7110251,1.343421,0.8309447,0.8448814,1.475584,2.201448,3.318292,1.443733,5.955973,1.63566,0.8758946,1.10442,0.7766014,2.575226,1.47504,0.8719331,3.26311,8.670699,1.186204,1.017055,3.47577,1.430209,0.9649094,1.494534,1.153306,6.046283,1.250767,1.202223,3.881937,2.945404,1.116577
14,2,9.999945E-11,4.913592E-06,3.787343E-05,0.0001254002,0.0002799632,0.000680825,0.001649912,0.004066691,0.008385438,0.01480618,0.02304992,0.02591897,0.02658169,0.02712239,0.02797557,0.03244943,0.04047971,0.05030612,0.05474273,0.06152662,0.08078053,0.08143348,0.07501344,0.08109702,0.1005047,0.1043556,0.09489542,0.120771,0.1332834,0.1503851,0.1644141,0.182256,0.1770036,0.1821761,0.1862051,0.1895661,0.3083108,0.2893131,0.2723547,0.3472399,0.3354846,0.3927714,0.4399711,0.4264035,0.4344844,0.6197391,0.650394,0.4495314,0.4855358,0.4883899,0.6249264,0.5445192,0.566789,0.5042326,0.8654272,0.663305,0.5458528,0.6431942,1.200807,0.7455441,0.7737926,1.356688,2.3933,2.948132,1.467563,5.270814,1.459029,0.7984459,0.986621,0.7177575,2.291279,1.320345,0.7878982,2.894555,7.669643,1.060834,0.9140499,3.082369,1.383946,0.8746018,1.530815,1.037617,5.372455,1.250468,1.077107,3.444705,2.638254
15,2,9.999945E-11,5.269508E-06,4.065941E-05,0.0001224849,0.0002713244,0.0004669561,0.0009000396,0.002219704,0.004675175,0.008879848,0.01453113,0.02206774,0.02488471,0.02573158,0.0265901,0.02735041,0.03234132,0.03957119,0.04874454,0.05255442,0.058778,0.07754915,0.07773313,0.07230176,0.07746382,0.09630551,0.09833691,0.08983614,0.1134648,0.1258603,0.1411764,0.1545973,0.1696779,0.1642823,0.1698322,0.177535,0.1765133,0.2856491,0.2685772,0.2502612,0.3258012,0.3529317,0.3740655,0.4443012,0.387861,0.3979421,0.5692403,0.5873334,0.4112511,0.4448067,0.4437279,0.6124505,0.5262405,0.5173923,0.460045,0.7786275,0.6166604,0.4954076,0.5919343,1.27566,0.6716293,0.6987805,1.250859,2.335712,2.622781,1.308618,4.718637,1.302303,0.7246212,0.8846082,4.353619,2.189879,1.190535,12.67326,2.57025,6.790779,0.9508649,0.8319761,2.87393,1.365991,0.7870411,1.370135,0.9578868,4.768602,1.121265,1.092427,3.061452
16,2,9.999945E-11,8.973467E-06,6.582844E-05,0.000191481,0.0003884364,0.0006560528,0.0009545933,0.002078402,0.00336234,0.005999973,0.0104131,0.0156409,0.02263035,0.02525525,0.02621553,0.02760131,0.02830915,0.03362726,0.0405362,0.04951933,0.0528973,0.05849673,0.07731344,0.07669348,0.07187607,0.07715467,0.09561008,0.09584575,0.08893881,0.1105629,0.1214485,0.1378871,0.1525677,0.1614968,0.1565273,0.171139,0.1690421,0.1690176,0.2659783,0.2542363,0.2360066,0.3146741,0.3421749,0.3606557,0.4101495,0.3588893,0.3694907,0.5259799,1.021131,0.3813224,0.4170028,0.4107985,0.6420875,0.4871031,0.6676918,0.4242236,0.7101,0.5820253,0.4605629,0.5472497,1.163021,0.6129703,0.6391465,1.199098,2.117113,2.531773,1.174626,4.771212,1.167678,0.8968096,1.000906,3.865114,2.572523,1.081218,11.20633,2.290787,26.48552,0.8594351,0.7631749,2.579994,1.228239,0.7290103,1.394774,1.074458,4.238451,1.01485,1.235764
17,2,9.999945E-11,3.278194E-05,0.0002567868,0.0006242718,0.001199037,0.001840693,0.002607106,0.003674275,0.006238874,0.007428431,0.01116256,0.01722985,0.02256423,0.02882084,0.0320665,0.03449658,0.03585107,0.03633846,0.04319073,0.05129258,0.06283745,0.06871893,0.07256657,0.09301505,0.08947562,0.0826019,0.09043792,0.1117032,0.1088082,0.1017924,0.1251659,0.134329,0.1578285,0.1729893,0.1792172,0.1694026,0.1866732,0.1810801,0.1833632,0.2743266,0.2718851,0.2507936,0.3219062,0.3534214,0.3743109,0.4134004,0.3670228,0.3766146,0.5236258,0.9622492,0.3909703,0.4148651,0.4168327,0.6186196,0.4917292,1.36683,0.4198661,0.6865177,0.5721528,0.4572856,0.5488313,1.088768,0.5924001,0.6225037,1.319651,1.946331,2.297546,2.379585,4.271292,2.393717,0.8525181,0.9371504,3.477894,3.826322,1.033071,9.951579,2.0922,23.44876,0.8117039,0.7374047,2.352303,1.145249,0.7534474,1.513179,1.007611,3.832773,0.9710186
18,2,9.999945E-11,0.0001400105,0.0008141093,0.00193756,0.003539886,0.005544397,0.007627349,0.007821023,0.01184235,0.01675182,0.01791763,0.02399695,0.03526162,0.04012454,0.04525984,0.05150383,0.05557341,0.05679485,0.05696836,0.06656266,0.08148655,0.1004669,0.1072506,0.110043,0.13349,0.1275055,0.1142805,0.1263372,0.1534127,0.1673742,0.1385374,0.1717291,0.1775306,0.2165628,0.2256208,0.2383552,0.2188008,0.2478302,0.2288433,0.2379135,0.3263165,0.3516394,0.3131517,0.3743291,0.4190823,0.4410817,0.4679556,0.4305784,0.4353725,0.5884778,0.9880722,0.4468667,0.4781012,0.495887,0.6529051,0.5444332,3.034417,0.4652601,1.046698,0.6139464,0.5202252,0.6523965,1.087368,0.634896,0.8127329,1.594733,2.015162,3.668613,2.563484,3.903296,2.59282,0.9081681,0.949817,3.199013,4.190208,1.064082,8.972419,2.0523,20.85888,0.8315917,0.7860767,2.225736,1.151633,0.792399,1.480278,1.022259,3.615502
19,2,9.999945E-11,0.0001576539,0.001200662,0.003348972,0.006391267,0.0102487,0.01488699,0.01178837,0.01380546,0.01978581,0.02822305,0.02929517,0.03789764,0.0544772,0.056209,0.06225066,0.07040443,0.07519992,0.07783408,0.07786844,0.08893982,0.1144011,0.13771,0.1486968,0.1437802,0.1721098,0.1622759,0.1444215,0.1647684,0.1950768,0.2122007,0.1727399,0.2140406,0.2198754,0.2710729,0.2797488,0.2889561,0.2639678,0.2986835,0.2755014,0.2862845,0.3645912,0.418647,0.3711495,0.4135932,0.480535,0.4967495,0.5168121,0.4971995,0.4870825,0.633405,1.011456,0.5055243,0.5395662,0.575244,0.6921002,0.5934727,2.991531,0.5091208,1.238722,0.6523173,0.5675564,0.7445713,1.073125,0.673218,0.9787158,1.78445,2.081345,3.682694,2.593926,3.821352,2.645522,0.9352514,0.9739774,2.95387,4.145391,1.095432,8.065216,2.030316,18.54947,0.864599,0.825338,2.106131,1.170697,0.8297812,1.793287,1.245816
20,2,9.999945E-11,0.0002050884,0.001551189,0.004429679,0.009351742,0.0153798,0.02242645,0.01864802,0.0167417,0.02090137,0.0286854,0.04043927,0.04137091,0.05178508,0.07495548,0.07298846,0.08039789,0.09414269,0.0943746,0.09966552,0.09770174,0.1114235,0.147813,0.1787552,0.181917,0.1744397,0.2108847,0.1966501,0.169128,0.1983283,0.230306,0.2515031,0.206088,0.2571806,0.2698083,0.322626,0.3292002,0.3430336,0.3077664,0.3484181,0.3176083,0.340954,0.403729,0.477356,0.4217534,0.4572259,0.540706,0.5479323,0.5769485,0.6207107,0.535845,0.686273,1.029313,0.5584897,0.5734394,0.6501849,0.7285991,0.722922,2.77272,0.6309812,1.200389,0.8505866,0.6139778,0.9660934,1.066878,0.7010357,0.9781259,2.006194,2.141503,3.593894,2.42081,3.553014,2.55176,0.9646056,1.173062,2.734736,3.943597,1.263181,7.360279,2.012763,16.51582,0.8748263,0.8759791,2.085014,1.17724,1.032983,1.780811
