"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.01418076,0.008463426,0.001314268,0.06770197,0.05953654,0.135761,0.0145304,0.000846036,0.6381627,0.001331842,0.09705853,0.01252595,0.08522529,0.0005354777,0.008247743,0.01678866,0.08215465,0.01247703,0.1045333,0.001011931,0.006663656,0.007435895,0.005885396,0.004202217,0.0159903,0.001271076,0.007497845,0.02562255,0.04932421,0.08825904,0.09936508,0.01831199,0.01079734,0.01018039,0.002266441,0.008817836,0.01503775,0.005870097,0.04069228,0.00308963,0.01080206,0.06307672,0.02960949,0.009874849,0.03413438,1.666576,1.286973,1.975082,0.6663706,1.233763,1.10384,0.2371005,0.118642,3.852464,24.64619,1.791569,0.03941249,0.7656869,3.692933,0.3336025,1.452702,2.48862,3.142365,1.011504,5.306496,26.54955,24.45483,25.56331,5.827217,27.49182,5.309398,10.03082,8.92497,0.569328,6.724968,13.9869,0.3281711,12.95939,27.05374,14.97493,112.3924,141.5837,367.7375
12,0.01399416,0.00833866,0.001304089,0.0650524,0.05820248,0.1304321,0.01262289,0.0008272948,0.6194382,0.001331027,0.1157825,0.01140191,0.07310773,0.0004857112,0.008240213,0.01499373,0.08279965,0.01263471,0.1046518,0.0008841301,0.00628393,0.006602064,0.004558544,0.00331484,0.01512449,0.001121595,0.007072654,0.02320965,0.04430224,0.08420328,0.09150401,0.0183567,0.01097511,0.01001274,0.00204354,0.007651428,0.01466634,0.005838868,0.04059813,0.0003522028,0.01064812,0.06053026,0.02905081,0.008714176,0.03152544,1.551236,1.238232,1.947154,0.6508326,1.203436,1.141608,0.220187,0.1524762,3.871229,24.2201,1.976018,0.02053118,0.8548346,4.583928,0.3650908,1.53806,2.438041,3.119322,0.9489768,5.14455,28.33817,24.31519,27.07449,5.756192,28.27886,5.047898,9.49956,8.141003,0.5399075,7.090696,14.29201,0.3205662,13.95303,26.94428,14.78477,112.6343,141.1641,361.663
13,0.01128198,0.007537693,0.001377125,0.05686675,0.04785472,0.1115317,0.008933826,0.0008538244,0.6218787,0.001450995,0.1173577,0.009057402,0.06826357,0.0004514564,0.006953698,0.01068912,0.06929855,0.01176234,0.09530628,0.0009304941,0.006456463,0.006586134,0.004513097,0.002765223,0.01187174,0.001096228,0.007278241,0.02329543,0.04294194,0.0833458,0.08134466,0.01675534,0.0100865,0.008506803,0.002173536,0.007915501,0.01290371,0.005482964,0.03659795,0.007614309,0.009688321,0.05311076,0.02553273,0.008087086,0.02660486,1.455106,1.14993,1.756589,0.6377399,1.2637,1.053953,0.2093583,0.1642392,3.373743,19.48909,2.060064,0.02880495,0.850139,5.102575,0.3242888,1.396688,2.389137,2.901575,0.956425,5.450731,26.06477,23.47557,27.78481,5.823739,28.82344,4.874056,10.05134,8.46658,0.555225,6.647818,14.69905,0.2741802,12.20205,27.34016,15.08008,112.4486,143.4968,365.5511
14,0.01034448,0.007788071,0.001529093,0.05597768,0.04584121,0.1086304,0.008183205,0.0008483297,0.6024287,0.001660721,0.1359115,0.00956686,0.07180441,0.0004638524,0.007601595,0.01109152,0.06882171,0.01235862,0.09634912,0.0009125674,0.006710773,0.006937029,0.004813589,0.003488906,0.01097728,0.001000744,0.007046733,0.02328054,0.04179281,0.08306886,0.08257615,0.01676309,0.009451945,0.008591067,0.002773583,0.008541911,0.01186091,0.005178432,0.03593789,0.003781221,0.008319034,0.0540746,0.02505538,0.008181439,0.02767496,1.46464,1.210802,1.763733,0.6695108,1.336089,1.067133,0.2248871,0.160827,3.322923,19.67475,1.942324,0.05818161,0.812465,5.726789,0.2971096,1.38458,2.420884,2.779606,0.9904146,5.319483,23.87092,24.19134,27.0412,5.802139,28.15932,5.468899,10.15979,8.25582,0.5490103,6.076694,15.23391,0.2612641,11.77006,27.51256,15.30026,112.15,145.3608,365.1212
15,0.01062336,0.008867706,0.001764851,0.05903142,0.05317817,0.113783,0.008720695,0.0008817313,0.6204947,0.002228656,0.1695224,0.01094547,0.07885417,0.0004748695,0.008645973,0.01321527,0.07517763,0.01401887,0.1135728,0.0009700172,0.006972769,0.007643623,0.005349973,0.003872585,0.01214912,0.001065523,0.007142039,0.02314414,0.04271716,0.08797287,0.09517736,0.01802504,0.01027065,0.009338754,0.003395988,0.009495982,0.01219399,0.005212754,0.03854981,0.000328342,0.009947936,0.05846544,0.02676735,0.009043367,0.03040123,1.550336,1.355098,2.002548,0.7409486,1.408235,1.215947,0.3048642,0.1731241,3.755808,21.74285,2.332971,0.1270161,0.9744377,6.245253,0.4141929,1.628931,2.516498,2.826802,1.022192,5.306133,29.01309,26.29443,27.79381,5.775659,30.04482,5.367315,9.587079,8.238298,0.5215681,6.128132,13.84667,0.2660992,11.31443,26.7402,14.63457,112.578,139.0808,363.235
16,0.01079767,0.009918174,0.002015212,0.06164801,0.06079808,0.1180097,0.009635889,0.0008436069,0.6573337,0.002437069,0.2082868,0.01165336,0.08530784,0.0004647757,0.01006551,0.01573873,0.07822951,0.01419964,0.1129417,0.0009708232,0.007139316,0.007556359,0.005700724,0.004300728,0.01322353,0.00118826,0.00736887,0.02200825,0.04050492,0.08817863,0.1012728,0.01933336,0.01169872,0.01009877,0.003572463,0.01041783,0.01277325,0.005411347,0.04188749,0.1032275,0.02430082,0.06219148,0.02793335,0.009276423,0.03197961,1.586096,1.409582,2.006218,0.7580323,1.433744,1.233376,0.4791478,0.1571203,3.861492,22.33732,2.005013,0.2145133,0.8967782,5.544332,0.3739549,1.587452,2.525964,2.805229,1.041749,5.368948,26.69997,26.50846,26.04274,5.776943,29.60654,4.976314,9.837738,8.464849,0.5303469,6.181587,13.59493,0.2700939,11.95621,26.91747,14.82948,112.9355,138.9677,365.514
17,0.01125362,0.01062959,0.002127021,0.06475145,0.06665249,0.1229147,0.01093381,0.0008021132,0.6578911,0.002434222,0.2360947,0.01229858,0.0882523,0.0004754835,0.01086615,0.01915086,0.08349613,0.01464201,0.1199313,0.0009638585,0.007127084,0.007676929,0.005376136,0.004220382,0.01398626,0.001244973,0.007707409,0.02274398,0.03910577,0.08722539,0.1052206,0.0201355,0.01266335,0.01076792,0.003508063,0.01095196,0.01339385,0.005664709,0.04472958,0.0003575055,0.01538269,0.06549544,0.02908344,0.009611073,0.03328707,1.634282,1.462473,2.098401,0.7752108,1.455367,1.28725,0.687156,0.1501845,4.083636,23.47839,2.099221,0.270652,0.9295251,3.821493,0.3877711,1.652165,2.63723,2.838682,1.069789,5.469599,28.36676,27.17864,25.75072,5.764711,29.44468,5.089493,9.692524,8.326737,0.515043,6.198814,13.51397,0.2778372,11.66701,26.72996,14.783,112.3688,137.777,367.1924
18,0.01165649,0.01078327,0.002062006,0.06704386,0.0707851,0.1257378,0.01235359,0.0007894126,0.6659284,0.002019763,0.2435421,0.01255842,0.0880566,0.0004712696,0.01046444,0.02221405,0.08852577,0.0144951,0.1212911,0.0009292084,0.006925661,0.007452421,0.005129358,0.003637986,0.01428106,0.001228589,0.007268481,0.02259807,0.03865002,0.08281951,0.1018288,0.0206657,0.01335916,0.01129813,0.003199662,0.0108629,0.01404328,0.005926231,0.04718367,0.0004137772,0.01520838,0.06749149,0.03002463,0.009421422,0.03378956,1.597632,1.471627,2.116234,0.7668958,1.433648,1.310176,0.7796173,0.144005,4.200596,24.26789,2.067512,0.292162,0.9111536,2.507972,0.3747553,1.666978,2.75865,2.821263,1.066862,5.473284,28.1809,27.5173,26.03732,5.902277,28.55982,5.175942,9.846596,8.579118,0.529283,7.661486,14.1109,0.2876064,12.61771,26.88123,14.82292,111.8569,141.0502,369.3949
19,0.01216062,0.0108165,0.001921415,0.07140406,0.07500541,0.1322916,0.01388814,0.0007241903,0.7140393,0.001566251,0.2503736,0.01325211,0.09373979,0.0004459888,0.0096953,0.02530445,0.09493729,0.01461721,0.1237868,0.0009508451,0.007137748,0.007864305,0.005588016,0.0039513,0.01490446,0.001266472,0.007817629,0.0233984,0.04185384,0.08641735,0.1023222,0.02126712,0.0139337,0.01202952,0.003421542,0.01168733,0.01476578,0.006206049,0.04958443,0.0004550867,0.01697549,0.07249285,0.03144541,0.01016737,0.03621347,1.637695,1.552822,2.214762,0.7972252,1.483413,1.364378,0.7758951,0.1392101,4.410686,25.90017,2.035726,0.2957717,0.9041007,2.105998,0.3504034,1.773262,3.225639,3.067578,1.16565,6.182447,28.36436,29.37332,26.19733,6.021677,31.42757,5.18471,9.955098,8.480045,0.5466643,7.825868,14.97893,0.3159015,12.61717,27.96465,15.47233,120.4814,147.847,373.5331
20,0.01279754,0.01083035,0.001790484,0.0761654,0.07927177,0.1405504,0.01496929,0.000719798,0.777569,0.001411967,0.2507008,0.01325121,0.09809709,0.0004419169,0.009059937,0.02572627,0.1004409,0.01472632,0.1286855,0.0009432202,0.007144827,0.007799792,0.005666547,0.004034899,0.01551355,0.001255417,0.007865247,0.02450903,0.04289348,0.09245247,0.09942808,0.02172407,0.01431416,0.01276689,0.003330021,0.01273069,0.01547583,0.00650525,0.0517408,0.0004157538,0.01750724,0.07644015,0.03295062,0.01115002,0.03845051,1.715826,1.64404,2.292554,0.8297705,1.611133,1.389443,0.7243188,0.1345877,4.562575,27.14977,1.906163,0.2683605,0.8839137,2.156879,0.3167444,1.716401,3.300019,3.363156,1.222581,6.055003,25.9726,29.6009,24.53148,5.812015,30.63298,5.203912,9.798944,8.388334,0.5199097,6.244591,13.06843,0.3236627,10.42455,26.25605,14.66316,101.0912,135.2794,367.792
