"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
21,0.01174678,0.008998493,0.00168857,0.05850297,0.0772905,0.1121727,0.01294895,0.000441104,0.4166358,0.001081055,0.1755364,0.009132639,0.07640114,0.001839999,0.005642791,0.0168098,0.08560413,0.01067041,0.08840826,0.0005794004,0.004072894,0.004353744,0.003134242,0.002415216,0.01372449,0.0007575038,0.004370928,0.01404554,0.02508125,0.05682338,0.06901052,0.01937874,0.01448655,0.01096703,0.002042614,0.009653211,0.01565192,0.006679222,0.04988094,0.0005762793,0.01427147,0.05726263,0.02960018,0.006419805,0.02687589,1.097819,1.18673,1.60879,0.5909891,1.035524,1.103787,0.4659477,0.1195111,3.532043,19.9889,1.46933,0.2313871,0.8032071,2.349403,0.266243,1.348988,2.024186,3.103122,0.890061,3.925659,24.44252,22.74588,23.37113,5.669384,21.62504,5.247278,10.72898,9.39919,0.5627086,6.842059,18.06368,0.2807482,18.83416,30.09078,17.22743,110.6336,160.2423,385.0724
22,0.009569691,0.006349799,0.00157501,0.03203098,0.06879005,0.07570573,0.008765264,0.0004008858,0.1381573,0.001177501,0.08460677,0.003648346,0.04147612,0.001465769,0.001838389,0.004642088,0.05695938,0.006863982,0.06412195,0.0005579561,0.002161499,0.001749423,0.001066374,0.0007635725,0.009798499,0.0004379701,0.002562965,0.006967407,0.01143984,0.01945494,0.02594103,0.01405663,0.01386773,0.007773708,0.0007518234,0.006052239,0.01488872,0.006693325,0.04300265,0.0005428458,0.00966556,0.03222609,0.02391424,0.002313224,0.01056943,0.3743212,0.6775516,1.068277,0.3982581,0.5593115,0.8684469,0.2135032,0.1161864,2.641322,12.237,2.335567,0.2073276,0.9453135,2.569247,0.3275801,1.356642,1.661474,2.918641,0.5180737,2.1891,28.5601,16.87601,33.64761,6.039507,19.49805,5.191411,9.239167,9.172047,0.6053749,17.83966,19.26645,0.2102644,22.56684,25.22891,14.02491,83.84711,160.1072,362.2458
23,0.009207416,0.006554123,0.001508622,0.03710645,0.0692745,0.08220169,0.008633713,0.0007129963,0.1340604,0.00175018,0.08216967,0.005299283,0.04064404,0.0006162621,0.002641292,0.003143519,0.06252617,0.008857353,0.08913966,0.0008855407,0.003438907,0.002662566,0.001390624,0.0008206802,0.008769311,0.0004081521,0.002529789,0.006750073,0.01000352,0.0215792,0.02647799,0.0138854,0.01344769,0.008134829,0.0008455072,0.006181255,0.0147671,0.006771207,0.04204732,0.0004000536,0.009725978,0.03759602,0.0255542,0.005930599,0.01286736,0.4188838,0.9081602,1.430221,0.4986778,0.8168743,1.045192,0.2123093,0.1253148,3.522612,17.39386,3.173646,0.2004585,1.037126,3.037456,0.4527498,1.737964,6.613698,3.17716,0.5478821,2.943171,29.40952,20.42723,27.54219,6.793233,26.21244,5.359119,9.673375,11.51201,0.5672978,73.4192,12.13202,0.2206383,26.53306,23.54247,12.8088,61.07172,176.6771,467.4237
24,0.009079967,0.006924575,0.001502106,0.04533474,0.07225674,0.09568853,0.009156021,0.0007942352,0.4496292,0.001913438,0.1002182,0.008352564,0.04884045,0.000425386,0.004407835,0.004077415,0.06850567,0.0114386,0.1154353,0.001164038,0.007845926,0.004773652,0.002492482,0.001424109,0.008764988,0.000405227,0.004261006,0.007944239,0.01219406,0.03346603,0.03551517,0.01508672,0.01365214,0.009086109,0.001489733,0.007321937,0.01491566,0.006870225,0.04338707,0.0004175444,0.01083475,0.04732861,0.02708611,0.01246193,0.01695754,0.6898904,1.219348,1.828367,0.6555923,1.743307,1.165982,0.2362155,0.1233887,4.677418,22.98865,2.303034,0.1891185,0.9032671,3.694067,0.4267322,1.984576,3.709202,3.395747,0.755135,5.4097,28.12644,23.96299,23.45093,5.929426,26.58425,5.18324,10.22625,8.699258,0.5012108,4.791118,11.80268,0.2316557,16.15344,26.07127,14.60175,70.62803,128.4298,373.5044
25,0.009249796,0.00754635,0.001573515,0.04916335,0.07707249,0.1065822,0.01005059,0.0008416849,0.5842708,0.002160333,0.1368446,0.01171338,0.0613481,0.0004845278,0.006189637,0.007245209,0.07594122,0.01406715,0.1256597,0.001223227,0.009030922,0.008968117,0.003756324,0.00241728,0.009514132,0.0005710446,0.004935561,0.01177641,0.0138769,0.04630528,0.05300597,0.01710261,0.0146201,0.01032115,0.002448447,0.008898596,0.01537321,0.007017264,0.04676393,0.0004484635,0.01215325,0.05770444,0.02906363,0.01223251,0.02225491,0.8257154,1.422399,2.073958,0.7404639,1.724508,1.246198,0.2836697,0.1267809,5.008126,26.24569,2.059558,0.1998272,0.8966056,4.536496,0.3811643,2.300941,2.703483,3.76158,0.9983693,5.665668,26.88435,26.66032,23.38216,5.723669,26.48082,5.502062,9.925386,8.770523,0.5159279,4.974417,12.26001,0.2583617,12.85045,25.89924,14.38753,89.80961,130.0012,359.9507
26,0.009729841,0.008373562,0.001714722,0.05381571,0.08285472,0.1165351,0.01120683,0.0008107515,0.8137925,0.002582059,0.1852085,0.01446607,0.07393175,0.0004969374,0.008334164,0.01139786,0.08280251,0.01507309,0.1271058,0.001179693,0.009060686,0.009921595,0.006316889,0.00323503,0.01077893,0.0007833298,0.00615945,0.01412136,0.01917877,0.05018947,0.06779302,0.0190498,0.01638578,0.01144016,0.003461055,0.01018796,0.01599321,0.007235404,0.0514991,0.0004327024,0.01388107,0.06671742,0.03124579,0.01177018,0.02739144,0.9878255,1.576734,2.222584,0.7701166,1.719709,1.286663,0.3629682,0.1216026,5.132559,26.8933,1.962806,0.1954281,0.9188218,5.106492,0.3296218,2.286088,2.594181,4.117251,1.10291,5.7633,26.77431,27.7826,23.89207,5.895682,27.61923,5.39959,9.991029,8.71487,0.5252801,5.510952,13.15025,0.2831193,12.21651,25.67345,14.24614,88.93336,134.2596,363.3301
27,0.01051449,0.0093038,0.00186782,0.0587921,0.08647793,0.1256746,0.01253517,0.0007275072,0.8338296,0.002876991,0.2372438,0.01617602,0.08582947,0.0004346458,0.01178248,0.01475495,0.08933443,0.01547604,0.1288142,0.001040938,0.00832854,0.009566422,0.006998474,0.004942882,0.01178139,0.0009104938,0.006476657,0.0165957,0.02289547,0.06990056,0.07094067,0.02036476,0.0181036,0.01240799,0.003707371,0.0113871,0.01652944,0.007408198,0.05647612,0.000535089,0.02765383,0.0735962,0.03278605,0.01140934,0.0317179,1.144733,1.677558,2.319368,0.7860532,1.722237,1.292629,0.4762175,0.113387,5.134785,26.9529,1.874895,0.1852045,0.8831396,5.056472,0.2830845,1.95998,2.416438,4.275381,1.104683,5.451372,25.35803,27.236,21.89735,5.622782,26.14173,5.372217,10.29716,8.879003,0.5137875,4.470479,11.56098,0.2956578,11.60809,25.44984,14.33533,77.0555,127.4673,366.6355
28,0.01064342,0.01001224,0.001961163,0.057509,0.08740643,0.1258202,0.01278924,0.0006184385,0.5886482,0.002743411,0.2653774,0.01504907,0.09497268,0.001182157,0.01122542,0.01685435,0.0923843,0.01429453,0.1155693,0.0008101718,0.006154021,0.00716019,0.005592414,0.004488065,0.01265745,0.0008569379,0.005532347,0.01613346,0.02467347,0.06444596,0.07441196,0.02068066,0.01917022,0.01277547,0.002970502,0.01178689,0.01685963,0.00753679,0.06005095,0.0004661859,0.03933899,0.07316018,0.03246685,0.008725033,0.03114964,1.124779,1.569147,2.148696,0.7383844,1.484559,1.213638,0.549166,0.1079378,4.705791,25.26252,1.882383,0.1653654,0.8159497,4.440159,0.2441996,1.676822,2.032463,4.130443,0.9913723,4.861248,24.40317,24.70892,21.81349,5.416399,23.4846,5.325671,9.795338,8.800382,0.5058832,5.132226,11.85727,0.2869418,15.82265,25.04226,14.00111,85.93695,126.3309,356.6776
29,0.01073476,0.01053046,0.001964759,0.05779742,0.0867226,0.127621,0.01286533,0.0005926692,0.5049227,0.002378084,0.2856517,0.01372703,0.09648222,0.0007100382,0.008664431,0.01865002,0.09584879,0.01372626,0.1089728,0.001903426,0.005619192,0.006137105,0.004645785,0.003627769,0.01268231,0.0009378256,0.005567886,0.01647668,0.02756812,0.06646036,0.07055923,0.02041805,0.01957562,0.0129662,0.002557376,0.01172136,0.01690553,0.007490924,0.06208519,0.0003914324,0.03689489,0.07376944,0.03184989,0.007418003,0.03082013,1.12633,1.478834,2.059916,0.7144877,1.364002,1.19184,0.5837018,0.1013757,4.510851,25.00822,1.981019,0.1440511,0.8097356,3.880846,0.2373899,1.73991,2.18134,4.001223,1.013645,5.180855,26.72782,25.41984,25.32474,5.883518,26.65641,5.279355,10.03355,8.814264,0.5542967,7.70362,14.46589,0.3037651,18.59077,26.82403,14.70439,109.6667,140.8165,371.6205
30,0.01085819,0.0109125,0.001931197,0.06089817,0.08688682,0.1332806,0.01365839,0.0006959562,0.5547161,0.002116618,0.3092859,0.0139588,0.1004143,0.0005307661,0.007633012,0.01904338,0.09992231,0.01425167,0.1159923,0.001180212,0.007553272,0.006889814,0.005017478,0.003680046,0.01281497,0.0009984408,0.006726831,0.01747717,0.0302934,0.07480332,0.08528162,0.0210854,0.01978321,0.01320407,0.002911788,0.01215351,0.01698869,0.007420249,0.06336363,0.000439827,0.03741804,0.0774836,0.03247328,0.008501423,0.03329458,1.229866,1.552248,2.16626,0.7701116,1.487279,1.248295,0.6274226,0.1083728,4.646048,26.49293,2.035936,0.1495747,0.8301937,3.432703,0.2548364,1.910172,3.022402,4.275849,1.154571,6.579739,26.37375,27.82135,24.64799,6.027699,30.88735,5.15187,9.8242,8.342996,0.5320584,7.035569,14.22215,0.3317535,12.71671,27.09571,14.99509,113.3182,141.5058,372.5755
31,0.0109748,0.01102691,0.001875117,0.0633135,0.08878076,0.1378543,0.01438268,0.0006996721,0.6725347,0.00184284,0.3117403,0.01466907,0.106616,0.0004854404,0.0100702,0.0180304,0.1021213,0.01409943,0.1209984,0.0009650311,0.007506678,0.008419489,0.005520982,0.004041249,0.01327166,0.001143821,0.006976511,0.01957434,0.03020802,0.07838251,0.1082706,0.02230202,0.0200472,0.01334744,0.003390477,0.01243113,0.01717725,0.007453242,0.06400674,0.0005485592,0.04222853,0.08000757,0.03263011,0.009424806,0.03509387,1.318372,1.599035,2.1876,0.7852435,1.53589,1.256012,0.6615465,0.1119069,4.676224,26.74376,1.923681,0.1411323,0.8213994,2.998044,0.2470484,1.859003,2.953082,4.483271,1.119573,5.715995,25.00723,27.6361,23.22055,5.730079,29.41431,5.287917,9.709367,8.390658,0.5208274,6.283117,13.09687,0.3416953,11.73038,26.09521,14.59064,109.5166,135.2574,366.9222
32,0.01136341,0.01064949,0.001794389,0.06418879,0.08834836,0.1384223,0.01439506,0.0008532159,0.7170854,0.001621731,0.2938006,0.0146567,0.1047075,0.0005516821,0.01040863,0.02015351,0.1016372,0.01293201,0.1159923,0.0009076602,0.006820055,0.007924625,0.005529606,0.003602626,0.01312094,0.001300657,0.006789944,0.01851066,0.03070161,0.06962297,0.1154101,0.02256207,0.02018418,0.01304292,0.003015563,0.01071332,0.01727064,0.007528806,0.0626739,0.000404512,0.03501787,0.07822125,0.03222173,0.009047505,0.03478784,1.310987,1.526557,2.114159,0.7281755,1.455374,1.21145,0.6383027,0.1080466,4.521931,26.14964,1.945247,0.1413188,0.8174357,2.762782,0.2439827,1.824551,3.16865,4.400762,0.9912107,5.438711,25.91024,26.7657,24.57965,6.150094,29.0671,5.356199,10.02029,8.64409,0.5536229,14.33501,15.40405,0.3542444,14.49812,26.38618,14.54166,111.3058,150.3134,384.4732
33,0.01183515,0.01085029,0.001721897,0.06915613,0.08954214,0.1461724,0.01458822,0.0006664099,0.6756253,0.001725199,0.2813903,0.01499795,0.1108424,0.0005147759,0.009081279,0.02222621,0.104765,0.01360194,0.1214624,0.0008958594,0.006770358,0.007665642,0.005639821,0.004131627,0.01331397,0.001348749,0.007193078,0.0194344,0.03201314,0.07822216,0.1177605,0.02295347,0.02026204,0.01329018,0.002896605,0.01065993,0.01733024,0.007585582,0.06277721,0.0004798585,0.0344539,0.08205675,0.03338598,0.009784042,0.03749793,1.384328,1.632491,2.174402,0.7573751,1.475139,1.242478,0.6450418,0.1065449,4.67976,26.94837,1.945988,0.1701906,0.8114155,2.794099,0.2427721,1.742868,4.032316,4.344203,0.9710602,5.274091,24.80827,26.97736,23.47769,6.076021,27.92608,5.227373,9.966266,8.674394,0.5349693,15.94804,13.89766,0.3638139,13.13275,26.54552,14.73153,91.57563,142.9494,385.6512
34,0.01194039,0.01094797,0.001684438,0.07121431,0.09080717,0.1488373,0.01444355,0.0006053286,0.5791383,0.001785113,0.2582864,0.01388959,0.1137345,0.0009428311,0.008073644,0.02010999,0.1067149,0.01332552,0.1206278,0.0008526371,0.006359916,0.00709721,0.005135012,0.003840984,0.0137489,0.001310971,0.007266078,0.02099387,0.03373196,0.07392871,0.1171482,0.02352642,0.02041933,0.01331492,0.002783148,0.01087833,0.01742887,0.007621064,0.06306481,0.0004735172,0.03649801,0.08187304,0.03337253,0.009551613,0.0362976,1.396757,1.605971,2.076358,0.7583141,1.428744,1.224341,0.6114901,0.1078695,4.605767,25.81484,1.78511,0.1709147,0.8129537,3.040865,0.2416641,1.662318,3.232597,4.244428,0.9979892,5.38371,23.74376,26.46906,22.82345,5.683432,27.39242,5.261679,9.615952,8.546173,0.5157937,5.757727,14.38224,0.3654151,13.46486,26.96911,15.36219,98.34673,139.255,367.4942
35,0.01146977,0.01074562,0.001676275,0.0656611,0.09073779,0.1421261,0.01325496,0.0007769675,0.4846745,0.002006472,0.2129813,0.01056723,0.1065127,0.001010908,0.005872136,0.0135682,0.1038595,0.0115275,0.1176664,0.0008190867,0.004966977,0.005442319,0.00396023,0.002830043,0.01306866,0.001196456,0.005849293,0.01867633,0.03402964,0.07012839,0.1020515,0.02335225,0.02044619,0.01261365,0.002200214,0.0105761,0.01742423,0.007647691,0.06230076,0.0005644698,0.04028426,0.07324548,0.03159651,0.007845639,0.02931084,1.228602,1.400815,1.766477,0.706497,1.235702,1.149292,0.5228904,0.1031667,4.098958,22.25881,2.133734,0.1693601,0.8297906,3.36112,0.2551718,1.542976,2.724465,3.973885,0.9426971,4.554848,24.92725,24.53083,25.54838,6.120405,25.65512,5.356048,10.29251,9.733005,0.5852505,16.85881,14.95971,0.3503278,21.76369,26.91601,14.96143,91.60364,159.1263,389.396
36,0.01140422,0.01098296,0.00170079,0.06560271,0.09097084,0.1451122,0.01308514,0.0006584286,0.429644,0.002272351,0.2074151,0.009913075,0.103584,0.000684893,0.005241381,0.01146623,0.1035606,0.01130531,0.1373463,0.0008326809,0.005187208,0.005137043,0.003641201,0.002642578,0.01265826,0.001198763,0.00582443,0.01851823,0.0338423,0.08072945,0.1033694,0.0229356,0.02047343,0.01253495,0.0020617,0.0109053,0.01741766,0.007703288,0.06162992,0.0037853,0.04162469,0.07140356,0.03008302,0.01019149,0.02866504,1.224496,1.380772,1.753148,0.7717876,1.237031,1.152354,0.5215241,0.1075333,4.11057,22.81376,2.353248,0.1696526,0.8529117,3.499514,0.2677242,1.627468,2.917827,3.995554,0.9349294,4.322512,24.7767,24.5371,27.75016,6.194645,26.51939,5.681895,10.3088,12.04988,0.6686137,49.04529,14.51608,0.3330243,20.82677,25.59708,14.09608,84.21836,168.332,422.0109
