"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average Other Mortlatiy biomass across modeled area"
"Modeled area km2",188688.717455821
"Number of cells",550

Year,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.0009518357,0.001221681,0,0.008603177,0.007260189,0.01606334,0.001477875,5.54694E-05,0.0209489,0.0002456872,0.01538967,0.001292181,0.02584122,9.340539E-05,0.0002173681,0.0005647751,0.009752068,0.001743936,0.009162477,0.0001755256,0.0004211629,0.0006741083,0.0008863949,0.0009665097,0.002647727,0.0001094277,0.0006694126,0.002523928,0.005058205,0.01129716,0.007490242,0.003905759,0.0009299214,0.001600188,0.0004245698,0.004026814,0.002089624,0.0003226562,0.006700689,1.452774E-05,0.00106122,0.009854089,0.004541149,0.000864147,0.004578965,0.1393616,0.2040046,0.1878612,0.1167134,0.1792116,0.1404902,0.04456503,0.01384383,0.4231022,1.403945,0.2687696,0.1216363,0.1032064,0.5230052,0.02955845,0.1424796,0.4305994,0.54297,0.1939475,0.4918921,2.390763,3.31571,2.848366,0.5983131,2.692821,0.2767872,0.7617005,0.5123419,0.04265003,1.019175,1.53861,0.03222407,0,0,0,0,0,0
12,0.0003385053,0.0002909342,0,0.002971318,0.000534331,0.005812788,0.0007273851,3.757039E-05,0.02085561,0.0001180663,0.006309908,0.001430416,0.003390226,1.726269E-05,0.0008350722,0.001824004,0.004024114,0.0009517637,0.008832595,3.509653E-05,0.0002727325,0.0003410587,0.0003418433,0.0004644662,0.0006221145,7.404626E-05,0.0003293029,0.001039646,0.002147787,0.00429828,0.007130906,0.0002365354,1.012629E-05,0.0004129477,0.0001744519,0.0004360054,2.087999E-05,3.025726E-06,0.0005102546,1.98298E-05,0.0006015003,0.003768583,0.0006748694,0.0008264287,0.003433085,0.09205394,0.09538734,0.1595354,0.04747969,0.04899466,0.06182666,0.01345717,0.001559976,0.2316509,2.145521,0.1781084,5.878616E-05,0.02426098,0.02573703,0.0236344,0.1082183,0.1768722,0.05389372,0.04125213,0.3065331,2.660345,1.335382,2.149689,0.4919148,1.658113,0.3306698,0.8310714,0.6319427,0.04451355,0.601167,1.928583,0.01177655,0,0,0,0,0,0
13,0.001936319,0.0009325476,0,0.006564863,0.007044488,0.01454818,0.002040695,3.121443E-06,0.00366326,0.0001349761,0.01392,0.001748941,0.004968171,1.273642E-06,0.001019477,0.002824913,0.01176661,0.001281767,0.01170345,8.796977E-06,0.0001562069,0.0002081177,0.0002278889,0.0002468071,0.002194255,4.941137E-07,1.678024E-05,0.0001278887,0.000478922,0.001166367,0.00884394,0.001877195,0.0009367655,0.001399571,9.545573E-05,0.0001123101,0.001253578,0.0002360616,0.003685547,0.0001107648,0.002120937,0.006533485,0.003388848,0.0005533024,0.003886286,0.08293507,0.129161,0.2339764,0.05198148,0.0149344,0.1439056,0.01262776,0.01752197,0.5322252,3.851439,0.181843,0.0001236155,0.08814581,0.4352657,0.04980456,0.1896158,0.1706193,0.2595079,0.02668344,0.2382196,4.380528,2.243757,2.195235,0.6202292,1.854814,0.8004327,1.390436,1.261253,0.06212957,0.09384364,0.7849333,0.03415308,0,0,0,0,0,0
14,0.0008868655,0.0004886684,0,0.003024112,0.00310561,0.005741343,0.0006931705,1.709721E-05,0.0155493,0.0001886361,0.006293455,0.0006595976,0.002606917,1.180691E-05,0.0005539739,0.0006456042,0.004609934,0.0008100471,0.00999362,2.189322E-05,0.0002402683,0.0002784453,0.0002370422,0.0001778316,0.001039073,2.127756E-05,0.00017368,0.000527299,0.001357459,0.004761445,0.008156505,0.000935457,0.0005953516,0.0004644936,6.928078E-05,0.0001338294,0.0008317647,0.0001862048,0.001298713,0.001786114,0.001239096,0.002307623,0.001719407,0.0006284306,0.001433686,0.06744527,0.07668637,0.1869374,0.04371005,0.01867365,0.09376783,0.008424948,0.02129661,0.3018863,1.32495,0.4765594,5.224302E-05,0.1651505,0.3269426,0.07515705,0.1516796,0.1135467,0.1611454,0.02312096,0.1799008,7.513753,1.323409,5.845088,0.9869509,3.027419,1.118735,2.173702,2.077526,0.1162144,0.5294998,1.792384,0.01574139,0,0,0,0,0,0
15,2.9041E-06,6.642265E-06,0,8.374481E-05,8.793649E-06,0.0002069444,1.700842E-05,4.249902E-06,0.001857458,1.135803E-05,0.0004132968,5.140595E-05,0.0002026789,1.590418E-06,1.206356E-06,3.897501E-06,6.680217E-05,5.712041E-05,0.0005910816,6.954364E-06,7.26687E-05,7.871307E-05,5.272082E-05,2.979202E-05,1.032727E-05,5.098958E-06,5.919702E-05,0.0002006558,0.0002635758,0.0003252777,0.0003454622,2.734276E-06,2.575415E-07,1.57795E-05,2.591261E-05,4.188769E-05,3.481354E-07,5.476267E-08,1.05756E-05,2.790962E-23,2.790962E-23,0.0001922663,1.775784E-05,8.7834E-05,0.0001148361,0.004857215,0.004319449,0.008418565,0.0035332,0.008091657,0.004022768,0.0006507033,6.617045E-05,0.01313811,0.1254425,0.01090837,1.581507E-06,0.0008735953,0.001674701,0.001043607,0.01106347,0.01975863,0.003871851,0.003980985,0.02470666,0.05756295,0.11626,0.06579003,0.01584201,0.09569649,0.008072238,0.03309669,0.01707106,0.001455986,0.02000851,0.06048836,0.0001227111,0,0,0,0,0,0
16,0.0002109195,0.0001221809,0,0.001047609,0.0003537503,0.002241614,0.0001965517,2.876276E-05,0.01919267,0.0001367994,0.004247846,0.0005779428,0.001163601,1.654282E-05,0.0004841563,0.000360433,0.002731845,0.0006697189,0.007912208,2.8737E-05,0.0002442691,0.0002624981,0.0001023885,5.833278E-05,9.128472E-05,3.389263E-05,0.0001868705,0.0005433622,0.0009160692,0.001979041,0.004376811,8.556864E-05,6.506222E-05,0.0001858801,0.0001187911,0.0001890635,8.595391E-05,1.509985E-05,0.0005631586,2.388862E-05,0.0004939227,0.001339274,0.0004471871,0.0004052117,0.0009180076,0.04179794,0.04663721,0.1222746,0.02882029,0.04282307,0.06493596,0.007724581,0.0140936,0.2125664,1.116624,0.222484,0.0008325512,0.06794284,0.02830884,0.05797895,0.1367908,0.08292522,0.06077791,0.02235748,0.1591858,3.819847,1.358639,1.941313,0.4062368,1.700267,0.3886208,0.8387609,0.7088573,0.03769289,0.2707568,0.719327,0.004679861,0,0,0,0,0,0
17,5.68656E-05,0.0001319957,0,0.001320952,0.0002116397,0.002895866,0.0002041899,3.442118E-05,0.01951775,9.235281E-05,0.007037998,0.0005027765,0.003542467,8.89784E-06,0.00019923,0.0007547674,0.0009446887,0.0005114454,0.004157161,4.825327E-05,0.0003837916,0.0005149752,0.0005169396,0.000527957,0.0002604783,7.663741E-05,0.0005613028,0.001559869,0.002558762,0.006877854,0.004167494,7.96666E-05,3.113684E-06,0.0002153438,0.0003224395,0.0006873852,3.983364E-06,9.075633E-07,0.0001653745,3.358627E-22,0.0001332168,0.002231086,0.0002375124,0.0007741111,0.001412677,0.06399985,0.04531851,0.08237079,0.03840359,0.04311751,0.03382311,0.01337472,0.0005767096,0.1125121,0.8094409,0.07858001,2.786863E-06,0.007718781,0.004517694,0.005705546,0.05961875,0.1305464,0.09177285,0.05034631,0.2264524,0.509774,0.9018968,0.6456044,0.1567664,0.8924356,0.07637114,0.2856288,0.1659236,0.01403262,0.2159826,0.8101376,0.002710436,0,0,0,0,0,0
18,1.087854E-05,8.322263E-06,0,0.0001514225,1.718449E-05,0.0006649497,1.76494E-05,4.036969E-05,0.01065993,1.107003E-05,0.001301762,5.299055E-05,0.0002826485,5.491167E-06,1.591155E-05,4.150941E-05,6.332972E-05,8.139028E-05,0.0008022243,1.997346E-05,0.0001460575,0.0001566926,9.942629E-05,9.175526E-05,2.781789E-05,4.769932E-05,0.0002089956,0.0006256507,0.0009808698,0.001489008,0.0008554521,3.54031E-06,2.590253E-07,2.666984E-05,9.312408E-05,0.0001396544,7.834655E-07,7.2235E-08,1.689275E-05,4.186443E-23,4.186443E-23,0.0003402972,2.419785E-05,8.927873E-05,0.0001144313,0.01002247,0.006168094,0.01364705,0.006138051,0.02078069,0.006462116,0.001390439,0.0001327091,0.0181703,0.1397152,0.01822622,3.240748E-07,0.001651428,0.002734456,0.001452855,0.02331715,0.0396684,0.06557548,0.02014804,0.1052148,0.06203676,0.2696187,0.1926189,0.04524367,0.6193719,0.007828867,0.02448255,0.01376202,0.003184792,0.2075137,0.1101395,0.001412035,0,0,0,0,0,0
19,1.037981E-05,1.749269E-05,0,0.0002131071,1.823287E-05,0.0005352824,3.619855E-05,1.941787E-05,0.009512716,2.187386E-05,0.001413003,7.89948E-05,0.0003543392,8.194776E-06,1.206792E-05,5.836812E-05,8.635561E-05,8.278766E-05,0.0008881268,2.654708E-05,0.0001091474,0.0001150644,0.0001276331,3.174884E-05,1.47766E-05,4.864143E-05,0.0001740452,0.0004507045,0.0008701335,0.0009425783,0.0003154076,3.928295E-06,3.475924E-07,2.320584E-05,5.390984E-05,7.461952E-05,9.677613E-07,1.326223E-07,2.446857E-05,6.977405E-23,6.977405E-23,0.0003672731,4.044926E-05,0.0001572337,0.0001965723,0.01013617,0.008269131,0.01852683,0.007417446,0.01569633,0.006898277,0.003376561,0.000103029,0.02585557,0.1602286,0.03042291,4.522026E-07,0.00313371,0.000970772,0.002021491,0.02303301,0.05789867,0.03329358,0.01074448,0.07301068,0.1201149,0.2276936,0.2994837,0.05334652,0.3534889,0.01016802,0.02342569,0.01170519,0.003112991,0.2055276,0.3418093,0.0009312974,0,0,0,0,0,0
20,1.230609E-06,6.365148E-06,0,6.922786E-05,5.323758E-06,0.0001463138,5.710268E-06,6.427637E-06,0.001953758,4.19019E-06,0.0002589206,2.360271E-07,0.0001399321,2.928188E-06,4.335241E-07,4.329953E-07,1.028816E-05,1.880339E-05,0.0001560793,9.722826E-06,6.15221E-05,5.183625E-05,6.058397E-05,6.26996E-07,1.122475E-23,1.865546E-05,0.0001119253,0.0002516042,0.0003693689,3.552448E-05,7.320345E-06,6.057099E-07,4.716919E-08,6.381124E-06,3.749331E-05,4.17857E-05,9.130918E-08,2.176617E-08,4.406457E-06,1.122475E-23,1.122475E-23,0.0001170417,1.110305E-05,4.741869E-05,9.279622E-07,0.003486223,0.002078797,0.004671813,0.002278696,0.01074142,0.002096186,0.001521222,4.035355E-05,0.006353038,0.02912504,0.005885746,1.777748E-07,0.0005836055,6.123383E-05,0.0002919283,0.006877526,0.0152954,0.03180169,0.007275274,0.03521158,0.008895176,0.08472306,0.04737608,0.0151808,0.1877439,0.0005059065,0.002246133,0.001058427,0.0005915193,0.05900416,0.024524,0.0003502472,0,0,0,0,0,0
