"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,86
Timestep, Region,"lionfish juv"_0,"lionfish juv"_1,"lionfish juv"_2,"lionfish juv"_3,"lionfish juv"_4,"lionfish juv"_5,"lionfish adult"_6,"lionfish adult"_7,"lionfish adult"_8,"lionfish adult"_9,"lionfish adult"_10,"lionfish adult"_11,"lionfish adult"_12,"lionfish adult"_13,"lionfish adult"_14,"lionfish adult"_15,"lionfish adult"_16,"lionfish adult"_17,"lionfish adult"_18,"lionfish adult"_19,"lionfish adult"_20,"lionfish adult"_21,"lionfish adult"_22,"lionfish adult"_23,"lionfish adult"_24,"lionfish adult"_25,"lionfish adult"_26,"lionfish adult"_27,"lionfish adult"_28,"lionfish adult"_29,"lionfish adult"_30,"lionfish adult"_31,"lionfish adult"_32,"lionfish adult"_33,"lionfish adult"_34,"lionfish adult"_35,"lionfish adult"_36,"lionfish adult"_37,"lionfish adult"_38,"lionfish adult"_39,"lionfish adult"_40,"lionfish adult"_41,"lionfish adult"_42,"lionfish adult"_43,"lionfish adult"_44,"lionfish adult"_45,"lionfish adult"_46,"lionfish adult"_47,"lionfish adult"_48,"lionfish adult"_49,"lionfish adult"_50,"lionfish adult"_51,"lionfish adult"_52,"lionfish adult"_53,"lionfish adult"_54,"lionfish adult"_55,"lionfish adult"_56,"lionfish adult"_57,"lionfish adult"_58,"lionfish adult"_59,"lionfish adult"_60,"lionfish adult"_61,"lionfish adult"_62,"lionfish adult"_63,"lionfish adult"_64,"lionfish adult"_65,"lionfish adult"_66,"lionfish adult"_67,"lionfish adult"_68,"lionfish adult"_69,"lionfish adult"_70,"lionfish adult"_71,"lionfish adult"_72,"lionfish adult"_73,"lionfish adult"_74,"lionfish adult"_75,"lionfish adult"_76,"lionfish adult"_77,"lionfish adult"_78,"lionfish adult"_79,"lionfish adult"_80,"lionfish adult"_81,"lionfish adult"_82,"lionfish adult"_83,"lionfish adult"_84,"lionfish adult"_85,"lionfish adult"_86
0,Ecosim Base Values,0.01138336,0.009587749,0.008075377,0.006801566,0.005728686,0.004825042,0.00406394,0.003405822,0.00285428,0.002392055,0.002004683,0.001680043,0.001407975,0.001179966,0.0009888817,0.0008287413,0.0006945342,0.0005820607,0.0004878012,0.0004088063,0.0003426038,0.0002871222,0.0002406254,0.0002016583,0.0001690015,0.0001416333,0.000118697,9.947513E-05,8.336604E-05,6.986567E-05,5.855156E-05,4.906966E-05,4.112328E-05,3.446373E-05,2.888264E-05,2.420536E-05,2.028552E-05,1.700047E-05,1.424739E-05,1.194016E-05,1.000656E-05,8.386087E-06,7.028036E-06,5.889909E-06,4.936091E-06,4.136736E-06,3.466829E-06,2.905408E-06,2.434903E-06,2.040593E-06,1.710137E-06,1.433196E-06,1.201103E-06,1.006595E-06,8.435863E-07,7.069751E-07,5.924869E-07,4.96539E-07,4.16129E-07,3.487407E-07,2.922653E-07,2.449356E-07,2.052705E-07,1.720288E-07,1.441703E-07,1.208232E-07,1.01257E-07,8.485935E-08,7.111715E-08,5.960037E-08,4.994863E-08,4.18599E-08,3.508107E-08,2.940001E-08,2.463894E-08,2.064889E-08,1.730499E-08,1.45026E-08,1.215404E-08,1.01858E-08,8.536303E-09,7.153927E-09,5.995413E-09,5.024511E-09,4.210837E-09,3.52893E-09,1.826253E-08
1,2,0.04012874,0.05017903,0.06174893,0.07012903,0.05300291,0.03075463,0.01821387,0.0113641,0.007391576,0.007006805,0.008865468,0.01230757,0.01833719,0.02583543,0.03799605,0.04452932,0.03779349,0.02966909,0.0210295,0.01296046,0.005872428,0.00259179,0.001622519,0.0009030392,0.0007805944,0.00031713,0.0002833889,0.0002734826,0.000221121,0.0001720583,0.0001172957,6.19445E-05,5.298399E-05,4.231472E-05,3.777622E-05,2.878393E-05,2.334532E-05,1.980452E-05,1.601737E-05,1.472583E-05,1.266935E-05,1.081743E-05,8.78415E-06,7.515475E-06,6.350913E-06,4.940462E-06,3.808377E-06,3.636459E-06,2.87651E-06,2.779008E-06,1.904999E-06,1.747248E-06,1.463904E-06,1.338201E-06,1.043479E-06,8.360576E-07,7.289508E-07,5.758014E-07,4.82599E-07,4.500333E-07,3.415343E-07,2.923982E-07,2.626378E-07,2.006018E-07,1.708197E-07,1.598594E-07,1.190695E-07,9.910658E-08,8.980975E-08,7.068583E-08,6.208895E-08,5.018811E-08,4.180279E-08,3.516083E-08,3.062302E-08,2.638472E-08,2.248913E-08,1.684345E-08,1.464126E-08,1.163865E-08,1.114636E-08,8.610323E-09,7.333741E-09,6.512755E-09,5.139608E-09,4.165166E-09,3.343218E-09
2,2,0.02926617,0.03539754,0.0442834,0.0544913,0.06206625,0.04691668,0.02722931,0.01552992,0.009699556,0.00632807,0.006021403,0.007611344,0.01057942,0.01580806,0.0222444,0.03267245,0.03832536,0.03256191,0.02553807,0.01811493,0.01115321,0.005070903,0.002242729,0.001410413,0.0007849006,0.0006788811,0.0002758617,0.0002461177,0.0002386546,0.0001930482,0.0001510758,0.0001033181,5.437396E-05,4.666055E-05,3.714624E-05,3.32267E-05,2.528935E-05,2.041452E-05,1.733487E-05,1.401114E-05,1.293311E-05,1.1132E-05,9.54503E-06,7.669752E-06,6.599671E-06,5.572871E-06,4.319426E-06,3.32794E-06,3.189276E-06,2.522539E-06,2.445292E-06,1.666637E-06,1.533212E-06,1.282284E-06,1.176101E-06,9.148662E-07,7.328708E-07,6.37367E-07,5.052889E-07,4.223328E-07,3.95144E-07,2.984652E-07,2.560041E-07,2.305244E-07,1.755711E-07,1.493884E-07,1.404948E-07,1.045056E-07,8.669738E-08,7.885706E-08,6.196197E-08,5.449539E-08,4.394882E-08,3.657886E-08,3.086097E-08,2.689203E-08,2.317737E-08,1.976511E-08,1.474987E-08,1.280288E-08,1.017796E-08,9.770135E-09,7.543104E-09,6.415359E-09,5.702884E-09,4.511518E-09,3.650898E-09
3,2,0.02222824,0.02558529,0.03091849,0.03870891,0.04772465,0.05459522,0.04129754,0.02312956,0.01325556,0.008277377,0.005420628,0.005174735,0.006528259,0.009059866,0.0136188,0.01913849,0.02806411,0.03293264,0.02798704,0.02195427,0.01558355,0.009587501,0.004375409,0.001936705,0.001223586,0.0006805439,0.000588424,0.0002392842,0.0002134755,0.0002075145,0.0001682413,0.0001315261,9.073457E-05,4.764747E-05,4.095726E-05,3.253338E-05,2.914513E-05,2.213367E-05,1.7837E-05,1.516184E-05,1.224368E-05,1.133892E-05,9.754282E-06,8.394473E-06,6.689218E-06,5.781255E-06,4.881991E-06,3.768227E-06,2.900006E-06,2.790408E-06,2.206583E-06,2.144975E-06,1.454829E-06,1.342405E-06,1.124254E-06,1.031775E-06,8.004116E-07,6.402409E-07,5.562372E-07,4.426302E-07,3.690683E-07,3.456152E-07,2.603228E-07,2.241292E-07,2.019517E-07,1.53397E-07,1.301483E-07,1.231229E-07,9.158914E-08,7.562249E-08,6.907031E-08,5.410816E-08,4.775041E-08,3.840328E-08,3.195371E-08,2.693441E-08,2.351504E-08,2.031433E-08,1.730571E-08,1.287444E-08,1.1172E-08,8.875523E-09,8.545236E-09,6.59593E-09,5.606815E-09,4.987559E-09,3.949148E-09
4,2,0.01932145,0.01902097,0.0219533,0.0264673,0.03317404,0.04108336,0.04729355,0.03512875,0.01965286,0.01129436,0.007065195,0.004644432,0.004447214,0.005601286,0.007756817,0.01171967,0.01644721,0.02409004,0.02830305,0.02404979,0.01885089,0.01339838,0.008233184,0.003771142,0.001668914,0.001058964,0.0005896423,0.0005095283,0.0002075599,0.0001849785,0.0001803773,0.0001464882,0.0001143385,7.970593E-05,4.168529E-05,3.586022E-05,2.843792E-05,2.552043E-05,1.93507E-05,1.553474E-05,1.322506E-05,1.0687E-05,9.910017E-06,8.536888E-06,7.355279E-06,5.814293E-06,5.05218E-06,4.263975E-06,3.283717E-06,2.528717E-06,2.436023E-06,1.925842E-06,1.878577E-06,1.26671E-06,1.172352E-06,9.794709E-07,9.045125E-07,6.995427E-07,5.591391E-07,4.840233E-07,3.875693E-07,3.21728E-07,3.018183E-07,2.268209E-07,1.955722E-07,1.766779E-07,1.337933E-07,1.133427E-07,1.077551E-07,7.994976E-08,6.584842E-08,6.035185E-08,4.727065E-08,4.180102E-08,3.341544E-08,2.785162E-08,2.347651E-08,2.052724E-08,1.778449E-08,1.513203E-08,1.121664E-08,9.726412E-09,7.736856E-09,7.466556E-09,5.764226E-09,4.893579E-09,4.355247E-09
5,2,0.02832047,0.01514513,0.01487673,0.01728091,0.02072758,0.02602205,0.03252862,0.04030874,0.02993847,0.01673355,0.009647194,0.006044553,0.003983315,0.003821742,0.004811712,0.00664897,0.01008798,0.01415545,0.02069945,0.02435813,0.02070742,0.01620376,0.01152041,0.007075634,0.003252517,0.001437524,0.0009160739,0.0005104122,0.0004413405,0.0001799304,0.000160321,0.000156232,0.0001276809,9.9445E-05,7.000234E-05,3.640794E-05,3.14194E-05,2.485477E-05,2.233035E-05,1.692943E-05,1.352516E-05,1.153884E-05,9.303728E-06,8.659959E-06,7.476592E-06,6.445288E-06,5.05903E-06,4.420559E-06,3.728275E-06,2.864065E-06,2.202806E-06,2.126233E-06,1.681105E-06,1.645757E-06,1.104479E-06,1.023706E-06,8.53826E-07,7.925865E-07,6.105805E-07,4.87908E-07,4.209197E-07,3.392086E-07,2.803612E-07,2.634777E-07,1.975447E-07,1.707485E-07,1.547235E-07,1.166981E-07,9.880603E-08,9.428457E-08,6.992641E-08,5.738507E-08,5.275284E-08,4.121162E-08,3.664345E-08,2.912307E-08,2.428451E-08,2.047905E-08,1.79345E-08,1.555906E-08,1.321823E-08,9.774796E-09,8.466238E-09,6.75089E-09,6.530068E-09,5.035163E-09,4.268225E-09
6,2,0.0619087,0.0195854,0.01032484,0.01009593,0.01177896,0.0140327,0.0177278,0.0278697,0.03452042,0.02561424,0.01431525,0.008275518,0.005188144,0.003429277,0.003300593,0.004152492,0.005722452,0.008726638,0.0122534,0.01787621,0.02106918,0.0179029,0.01399238,0.009958586,0.006115813,0.002817492,0.001243726,0.0007955665,0.0004436111,0.0003836601,0.0001567148,0.0001396457,0.0001359976,0.0001116932,8.683273E-05,6.170682E-05,3.194733E-05,2.761926E-05,2.184218E-05,1.960529E-05,1.487394E-05,1.184054E-05,1.010982E-05,8.154561E-06,7.599583E-06,6.576991E-06,5.674219E-06,4.422533E-06,3.882143E-06,3.273247E-06,2.505252E-06,1.92779E-06,1.861843E-06,1.473823E-06,1.447981E-06,9.679047E-07,8.981577E-07,7.472354E-07,6.969481E-07,5.357954E-07,4.278498E-07,3.679968E-07,2.979108E-07,2.451225E-07,2.309793E-07,1.726204E-07,1.494705E-07,1.361226E-07,1.022968E-07,8.657487E-08,8.290447E-08,6.139506E-08,5.023555E-08,4.627266E-08,3.609762E-08,3.225448E-08,2.547434E-08,2.12528E-08,1.792668E-08,1.57445E-08,1.366114E-08,1.159792E-08,8.562532E-09,7.404025E-09,5.924527E-09,5.737008E-09,4.421834E-09
7,2,0.09218294,0.0461549,0.01441945,0.007508859,0.007324283,0.008560427,0.01012134,0.01526543,0.02401451,0.0296713,0.02196671,0.0122494,0.00711883,0.004473021,0.002968008,0.002867094,0.003604921,0.004958006,0.007593667,0.01067543,0.01552626,0.01833099,0.01556671,0.01214906,0.008647279,0.005319725,0.002457019,0.001083947,0.0006960192,0.0003883463,0.00033586,0.0001373306,0.0001224384,0.0001191861,9.833062E-05,7.617367E-05,5.475759E-05,2.819872E-05,2.440383E-05,1.933374E-05,1.731492E-05,1.315114E-05,1.04261E-05,8.913998E-06,7.186219E-06,6.710005E-06,5.824594E-06,5.023584E-06,3.887632E-06,3.427425E-06,2.889697E-06,2.204483E-06,1.696558E-06,1.641858E-06,1.300435E-06,1.280836E-06,8.525368E-07,7.925557E-07,6.58402E-07,6.169893E-07,4.723842E-07,3.773741E-07,3.239809E-07,2.632408E-07,2.15486E-07,2.037375E-07,1.518769E-07,1.316801E-07,1.205302E-07,9.036359E-08,7.629102E-08,7.330998E-08,5.42754E-08,4.421231E-08,4.088448E-08,3.1787E-08,2.854657E-08,2.241403E-08,1.869203E-08,1.577547E-08,1.390006E-08,1.207468E-08,1.022555E-08,7.549222E-09,6.514414E-09,5.223697E-09,5.050874E-09
8,2,0.1159065,0.0735365,0.03698524,0.0114469,0.005905984,0.00574633,0.006718042,0.008719618,0.01319133,0.02075553,0.02556777,0.0189165,0.01058542,0.006139633,0.003859074,0.002576176,0.00249847,0.00313616,0.004303837,0.006625711,0.009321848,0.01351579,0.01598401,0.01357486,0.01056748,0.007531544,0.004633891,0.00214771,0.0009473761,0.0006110981,0.0003406625,0.0002946998,0.0001206869,0.0001075961,0.0001047217,8.669736E-05,6.685999E-05,4.869326E-05,2.49539E-05,2.15993E-05,1.71078E-05,1.532585E-05,1.165096E-05,9.194579E-06,7.879279E-06,6.34957E-06,5.934715E-06,5.164292E-06,4.467102E-06,3.424559E-06,3.029515E-06,2.554937E-06,1.945406E-06,1.496112E-06,1.450325E-06,1.148674E-06,1.136611E-06,7.512301E-07,7.001064E-07,5.814262E-07,5.470916E-07,4.179121E-07,3.337479E-07,2.859128E-07,2.329306E-07,1.897561E-07,1.798268E-07,1.338483E-07,1.160685E-07,1.068242E-07,7.993007E-08,6.736183E-08,6.49421E-08,4.807409E-08,3.898613E-08,3.621113E-08,2.802399E-08,2.529338E-08,1.975528E-08,1.647877E-08,1.392855E-08,1.230915E-08,1.069944E-08,9.034792E-09,6.657837E-09,5.74458E-09,4.610727E-09
9,2,0.1344584,0.09677467,0.06165877,0.03112024,0.009555132,0.004901725,0.004751274,0.005799627,0.007523588,0.01142282,0.01796647,0.02206639,0.01630944,0.009127746,0.005306518,0.003345696,0.002240007,0.002179868,0.002735475,0.003743633,0.00579046,0.008151053,0.01178163,0.01397378,0.01185579,0.009204667,0.006575943,0.004043913,0.001880467,0.0008296121,0.0005371876,0.000299318,0.0002590503,0.0001062555,9.466677E-05,9.215252E-05,7.655055E-05,5.894341E-05,4.33748E-05,2.211688E-05,1.913807E-05,1.516431E-05,1.359109E-05,1.034668E-05,8.121522E-06,6.970233E-06,5.609989E-06,5.254092E-06,4.587092E-06,3.978567E-06,3.020813E-06,2.679855E-06,2.263536E-06,1.71921E-06,1.320349E-06,1.283275E-06,1.016161E-06,1.010638E-06,6.629497E-07,6.195208E-07,5.133934E-07,4.849451E-07,3.70351E-07,2.954332E-07,2.525587E-07,2.062245E-07,1.672566E-07,1.589578E-07,1.181081E-07,1.022966E-07,9.477759E-08,7.078754E-08,5.957283E-08,5.754508E-08,4.266754E-08,3.442914E-08,3.20908E-08,2.476652E-08,2.245221E-08,1.744738E-08,1.453535E-08,1.232802E-08,1.0925E-08,9.495966E-09,7.99451E-09,5.883748E-09,5.075556E-09
