"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 2 area km2",142031.143684927
"Number of cells",414

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
1,0.02053014,0.01510595,0.00329526,0.08842067,0.148665,0.236422,0.1501827,6.597943E-06,0.0007838607,0.001033833,0.04566595,0.01308465,0.05741106,3.056183E-08,0.002744839,0.02497708,0.06957558,0.01635026,0.1340839,1.630117E-06,0.000155211,0.0005696059,0.006019477,0.007386236,0.03708553,5.415423E-07,6.733266E-05,0.0006467319,0.01410818,0.03548566,0.07987348,0.0266951,0.0194058,0.01068258,0.0007369588,0.01021629,0.03206913,0.008514799,0.03246763,0.0001814003,0.01249356,0.03055149,0.05596157,0.003202995,0.03581192,0.996432,1.748829,1.348975,0.5618286,0.1884025,0.9631444,0.215962,0.1329507,3.361845,10.38482,1.807224,1.237817,0.9225423,0.8275798,0.5147958,0.8305172,5.414356,1.95157,1.547045,1.879237,22.14564,24.43408,20.47347,5.436631,16.00137,5.846293,10.90147,9.811504,0.4493629,1.524264,7.610209,0.4609771,0.8844421,25.52863,14.44261,0.08823958,104.3866,337.2344
2,0.02044736,0.01503523,0.003245676,0.08839557,0.1481929,0.2341641,0.1469671,8.085423E-06,0.0007905494,0.001037649,0.04553829,0.01318373,0.0577871,5.428607E-08,0.002872051,0.02474102,0.07038077,0.01653219,0.1339919,1.541672E-06,0.0001689496,0.0005560173,0.00580832,0.007406794,0.03652444,5.740739E-07,6.567515E-05,0.0006430151,0.01348229,0.03489934,0.08017609,0.0266331,0.01922185,0.01067194,0.0007402877,0.01014137,0.03185768,0.008467036,0.03334541,0.0001238547,0.01000798,0.03089143,0.05552181,0.003250921,0.0358142,0.9981944,1.751345,1.366819,0.5713974,0.1874721,0.975962,0.2141957,0.1275281,3.408038,10.54282,1.794877,1.210738,0.9363903,0.8418535,0.512268,0.8353841,5.334859,1.981848,1.529751,1.870676,22.52086,24.4296,20.85291,5.532759,16.07895,5.884584,11.23253,10.0578,0.4595345,1.518577,7.576968,0.459454,0.8416608,25.61413,14.43016,0.08092344,106.0388,343.4671
3,0.0203659,0.01496514,0.003197249,0.08841962,0.1475567,0.2319895,0.1439688,9.136458E-06,0.0008281081,0.0009964828,0.04559391,0.0132866,0.05797795,2.316086E-07,0.002950059,0.02447198,0.07123444,0.01674974,0.1340316,1.753865E-06,0.0001768365,0.0005871349,0.005612037,0.007463285,0.0359432,2.739069E-07,6.589323E-05,0.0006361563,0.01269918,0.03467932,0.08079011,0.02658002,0.01905227,0.01066401,0.0007445506,0.01007242,0.03165533,0.00842207,0.03421431,8.967404E-05,0.008211197,0.03125625,0.05512576,0.003273851,0.03586147,1.001868,1.75601,1.385636,0.5804632,0.1872553,0.9892805,0.2125434,0.1233855,3.455009,10.70775,1.788671,1.187782,0.9510328,0.8585922,0.5114515,0.8421873,5.262105,2.015227,1.513384,1.866134,22.75132,24.45228,21.13871,5.588658,16.18804,5.929837,11.44548,10.27132,0.4699476,1.523584,7.539767,0.4587933,0.7952217,25.36825,14.2437,0.07505009,107.2072,349.4527
4,0.02028598,0.01489579,0.003149985,0.08846471,0.146793,0.2301674,0.141089,5.840012E-06,0.000850275,0.0009663187,0.04544032,0.01339095,0.05807614,0,0.003027021,0.02431217,0.07211325,0.01695219,0.1336747,1.337051E-06,0.0001926125,0.0006217099,0.005303714,0.007508213,0.03549507,7.298793E-07,8.467498E-05,0.0006292718,0.01197756,0.03419258,0.08168057,0.02653595,0.01889723,0.01066159,0.0007499526,0.01000941,0.03146237,0.008384818,0.03507512,8.658959E-05,0.007249734,0.03164511,0.05484867,0.003280794,0.03594183,1.007025,1.762281,1.404893,0.5880079,0.1870243,1.002608,0.2109142,0.120358,3.501299,10.90954,1.784647,1.167987,0.9632699,0.8760965,0.511664,0.8494884,5.192894,2.051605,1.494431,1.865162,22.89437,24.47845,21.26355,5.601533,16.30574,5.976403,11.46672,10.38654,0.4772052,1.532733,7.523522,0.4586856,0.7503001,24.37617,13.55574,0.06995448,107.5017,353.3651
5,0.02020781,0.01482719,0.003103832,0.08849943,0.1459342,0.2289912,0.1382337,4.150595E-06,0.0008614644,0.0009811866,0.04530819,0.01349464,0.05844218,0,0.003142183,0.02417684,0.07299512,0.01692721,0.1319178,1.373051E-06,0.0002086489,0.0006003022,0.005071036,0.007533577,0.03501644,1.439505E-06,8.105372E-05,0.0006306916,0.01120452,0.0341103,0.08205224,0.02650156,0.01875813,0.01066898,0.0007564988,0.009952149,0.03127973,0.008361723,0.03592629,0.0001581914,0.008405214,0.03207453,0.0547055,0.003271039,0.03603759,1.012784,1.769151,1.423713,0.592626,0.1855446,1.014961,0.2092292,0.118255,3.545954,11.17393,1.779245,1.150099,0.969388,0.8917363,0.5118301,0.8555126,5.125182,2.090547,1.469321,1.867676,22.92684,24.46557,21.15513,5.557684,16.38327,6.016572,11.18105,10.31991,0.4771607,1.535763,7.561177,0.4586998,0.7126786,22.8327,12.60395,0.0657213,106.2475,352.3319
6,0.02013156,0.01475937,0.003058748,0.08847042,0.1450092,0.2283045,0.1353917,6.620488E-06,0.0007005915,0.000946416,0.04513528,0.01359618,0.05957838,1.545496E-08,0.003241847,0.02397919,0.07384437,0.01657127,0.1290004,9.347127E-07,0.0002208828,0.0006265437,0.004721663,0.007602894,0.03464788,5.794088E-07,8.066849E-05,0.0006078255,0.0103758,0.03404457,0.08234234,0.02647717,0.01863636,0.01068729,0.0007639724,0.009899884,0.03110809,0.008356135,0.03677011,0.0002728491,0.01232645,0.03252335,0.05465236,0.003260829,0.03612917,1.018449,1.775305,1.440916,0.5917072,0.181509,1.025228,0.2074321,0.1168469,3.588638,11.52775,1.769412,1.132576,0.9662224,0.9042069,0.5105656,0.8584385,5.055438,2.130666,1.435338,1.871855,22.73356,24.37258,20.7594,5.443377,16.36901,6.04209,10.60324,10.04343,0.4679486,1.52692,7.653589,0.4585565,0.6791052,22.38135,12.51907,0.06100008,103.4099,344.642
7,0.02005736,0.01469219,0.00301467,0.08837926,0.1440413,0.227757,0.1325543,4.179997E-06,0.000812131,0.0009271728,0.04497905,0.01369502,0.06125655,6.209135E-08,0.003359693,0.02386903,0.07462003,0.01605169,0.1257477,9.012916E-07,0.0001959225,0.0006261106,0.004403837,0.007685834,0.03432854,5.600195E-07,7.784933E-05,0.0006169799,0.00955021,0.03403804,0.08319093,0.02646286,0.01853193,0.01071333,0.0007717732,0.009851245,0.03094724,0.008363211,0.03760624,0.0003315259,0.01504428,0.03295954,0.05464844,0.003263825,0.03619618,1.02337,1.779463,1.456133,0.5872602,0.1765661,1.033708,0.205486,0.1158685,3.627571,11.94487,1.752539,1.113469,0.9557124,0.9167622,0.5062236,0.8579426,4.980033,2.169701,1.395695,1.875521,22.42545,24.22765,20.25179,5.311037,16.28076,6.053091,10.165,9.747301,0.4555638,1.506894,7.74922,0.4583983,0.6574846,22.9577,12.9926,0.05611784,101.2433,334.7785
8,0.01998514,0.01462563,0.00297154,0.08823386,0.1430474,0.2271891,0.1297389,5.879466E-06,0.0008164033,0.0009203195,0.04501173,0.01379126,0.06313081,6.769881E-08,0.003503059,0.02375722,0.07531304,0.01547595,0.122398,3.73431E-07,0.0001982463,0.0006333012,0.004069656,0.00769832,0.03404998,1.678097E-06,7.484714E-05,0.0006538936,0.008625368,0.03415605,0.08367627,0.02645841,0.01844285,0.0107445,0.0007794959,0.009805116,0.03079622,0.008377748,0.03843389,0.0004356092,0.01669233,0.03337395,0.05465688,0.003285804,0.0362277,1.027142,1.780795,1.46916,0.5811841,0.1713728,1.040975,0.2034019,0.1151407,3.662212,12.38861,1.728202,1.091846,0.9413134,0.9314318,0.4988612,0.8548372,4.897799,2.206465,1.354416,1.878519,22.20443,24.07837,19.80717,5.206489,16.17175,6.058689,10.08746,9.585542,0.447678,1.488231,7.790572,0.4589196,0.6509177,23.35917,13.21736,0.05313249,100.9254,327.7841
9,0.0199147,0.01455965,0.002929288,0.08802781,0.1420398,0.2264579,0.126896,5.682435E-06,0.0009582692,0.0009056922,0.04465222,0.01388638,0.06537446,7.384593E-08,0.00362712,0.02368155,0.07596303,0.0149314,0.1190785,7.00406E-07,0.0001848915,0.0005998936,0.00358818,0.007794804,0.03390327,1.362179E-06,7.120761E-05,0.0005945137,0.007411331,0.03460077,0.08432139,0.02646347,0.01836654,0.01078346,0.0007866957,0.009761116,0.03065384,0.00839177,0.03925213,0.0006349779,0.01768577,0.033774,0.05455728,0.003351721,0.03622565,1.029626,1.779234,1.480136,0.5757939,0.16606,1.047176,0.2012372,0.1145917,3.691207,12.86672,1.698771,1.068374,0.9233393,0.9478034,0.4883252,0.8499506,4.80854,2.241251,1.31128,1.881567,22.05215,23.93285,19.4236,5.118992,16.06592,6.06154,10.19324,9.533095,0.4465196,1.48141,7.768356,0.4596231,0.6654743,24.10594,13.56234,0.0521539,101.4293,324.3639
10,0.01984607,0.01449434,0.002887915,0.08780118,0.141029,0.2255314,0.1240185,3.686349E-06,0.00102382,0.0009001214,0.04446065,0.01398254,0.06760605,1.561558E-07,0.003797735,0.02360732,0.07659074,0.01453884,0.1158538,8.143394E-07,0.0002145133,0.0006010877,0.003003493,0.00794859,0.03375249,7.93363E-07,6.630654E-05,0.0005781907,0.006231765,0.0347248,0.08485458,0.02647763,0.01830116,0.01082443,0.0007932307,0.009719239,0.03051955,0.008399636,0.04005979,0.0008012248,0.01722341,0.03416645,0.0543679,0.003433475,0.03619887,1.030776,1.775011,1.489592,0.5724747,0.1614705,1.053152,0.1990731,0.1142285,3.715945,13.27673,1.668035,1.043332,0.9106267,0.9631173,0.4777073,0.8458568,4.720095,2.274814,1.275368,1.885554,22.29713,23.82851,19.32937,5.13357,16.00443,6.064675,10.41696,9.585163,0.4512659,1.498166,7.694495,0.4598185,0.6864386,24.30782,13.53591,0.05176557,102.4749,325.2773
