"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 2 area km2",142031.143684927
"Number of cells",414

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.01977936,0.01442957,0.002847484,0.08762053,0.1400231,0.2243974,0.1211368,3.065622E-06,0.001052068,0.0008870454,0.04421415,0.0140815,0.06952333,4.159337E-09,0.003936691,0.02357818,0.07724056,0.01450506,0.11376,1.00427E-06,0.0001729621,0.0006080202,0.002359212,0.008223848,0.03363238,1.013169E-06,6.563308E-05,0.0005826659,0.004676131,0.03520168,0.08567764,0.02649989,0.01824521,0.01086062,0.000799299,0.009680014,0.03039266,0.008397378,0.040856,0.0007042696,0.01457607,0.03453945,0.05415074,0.003505145,0.03617305,1.031451,1.769629,1.498836,0.5738422,0.1589942,1.059753,0.1969956,0.1140144,3.738417,13.56313,1.642894,1.018373,0.9078004,0.976796,0.4695821,0.8444918,4.641315,2.308227,1.25125,1.889534,22.7931,23.76427,19.54794,5.240807,15.9761,6.063551,10.59515,9.673038,0.4578192,1.524456,7.612133,0.4584197,0.7031272,24.3773,13.57141,0.0509759,103.1067,328.1832
12,0.01971454,0.01436528,0.002807958,0.08751434,0.1390263,0.2229021,0.1183889,7.030327E-06,0.001027478,0.0008828177,0.04393985,0.01418364,0.07083108,0,0.004024953,0.02362427,0.07794984,0.01469768,0.1130373,4.868444E-07,0.0001945139,0.0006076398,0.001452933,0.008479427,0.03372135,5.500385E-07,7.401838E-05,0.0005288624,0.00254439,0.03601038,0.0869187,0.02652895,0.0181967,0.01088949,0.0008051685,0.009644414,0.03027186,0.008385014,0.04164052,0.000449626,0.01200402,0.03490825,0.0538934,0.003560192,0.03617673,1.032951,1.765011,1.508806,0.5792829,0.1581518,1.067123,0.1950601,0.1138952,3.761554,13.76312,1.627408,0.9950428,0.9132946,0.9900448,0.4640574,0.8460718,4.574857,2.342431,1.236099,1.893822,23.31938,23.72719,19.89956,5.358548,15.96185,6.05366,10.72438,9.771199,0.4642462,1.540052,7.536527,0.456055,0.7024854,24.70173,13.85637,0.04908667,103.4663,331.975
13,0.01965173,0.01430145,0.002769319,0.08747462,0.138075,0.2211251,0.1157361,3.058047E-06,0.00128937,0.0009135656,0.04350992,0.01431938,0.07179768,0,0.004080109,0.02383433,0.0787667,0.01498358,0.1133539,1.455072E-06,0.0002182544,0.0005679464,0.001456211,0.008114895,0.03341888,1.820289E-06,6.098007E-05,0.0005210715,0.002673694,0.03417968,0.08744659,0.02657312,0.0180848,0.01091384,0.0008153567,0.009613311,0.03015041,0.008360009,0.04236809,0.0002357103,0.009740921,0.03532024,0.05357393,0.003608994,0.03623799,1.036119,1.762384,1.5201,0.587126,0.1586475,1.075599,0.1936253,0.1139154,3.791915,13.90621,1.621441,0.9734498,0.9253072,1.004871,0.4604616,0.8540423,4.519887,2.377565,1.227654,1.899088,23.73914,23.72196,20.30161,5.460305,15.96885,6.041401,10.89741,9.906652,0.4710073,1.535946,7.467984,0.4537168,0.6865352,25.46801,14.40882,0.04662161,104.1485,336.9222
14,0.01959104,0.01423817,0.002731593,0.08748241,0.1371444,0.2191974,0.1132891,2.874742E-06,0.001163191,0.0009141269,0.04335287,0.01446627,0.07245908,0,0.004109831,0.02405154,0.07965305,0.01529699,0.1142428,1.5067E-06,0.0002241231,0.0005839778,0.001468013,0.007797074,0.03319851,1.438156E-06,7.050402E-05,0.0005144654,0.002754386,0.03284914,0.08798421,0.02662539,0.01795717,0.01093666,0.0008269628,0.009586885,0.03003054,0.008329512,0.04306994,0.000125693,0.007927811,0.0357565,0.05321802,0.003646954,0.0363504,1.041241,1.76218,1.532728,0.5958999,0.1604131,1.085104,0.1924544,0.114007,3.825859,14.01655,1.621609,0.9530985,0.9412614,1.024444,0.4584368,0.8644893,4.472869,2.413645,1.223436,1.905995,24.06255,23.76371,20.70406,5.544644,16.02645,6.039324,11.1921,10.11269,0.4797957,1.520389,7.41503,0.4524516,0.6594186,25.5453,14.38623,0.04399977,105.6498,343.9442
15,0.01953251,0.01417555,0.00269475,0.08754041,0.1362264,0.2173616,0.1110017,6.269815E-06,0.001315958,0.0009099242,0.04311536,0.01461652,0.0728983,4.641549E-08,0.004175593,0.02429834,0.08058429,0.01564313,0.1152402,9.000237E-07,0.0002118012,0.0006717418,0.001453641,0.007448325,0.03297483,4.762109E-07,8.277659E-05,0.0006193632,0.00267118,0.03077405,0.08868316,0.02668371,0.01782972,0.01096086,0.00083919,0.009565175,0.02991308,0.008299648,0.0437573,8.882308E-05,0.006606717,0.03621388,0.05290629,0.003657745,0.03650435,1.047869,1.764221,1.546401,0.6040546,0.1630677,1.095243,0.191445,0.1142363,3.861371,14.13355,1.623839,0.9338658,0.9574937,1.047243,0.458023,0.8760883,4.430055,2.451168,1.21958,1.914413,24.23612,23.82618,20.99282,5.593846,16.12351,6.054921,11.38677,10.29392,0.4882165,1.498318,7.39998,0.4519996,0.6282255,25.29273,14.19438,0.04189526,106.6633,350.3952
16,0.01947619,0.01411371,0.002658781,0.08761734,0.1353206,0.2158711,0.1088002,4.58438E-06,0.001144691,0.000936194,0.0428473,0.01476701,0.07319357,7.03998E-08,0.004137231,0.02461917,0.08153502,0.01596756,0.1158001,9.854207E-07,0.0001942876,0.0006750551,0.001502136,0.006996672,0.0328345,1.712641E-06,7.28364E-05,0.0006686077,0.002667426,0.02905168,0.08992537,0.02674756,0.01770917,0.01098948,0.0008520083,0.009548029,0.02979923,0.008276189,0.04443463,9.19461E-05,0.005935122,0.03669515,0.05270867,0.003650332,0.03668449,1.055445,1.767777,1.560535,0.6106033,0.1663478,1.10549,0.1905292,0.1146812,3.897247,14.289,1.624959,0.9156742,0.9705642,1.070973,0.4586667,0.8878587,4.387933,2.490412,1.213117,1.924573,24.3187,23.88777,21.10908,5.605609,16.24055,6.088097,11.4145,10.39628,0.4937318,1.478309,7.429316,0.4520421,0.5974821,24.29573,13.50553,0.04008353,106.8744,354.3298
17,0.01942202,0.01405269,0.002623616,0.087681,0.1344313,0.2150068,0.1066123,3.863332E-06,0.00133428,0.0009371811,0.0427033,0.01491599,0.0737413,8.228569E-08,0.004050999,0.02499558,0.08248407,0.01604851,0.1149103,1.259656E-06,0.0002006626,0.0006898487,0.001499266,0.006664373,0.03272644,1.369804E-06,6.984618E-05,0.000696442,0.002694977,0.02725567,0.09056824,0.02681726,0.01759943,0.01102725,0.0008655433,0.009535091,0.02969044,0.008266062,0.04510437,0.0001791637,0.007081626,0.03722465,0.05263768,0.003622577,0.0368726,1.063034,1.771831,1.574278,0.6141948,0.1692531,1.114847,0.1896547,0.115349,3.932994,14.50962,1.62305,0.898664,0.9767899,1.092115,0.4592701,0.8985573,4.344424,2.531245,1.200818,1.936985,24.2889,23.9074,20.98392,5.564267,16.32693,6.127984,11.15236,10.33449,0.4926434,1.464863,7.509274,0.4521586,0.5721319,22.74708,12.55395,0.03874665,105.6294,352.9671
18,0.01937009,0.01399246,0.002589215,0.08767738,0.1335654,0.2146248,0.1044279,3.099787E-06,0.001228488,0.0009067894,0.04240709,0.01506243,0.07516507,0,0.003960144,0.02534566,0.08339595,0.01577877,0.1128383,1.42169E-06,0.000224203,0.0006518205,0.001536992,0.006158114,0.03270195,1.804437E-06,8.613499E-05,0.0007278735,0.002700511,0.02551738,0.09154677,0.02689354,0.01750313,0.01107549,0.0008796039,0.009525688,0.02958785,0.008272894,0.04576758,0.0003177839,0.01070052,0.03778196,0.05265228,0.00359233,0.03705024,1.070085,1.775184,1.586499,0.6122278,0.1707427,1.122152,0.1887762,0.1161586,3.968539,14.82522,1.616651,0.8827643,0.9729422,1.109158,0.4583695,0.9065681,4.296599,2.572442,1.179945,1.949955,24.03119,23.84401,20.55917,5.453344,16.32514,6.157281,10.59806,10.06888,0.4830115,1.459621,7.623029,0.4520839,0.5490984,22.2933,12.46988,0.0372619,102.8623,344.8009
19,0.0193202,0.01393292,0.00255552,0.08760893,0.1327274,0.2143921,0.102242,3.708961E-06,0.001076451,0.000915684,0.04208169,0.01520587,0.07721612,4.581296E-09,0.003854789,0.0256399,0.08422685,0.01533241,0.1103957,2.199414E-06,0.0002136428,0.0006689862,0.001548849,0.005717669,0.03277116,9.756835E-07,9.181E-05,0.0007719716,0.002588955,0.0238995,0.09236017,0.02697652,0.01742073,0.0111307,0.0008936229,0.009518602,0.02949148,0.008291619,0.04642371,0.0003708896,0.01326948,0.03833139,0.05271344,0.00357498,0.03719802,1.075973,1.776664,1.596914,0.6067944,0.171898,1.127733,0.1878474,0.1169576,4.001947,15.20948,1.604116,0.86721,0.9616449,1.126482,0.4544336,0.91153,4.241902,2.611792,1.153233,1.961032,23.65767,23.72607,20.01917,5.323274,16.24638,6.167594,10.17017,9.778239,0.4705006,1.460154,7.716154,0.4519938,0.5350552,22.87313,12.94643,0.03593551,100.7781,334.5362
20,0.01927218,0.01387404,0.00252251,0.08748522,0.1319187,0.2141528,0.1000705,5.349625E-06,0.001215247,0.0009144279,0.04182064,0.01534646,0.07949191,6.485447E-07,0.003850222,0.0258178,0.08496639,0.01482204,0.1078169,1.398341E-06,0.0002024672,0.0006320499,0.001616454,0.005313672,0.03284966,1.317544E-06,9.192441E-05,0.0008273191,0.002576246,0.02147199,0.09331524,0.02706621,0.01735045,0.01119009,0.0009072605,0.009512982,0.02940051,0.008316831,0.047072,0.0004484806,0.0149577,0.03886037,0.05278519,0.003577287,0.03730597,1.080343,1.775514,1.605326,0.5998107,0.172971,1.132136,0.1868475,0.117645,4.03232,15.62268,1.585027,0.8513108,0.9467243,1.146459,0.4475613,0.9138569,4.179921,2.648201,1.124409,1.969852,23.37366,23.60153,19.5463,5.219161,16.13993,6.164121,10.08751,9.611471,0.4625302,1.466357,7.739103,0.4525923,0.5336088,23.28008,13.17304,0.03544579,100.5181,327.361
21,0.01922582,0.01381576,0.00249013,0.08730105,0.1311369,0.2137566,0.09787712,3.558454E-06,0.001272049,0.0009079205,0.04144851,0.01548482,0.08216749,8.151246E-07,0.003846113,0.02619341,0.08565493,0.01433994,0.1052243,6.971385E-07,0.0001870188,0.0006722613,0.001555996,0.004779961,0.03308376,5.91508E-07,9.108706E-05,0.000887923,0.002615113,0.01938341,0.09489179,0.02716224,0.0172896,0.01125657,0.0009202559,0.009508443,0.02931379,0.008340012,0.04771155,0.0006051493,0.01621952,0.03937209,0.05274855,0.003625924,0.03737639,1.083063,1.771668,1.611822,0.5935687,0.1741678,1.135525,0.1857823,0.1182087,4.057411,16.07341,1.561049,0.8349541,0.9282338,1.168337,0.43781,0.9136919,4.11063,2.682066,1.093054,1.977119,23.16179,23.47795,19.13393,5.130429,16.02947,6.150789,10.17698,9.543807,0.4611429,1.474706,7.696682,0.4533883,0.5499347,24.03812,13.52369,0.03614349,101.0359,323.9817
22,0.01918112,0.01375809,0.002458415,0.08709472,0.1303782,0.2131589,0.09565919,3.153987E-06,0.001402644,0.0009157365,0.04113784,0.01562148,0.0848502,8.072361E-07,0.003747763,0.02635797,0.08631179,0.01401247,0.102689,1.379326E-06,0.0001726359,0.0007260143,0.001622623,0.004074035,0.03342959,8.933825E-07,8.921075E-05,0.0008732746,0.00259743,0.0172099,0.09611235,0.02726391,0.0172365,0.01132375,0.0009321169,0.009504592,0.02923092,0.008355429,0.04834135,0.0007531258,0.01610615,0.0398658,0.05262081,0.003692275,0.03741752,1.084078,1.765285,1.61686,0.5894057,0.1762256,1.138762,0.1846715,0.1187008,4.077615,16.45086,1.535362,0.8173832,0.9155476,1.18801,0.4280505,0.9130604,4.041483,2.714224,1.068183,1.984321,23.35625,23.39551,19.03011,5.143202,15.95947,6.136124,10.38825,9.580116,0.4656615,1.490079,7.613186,0.4536653,0.5718405,24.24893,13.49972,0.03702724,102.0659,325.0801
23,0.01913812,0.01370101,0.002427447,0.08693162,0.129641,0.2123445,0.09344438,1.251232E-06,0.001432499,0.0008996113,0.04076638,0.01575744,0.08726697,3.72073E-07,0.003723118,0.02659702,0.08698511,0.01405301,0.1012408,1.593286E-06,0.0001705411,0.000690292,0.001695988,0.003263012,0.03389114,1.079202E-06,9.841673E-05,0.000887498,0.002383321,0.01464297,0.09747972,0.02737009,0.01718984,0.01138414,0.0009428932,0.009501976,0.02915144,0.008359109,0.04896035,0.0006629606,0.01382515,0.04032255,0.05246241,0.00375028,0.03745561,1.084319,1.75785,1.62175,0.5899674,0.1803795,1.142712,0.1835726,0.1191278,4.094454,16.69733,1.514745,0.7990968,0.9130066,1.20494,0.4205072,0.9138187,3.980638,2.745621,1.054151,1.990924,23.81097,23.35367,19.26019,5.248861,15.92343,6.120236,10.56378,9.657057,0.4719992,1.503359,7.534543,0.4523377,0.5902752,24.32261,13.53538,0.03733329,102.6707,328.1891
