"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0.02223703,0.02025324,0.01844643,0.01680081,0.015302,0.01393689,0.01269357,0.01156117,0.01052978,0.009590413,0.008734844,0.007955601,0.007245875,0.007038957,0.006837949,0.006642681,0.006452988,0.006268713,0.0060897,0.005915799,0.005746863,0.005582753,0.005423328,0.005268456,0.005118007,0.004971854,0.004829875,0.004691951,0.004557964,0.004427805,0.004301362,0.00417853,0.004059205,0.003943288,0.003830681,0.00372129,0.003615022,0.00351179,0.003411505,0.003314084,0.003219445,0.003127509,0.003038198,0.002951437,0.002867154,0.002785278,0.00270574,0.002628473,0.002553413,0.002480496,0.002409662,0.00234085,0.002274003,0.002209065,0.002145982,0.0020847,0.002025168,0.001967336,0.001911156,0.00185658,0.001803562,0.001752059,0.001702026,0.001653422,0.001606206,0.001560338,0.00151578,0.001472495,0.001430445,0.001389596,0.001349914,0.001311365,0.001273917,0.001237539,0.001202199,0.001167868,0.001134518,0.00110212,0.001070647,0.001040073,0.001010372,0.0009815192,0.0009534903,0.0009262619,0.000899811,0.0008741155,0.0008491538,0.0008249049,0.0008013484,0.0007784646,0.0007562343,0.0007346388,0.0007136601,0.0006932804,0.0006734827,0.0006542504,0.0006355672,0.0006174176,0.0005997863,0.0005826585,0.0005660197,0.0005498561,0.0005341541,0.0005189005,0.0005040825,0.0004896876,0.0004757038,0.0004621193,0.0004489228,0.0004361031,0.0004236495,0.0004115515,0.01400024
1,2,0,0,0.0001803526,0.0006881902,0.000272294,0.0001986482,0.0001625531,7.50245E-05,0.0001741563,0.0001228076,0,0.0001003169,5.869693E-05,3.111417E-05,2.507134E-05,7.550642E-06,6.174557E-06,2.337014E-05,2.093202E-05,1.789637E-05,1.412703E-05,2.01257E-05,9.529253E-06,1.512801E-06,1.671902E-05,1.507934E-05,0,1.296068E-05,9.666199E-06,5.593406E-06,2.3743E-05,5.226914E-06,7.948215E-06,5.405194E-06,1.095484E-05,5.32172E-06,9.948835E-06,1.454127E-05,4.56996E-06,8.501016E-06,1.606784E-05,1.36424E-05,1.43876E-06,1.253658E-05,9.314424E-06,7.120771E-06,6.456364E-06,0,3.554414E-06,2.029085E-05,1.299513E-05,6.419342E-06,1.148986E-05,5.049133E-06,5.994178E-06,5.671961E-06,5.794308E-06,5.91999E-06,5.327364E-06,2.346071E-06,2.521354E-06,3.252008E-06,5.729352E-06,0,4.739231E-06,0,4.012133E-06,2.046739E-06,3.22816E-06,0,8.899618E-06,1.725828E-06,1.855115E-06,5.192868E-06,8.843926E-06,1.627065E-06,7.601313E-06,1.599145E-06,2.552071E-06,4.242071E-06,2.621349E-06,2.878166E-06,1.362837E-06,4.29691E-06,2.640702E-06,6.793851E-06,4.924018E-06,2.120307E-06,2.410046E-06,9.731986E-07,5.060927E-06,3.329664E-06,2.354792E-06,1.009406E-06,1.79091E-06,1.869979E-06,1.66669E-06,2.450243E-06,3.057521E-06,9.129292E-07,1.590609E-06,0,2.187409E-06,1.481678E-06,3.415263E-07,1.979954E-06,7.363919E-07,6.876853E-07,3.270998E-06,1.766298E-06,1.273702E-06,1.895593E-06,1.06513E-06
2,2,0.0005154575,0.0002569359,0,0.0005896211,0.0001346588,0,0.0001813005,0.0002707071,0.0002730984,0.0002117918,0.0002160472,3.342672E-05,2.211897E-05,6.629252E-05,8.56627E-06,2.763318E-05,2.976991E-05,1.684454E-05,1.047817E-05,9.54944E-06,1.350375E-05,5.437511E-06,1.910768E-05,5.574381E-06,6.908729E-06,4.102937E-06,0,2.678962E-05,1.474468E-05,2.783632E-05,1.059643E-05,5.526207E-06,5.225151E-06,1.726095E-05,4.702344E-06,1.025797E-05,3.881967E-06,1.469907E-05,1.572712E-05,4.810491E-06,1.160555E-05,2.101342E-06,2.188165E-05,9.547275E-06,4.206125E-06,5.395906E-06,0,9.130428E-06,1.050372E-05,7.024033E-06,8.968399E-06,1.229133E-05,0,1.180216E-06,1.035656E-05,5.8222E-06,1.02267E-05,5.507561E-06,5.711448E-06,2.468627E-06,0,2.488855E-06,2.699556E-06,3.204552E-06,0,6.859235E-06,2.402586E-06,1.378481E-06,2.083099E-06,6.530438E-06,0,3.66565E-06,3.543303E-06,6.804555E-06,1.590633E-06,4.976856E-06,3.226787E-06,2.595611E-06,0,5.609409E-06,0,6.646654E-06,1.20241E-06,0,1.112687E-06,1.972601E-06,3.151007E-06,3.621885E-06,2.225222E-06,5.836102E-08,3.939173E-06,2.027036E-06,1.038385E-06,2.929215E-06,1.999246E-06,3.009303E-06,3.73E-06,1.764198E-06,7.475614E-07,2.552974E-06,8.811878E-07,1.461186E-06,7.842394E-07,3.013429E-06,6.426561E-07,2.280981E-06,1.321482E-06,2.024999E-06,6.78505E-07,6.425755E-07,1.055381E-06,1.678704E-06,0
3,2,0.0002467757,0.0004826519,0,0,0.0005255585,0.0004524124,0.0002488017,0.0002544126,0.0002671944,0.0003425842,0.0002000061,0.000163833,6.24147E-05,3.950319E-05,4.140499E-05,1.476722E-05,2.510963E-05,1.825506E-05,4.98444E-06,3.121894E-05,9.945947E-06,0,1.128217E-05,6.051869E-06,1.147141E-05,9.851726E-06,2.131415E-05,1.0908E-05,0,1.32028E-05,1.474259E-05,5.278101E-06,4.829487E-06,6.151927E-06,4.991715E-06,5.249846E-06,1.440519E-05,3.512775E-06,1.826286E-05,2.540317E-05,4.583598E-06,1.651762E-05,8.061617E-06,1.675605E-05,4.190451E-06,4.096893E-06,8.393793E-06,1.983333E-05,1.842476E-06,1.331761E-05,1.699186E-05,8.435157E-06,8.328941E-06,8.654768E-06,3.894459E-06,1.11835E-05,2.677497E-06,8.282317E-06,1.303489E-05,2.690538E-06,4.315506E-06,2.380457E-06,4.870288E-06,0,5.126219E-06,2.316561E-06,4.121957E-06,0,4.505463E-06,2.103352E-06,4.567201E-06,1.895976E-06,4.486983E-06,1.749961E-06,3.739537E-06,1.72026E-06,4.545609E-06,2.932778E-06,2.376223E-06,0,4.8257E-06,1.375946E-06,1.427167E-06,3.811863E-06,1.38689E-06,0,1.617012E-07,4.991899E-06,2.28001E-06,9.506907E-07,3.902974E-08,3.73338E-06,4.607919E-06,1.096329E-06,3.88358E-06,0,3.288997E-06,0,7.454742E-06,1.256361E-06,3.578411E-06,2.453165E-06,2.17407E-06,1.398567E-06,6.893376E-07,1.499399E-06,2.184289E-06,1.874935E-06,1.844496E-06,0,1.274728E-06,6.215276E-07,1.711047E-06
4,2,0.0004671577,0.0004161886,0.0002271699,0.0001642891,0.0002848779,0.0003045405,0.0004122575,0.0004545697,0.0001453322,0.0002322828,9.133232E-05,6.80057E-05,0.0002037808,3.813553E-05,4.322355E-05,1.888293E-05,1.998593E-05,1.255226E-05,3.142924E-05,1.089407E-05,9.17445E-06,0,1.157979E-05,1.061204E-05,8.556149E-06,5.926894E-06,2.554913E-05,5.907151E-06,1.134611E-05,5.648121E-06,5.319765E-06,2.598713E-05,3.310024E-09,2.181655E-05,1.150886E-05,9.366059E-06,4.875626E-06,1.875565E-05,1.77141E-05,5.744346E-07,5.078618E-06,1.345925E-05,1.179707E-05,1.183761E-05,8.016142E-06,0,6.935744E-06,1.245348E-05,0,0,3.544664E-06,6.858776E-06,8.448029E-06,8.555749E-06,0,0,1.107086E-05,1.012852E-05,9.434687E-06,9.670954E-06,2.593563E-06,4.840601E-06,8.522271E-06,6.703924E-06,2.61157E-06,8.399152E-07,0,1.655148E-06,1.695525E-06,2.966154E-06,3.803941E-06,4.5889E-06,1.6518E-06,3.624374E-07,1.625911E-06,1.7208E-06,2.911136E-06,1.592431E-06,4.409304E-06,3.301556E-06,0,4.152864E-06,1.508234E-06,9.364187E-06,4.895942E-06,1.29113E-06,6.405628E-06,1.158757E-06,2.368759E-06,3.13187E-06,2.125069E-06,0,1.785352E-06,1.908642E-06,3.97747E-06,2.802385E-06,2.86522E-06,7.430551E-07,0,3.262295E-06,3.073115E-06,7.041473E-07,1.458816E-06,3.114856E-07,2.190832E-06,1.36841E-06,6.219063E-07,2.805874E-06,1.15077E-06,5.647869E-07,2.583691E-06,2.662262E-06,1.151899E-06
5,2,0.0004431465,0.000399215,0.000179412,0,0,0.0001268028,0.0004153967,0.0001161622,0.0002078653,0.0001417767,0,0.0001289851,4.880045E-05,7.151819E-05,6.248427E-05,2.000174E-05,3.583605E-05,5.573058E-05,3.578256E-05,2.233236E-05,1.45766E-05,2.310696E-05,9.992707E-06,7.384609E-06,9.345022E-06,3.35033E-06,1.03517E-05,5.577009E-06,1.302023E-05,1.595057E-05,0,1.1363E-05,2.067455E-05,5.417637E-06,2.109977E-05,4.491537E-06,4.454017E-06,1.521201E-05,1.551838E-05,1.658074E-05,8.673164E-06,4.697794E-06,8.568021E-06,2.306978E-05,1.516552E-05,7.294747E-06,0,1.175903E-05,7.637213E-06,9.579742E-06,0,0,3.067913E-06,9.440208E-06,5.236076E-06,0,2.868318E-06,9.491812E-06,3.976627E-06,2.342239E-06,0,4.015983E-06,0,0,6.169289E-07,6.192985E-06,4.811873E-06,4.085729E-06,5.564487E-06,5.80152E-06,4.758867E-06,8.689412E-06,3.563908E-06,3.422721E-06,2.11345E-06,3.029067E-06,1.648738E-06,1.490577E-06,2.861336E-06,1.135061E-06,4.995779E-06,5.206941E-06,5.529744E-06,2.282053E-06,5.876503E-06,0,2.149853E-06,4.217342E-06,3.269346E-06,0,2.233108E-06,1.921439E-06,0,1.678411E-06,2.62443E-06,2.974728E-06,9.902168E-07,1.783839E-06,8.280385E-07,5.466362E-06,1.638114E-06,2.438459E-06,1.193005E-06,6.257216E-07,6.289537E-07,1.468146E-06,1.236128E-06,0,1.111682E-06,1.013219E-11,1.00595E-06,6.204161E-07,4.591826E-07
6,2,0.0002139637,0.0004036595,0.0001675589,0,0,0.0002440873,0.0001139635,0.0007715414,0.0001771643,0.0003062178,0.0001682862,9.465265E-05,0.0001536579,2.240717E-05,4.617898E-05,8.159676E-05,3.936229E-05,9.426559E-05,6.264952E-05,2.398307E-05,5.737033E-06,1.585884E-05,1.828294E-05,9.562571E-06,1.60843E-05,1.477347E-05,3.073649E-06,5.060774E-06,3.6707E-06,1.728226E-05,2.492802E-07,1.95727E-05,1.276688E-05,1.831684E-05,1.064174E-05,1.439967E-05,0,9.578011E-06,4.639726E-06,1.917882E-05,1.845992E-05,3.705336E-06,1.333926E-05,3.802149E-06,7.943032E-06,1.11821E-05,7.047056E-06,1.629759E-06,1.382307E-05,7.131208E-06,5.418795E-06,3.014309E-06,2.957519E-06,0,5.683916E-06,8.355296E-06,0,6.122638E-06,4.008883E-06,1.617542E-06,2.402725E-06,2.358066E-06,2.543979E-06,8.488587E-06,0,4.798555E-06,3.779638E-06,2.697741E-06,3.774446E-06,4.725418E-06,3.525646E-06,5.811338E-06,1.526657E-06,1.831618E-06,0,1.5833E-06,1.284165E-06,1.104211E-09,2.889124E-06,0,1.576064E-06,3.046226E-06,2.442421E-06,1.113813E-06,0,0,3.549831E-06,2.043059E-06,2.313165E-06,9.763622E-07,2.274343E-06,0,1.866269E-06,1.863834E-06,7.313278E-07,3.883122E-06,1.681851E-06,2.578247E-06,8.446086E-07,1.581533E-06,4.414586E-06,8.05213E-07,6.587252E-07,1.515825E-06,2.75382E-06,3.008003E-06,1.26397E-06,1.225501E-06,1.355787E-06,1.745918E-06,0,2.094011E-06,1.128157E-06
7,2,0.0002137448,0.0001835349,0.000200941,0.0001427686,0,0.0001295669,0.0002470569,8.073078E-05,9.243244E-05,0.0001509893,0.0001516803,4.418552E-05,0.0001598517,0.0001247571,2.208959E-05,8.671526E-05,9.808878E-05,3.332566E-05,3.422288E-05,2.383158E-05,1.946277E-05,4.919346E-06,4.797945E-05,2.86198E-05,4.793558E-06,1.058707E-05,0,2.656299E-06,1.338098E-05,4.358061E-06,1.710236E-05,5.968448E-06,1.700505E-05,4.776738E-06,1.56363E-05,6.144033E-07,7.512173E-06,0,1.798136E-05,4.673215E-06,1.099643E-05,5.006041E-06,1.631997E-05,0,8.050831E-06,7.911367E-06,7.374837E-06,1.443698E-05,1.506256E-06,6.990509E-06,1.389551E-05,3.51982E-06,1.199691E-05,0,3.226562E-06,5.71073E-06,4.386991E-06,0,0,1.600072E-06,5.119159E-06,1.313568E-05,0,0,1.937328E-06,4.863202E-06,5.003185E-06,6.760261E-06,3.31374E-06,1.735743E-06,6.167179E-06,1.489337E-06,1.642094E-06,6.308579E-06,1.678725E-06,1.452666E-06,4.479545E-06,1.595676E-06,2.776553E-06,4.193712E-06,0,4.005711E-06,2.381885E-06,2.392915E-06,1.299594E-06,1.23049E-06,2.470292E-06,3.260173E-06,3.220648E-06,2.030992E-06,3.744684E-06,3.83449E-06,0,3.259423E-06,2.697383E-06,4.353899E-06,9.428755E-07,1.283314E-06,9.50676E-07,7.356924E-07,0,3.208898E-06,7.787405E-07,1.227728E-06,0,3.309542E-06,8.761641E-07,2.579916E-06,1.292354E-06,0,3.937967E-07,1.171687E-06,1.669648E-06
8,2,0,0.0001857726,0.0007905713,0.0001382638,0.0005024431,0.0002177028,0.0001533965,0.0002988987,0.0001825052,0.0002619291,0.0001759633,0.0002089752,0,0,6.165051E-05,0.0001214061,0.000162805,8.315553E-05,1.215542E-05,5.129719E-05,6.112662E-05,2.663028E-05,1.221689E-05,3.200024E-05,0,5.117446E-06,1.159308E-05,9.687655E-06,4.218469E-06,8.900479E-06,7.644776E-06,6.799219E-08,1.342662E-05,1.709455E-05,0,6.357735E-06,1.147428E-07,1.551261E-05,1.353352E-05,4.586909E-06,4.278894E-06,2.005204E-05,1.02563E-05,7.38961E-06,3.599243E-06,7.605664E-06,3.627472E-06,6.601471E-06,1.146834E-05,1.339025E-07,6.706022E-06,3.328683E-06,0,8.338739E-06,0,6.198844E-06,0,4.31026E-06,2.387866E-06,4.931775E-06,1.494564E-06,2.643634E-06,1.13878E-05,2.146999E-06,2.403572E-06,4.160891E-06,2.042173E-06,1.830933E-06,6.432018E-06,4.49238E-06,1.641915E-06,4.981939E-06,3.309348E-06,6.945286E-06,3.14459E-06,1.509766E-06,4.946904E-06,7.232855E-06,1.283629E-06,4.105616E-06,1.639747E-06,0,3.44834E-06,2.218861E-06,9.571264E-07,1.224332E-06,1.017519E-06,1.256568E-06,2.063219E-06,1.731083E-06,2.689099E-06,1.896735E-06,2.643856E-06,0,1.665157E-06,1.803869E-06,3.349776E-06,4.373177E-06,1.5572E-06,1.655675E-06,1.661078E-06,6.961893E-07,2.190724E-06,2.33553E-06,2.85406E-06,8.078406E-07,2.358679E-06,2.304908E-07,6.570349E-07,1.109826E-07,4.712896E-07,0,5.19029E-07
9,2,0.0002399613,0.0003991938,0.0004705532,0.0008323072,0,0.000108795,9.419451E-05,0.000251958,0.0001783109,0.0003228649,0.000172919,0.0002352872,0.0001159945,0,0,0.0001228894,0.0001501395,9.528638E-05,4.504721E-05,4.405828E-05,4.555139E-05,5.716151E-05,2.806459E-05,3.712624E-05,1.745052E-05,1.705901E-05,1.034907E-05,1.471604E-05,5.369392E-06,1.254955E-05,4.541861E-06,9.368374E-06,1.020426E-05,6.028383E-06,5.378819E-06,1.140994E-05,8.222901E-06,5.138472E-06,1.625526E-05,8.900357E-06,1.85565E-05,4.746175E-06,4.363273E-06,8.800964E-06,1.154607E-05,7.060719E-06,5.979676E-06,6.184187E-06,1.094788E-05,6.950247E-06,3.062411E-06,6.271564E-06,4.203933E-06,0,6.149782E-06,2.986113E-06,8.752726E-06,4.716763E-06,6.350661E-06,2.664572E-06,0,8.975246E-06,0,1.149743E-05,2.24275E-06,4.726987E-06,1.787435E-06,6.074756E-06,7.642423E-06,6.694546E-06,2.232094E-06,3.377246E-06,2.938114E-06,6.833422E-06,1.754377E-06,3.136185E-06,1.38143E-06,2.664088E-06,4.143395E-06,0,2.752148E-06,3.10168E-06,2.255268E-06,1.358738E-06,4.442998E-06,2.258772E-06,3.484156E-06,3.735359E-06,2.458486E-06,2.937843E-06,1.79744E-06,2.013306E-06,3.257073E-06,9.453374E-07,1.934719E-06,3.612376E-06,5.061593E-07,2.351355E-06,7.419895E-07,1.653926E-06,8.140246E-07,1.484549E-06,4.567127E-07,2.553821E-06,0,1.617503E-06,0,1.668472E-06,1.27685E-06,0,3.15239E-06,0,1.420216E-06
