"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,112
Timestep, Region,"king mackerel juv"_0,"king mackerel juv"_1,"king mackerel juv"_2,"king mackerel juv"_3,"king mackerel juv"_4,"king mackerel juv"_5,"king mackerel juv"_6,"king mackerel juv"_7,"king mackerel juv"_8,"king mackerel juv"_9,"king mackerel juv"_10,"king mackerel juv"_11,"king mackerel adult"_12,"king mackerel adult"_13,"king mackerel adult"_14,"king mackerel adult"_15,"king mackerel adult"_16,"king mackerel adult"_17,"king mackerel adult"_18,"king mackerel adult"_19,"king mackerel adult"_20,"king mackerel adult"_21,"king mackerel adult"_22,"king mackerel adult"_23,"king mackerel adult"_24,"king mackerel adult"_25,"king mackerel adult"_26,"king mackerel adult"_27,"king mackerel adult"_28,"king mackerel adult"_29,"king mackerel adult"_30,"king mackerel adult"_31,"king mackerel adult"_32,"king mackerel adult"_33,"king mackerel adult"_34,"king mackerel adult"_35,"king mackerel adult"_36,"king mackerel adult"_37,"king mackerel adult"_38,"king mackerel adult"_39,"king mackerel adult"_40,"king mackerel adult"_41,"king mackerel adult"_42,"king mackerel adult"_43,"king mackerel adult"_44,"king mackerel adult"_45,"king mackerel adult"_46,"king mackerel adult"_47,"king mackerel adult"_48,"king mackerel adult"_49,"king mackerel adult"_50,"king mackerel adult"_51,"king mackerel adult"_52,"king mackerel adult"_53,"king mackerel adult"_54,"king mackerel adult"_55,"king mackerel adult"_56,"king mackerel adult"_57,"king mackerel adult"_58,"king mackerel adult"_59,"king mackerel adult"_60,"king mackerel adult"_61,"king mackerel adult"_62,"king mackerel adult"_63,"king mackerel adult"_64,"king mackerel adult"_65,"king mackerel adult"_66,"king mackerel adult"_67,"king mackerel adult"_68,"king mackerel adult"_69,"king mackerel adult"_70,"king mackerel adult"_71,"king mackerel adult"_72,"king mackerel adult"_73,"king mackerel adult"_74,"king mackerel adult"_75,"king mackerel adult"_76,"king mackerel adult"_77,"king mackerel adult"_78,"king mackerel adult"_79,"king mackerel adult"_80,"king mackerel adult"_81,"king mackerel adult"_82,"king mackerel adult"_83,"king mackerel adult"_84,"king mackerel adult"_85,"king mackerel adult"_86,"king mackerel adult"_87,"king mackerel adult"_88,"king mackerel adult"_89,"king mackerel adult"_90,"king mackerel adult"_91,"king mackerel adult"_92,"king mackerel adult"_93,"king mackerel adult"_94,"king mackerel adult"_95,"king mackerel adult"_96,"king mackerel adult"_97,"king mackerel adult"_98,"king mackerel adult"_99,"king mackerel adult"_100,"king mackerel adult"_101,"king mackerel adult"_102,"king mackerel adult"_103,"king mackerel adult"_104,"king mackerel adult"_105,"king mackerel adult"_106,"king mackerel adult"_107,"king mackerel adult"_108,"king mackerel adult"_109,"king mackerel adult"_110,"king mackerel adult"_111,"king mackerel adult"_112
0,Ecosim Base Values,0,2.599176E-05,0.0001988311,0.0006418228,0.001455413,0.002720003,0.004498467,0.006838393,0.009774107,0.01332845,0.01751439,0.02233643,0.02779186,0.0338719,0.0405627,0.04784615,0.05570073,0.06410213,0.07302384,0.0824378,0.09231461,0.1026242,0.1133359,0.124419,0.1358427,0.1475767,0.159591,0.1718563,0.1843441,0.1970266,0.209877,0.2228695,0.2359794,0.249183,0.2624576,0.2757818,0.2891353,0.3024987,0.3158539,0.3291838,0.3424724,0.3557047,0.3688668,0.3819455,0.3949289,0.4078058,0.420566,0.4332,0.4456993,0.4580559,0.4702629,0.4823138,0.4942027,0.5059249,0.5174755,0.5288508,0.5400474,0.5510623,0.5618932,0.572538,0.5829951,0.5932635,0.6033424,0.6132312,0.6229298,0.6324383,0.6417572,0.6508872,0.6598291,0.6685841,0.6771534,0.6855386,0.6937413,0.7017633,0.7096066,0.7172732,0.7247654,0.7320853,0.7392353,0.7462179,0.7530355,0.7596909,0.7661864,0.7725248,0.7787088,0.784741,0.7906243,0.7963613,0.8019549,0.8074078,0.8127227,0.8179024,0.8229497,0.8278673,0.8326579,0.8373242,0.8418691,0.8462948,0.8506044,0.8548002,0.8588849,0.862861,0.866731,0.8704975,0.8741629,0.8777294,0.8811996,0.8845757,0.8878601,0.8910549,0.8941624,0.8971847,0.9503921
1,2,0,0,1.114875E-07,1.82737E-06,2.30049E-06,2.763812E-06,6.682867E-06,3.940545E-06,1.70784E-05,2.911E-05,0,0.000115188,6.467083E-05,0.0001619137,0.0002363303,6.548886E-05,0.0002265034,0.001602931,0.001330279,0.00164595,0.0009888477,0.001156455,0.003106712,0.0002850611,0.0005473478,0.0006411007,0,0.0004162091,0.001578419,0.0006303283,0.00121687,0.0003865533,0.0004444702,0.0005010941,0.0008529965,0.0005086836,0.000835112,0.002004225,0.001941541,0.01495455,0.005476898,0.01086848,0.0003787807,0.005681003,0.0118806,0.001456154,0.001082592,0,0.0008641155,0.009949921,0.003365648,0.0135075,0.007353645,0.001290092,0.01032605,0.004304842,0.006038944,0.0085988,0.01219229,0.001124095,0.02025904,0.007441632,0.01287328,0,0.001809757,0,0.009170489,0.0009237005,0.001605926,0,0.007906903,0.001090326,0.002147166,0.00408896,0.006751131,0.008337446,0.0144338,0.0008085744,0.006479004,0.007761803,0.0133201,0.001804979,0.001527876,0.00271391,0.01756142,0.01764613,0.02077525,0.003082577,0.00644706,0.001873313,0.0151735,0.01615997,0.01320219,0.0008327843,0.006158008,0.003014822,0.00493179,0.009483561,0.007863604,0.006439168,0.005159544,0,0.01713803,0.00754031,0.002933291,0.01645995,0.001217157,0.01489674,0.02056828,0.006023709,0.002861597,0.01051157,0.005762879
2,2,2.941176E-13,1.54302E-08,0,1.111534E-06,7.481337E-07,0,4.809905E-06,1.182748E-05,2.86126E-05,2.819627E-05,6.576424E-05,1.32033E-05,2.854748E-05,0.0001272953,0.0003196138,0.0002383917,0.0002739774,0.0003336546,0.001270932,0.001352735,0.0003903115,0.0001863336,0.001063464,0.0005050684,0.002285235,0.0004191354,0,0.001610051,0.0005071168,0.001620965,0.019287,0.0004160157,0.0004770344,0.003730418,0.003026319,0.003757303,0.0009861775,0.001564249,0.001592781,0.0003891117,0.02106582,0.0004451641,0.004032316,0.004552484,0.00500012,0.004665516,0,0.007476261,0.002654925,0.00495907,0.005170676,0.003698967,0,0.002029786,0.004128407,0.00715193,0.0147667,0.001649786,0.001227971,0.01035596,0,0.0439674,0.00103942,0.01246281,0,0.002130424,0.0008213941,0.002822116,0.0006785161,0.01409791,0,0.004631678,0.004567244,0.01251868,0.01250024,0.01240993,0.008426759,0.009134267,0,0.007673785,0,0.01583301,0.00152211,0,0.005557252,0.01610927,0.003864017,0.003626234,0.006498284,0.003360725,0.03417409,0.005257572,0.002324874,0.01725843,0.001688925,0.008263062,0.01421556,0.002209194,0.001469568,0.01820589,0.005858971,0.005448794,0.00727217,0.01659428,0.006036152,0.02097967,0.01584513,0.0153611,0.02249428,0.000902998,0.005490487,0.02421459,0
3,2,1.470588E-13,2.581742E-08,0,0,2.417607E-06,4.492093E-06,4.626586E-06,7.944534E-06,1.704363E-05,4.378539E-05,3.416044E-05,6.859971E-05,2.880078E-05,0.0001387131,0.0001533407,5.824786E-05,0.0003350345,0.0002761577,0.0001875525,0.001819302,0.001369243,0,0.00117838,0.0006566334,0.001469355,0.002195039,0.003413909,0.0004926298,0,0.003390396,0.0009658412,0.01593484,0.0003787258,0.0009748826,0.0005266272,0.001679639,0.007851403,0.0008975472,0.002242048,0.003214033,0.002961333,0.01771268,0.001488398,0.007514724,0.0009206293,0.0003976819,0.003769091,0.003119072,0.0002863755,0.0123544,0.009791735,0.005966271,0.004616912,0.01398279,0.003155774,0.004987715,0.0009913418,0.002824074,0.01315144,0.007718182,0.009312536,0.001250524,0.04147083,0,0.01916571,0.0006594352,0.001373124,0,0.009690781,0.006799236,0.003061828,0.001636464,0.02070833,0.001197089,0.02848902,0.0007297201,0.009691125,0.009967996,0.008310435,0,0.0118446,0.001817626,0.008231581,0.01059628,0.001787959,0,0.008447524,0.006564813,0.003540691,0.0009253651,0.003069516,0.02262136,0.02488173,0.002756656,0.0119344,0,0.01876081,0,0.0169901,0.002458806,0.006589429,0.004677556,0.004807465,0.01634236,0.0008847172,0.002330637,0.01970832,0.01385988,0.004723065,0,0.002419321,0.01084214,0.0195726
4,2,2.941176E-13,2.365889E-08,1.717453E-07,3.416127E-07,1.585293E-06,3.872251E-06,5.808853E-06,1.565861E-05,6.881523E-06,2.176124E-05,1.610388E-05,1.461421E-05,9.878623E-05,3.110991E-05,0.0001859239,9.449996E-05,9.944568E-05,0.0002900729,0.001208042,0.001495659,0.003018309,0,0.0006768896,0.001713515,0.0009850825,0.0003885234,0.003672343,0.001587555,0.004546537,0.0003368753,0.0004573134,0.002309645,0.01277749,0.006400298,0.001538058,0.002264744,0.00032544,0.01132328,0.004934063,0.0005256733,0.0008061833,0.005754246,0.02200534,0.005084862,0.001234497,0,0.007577133,0.004496793,0,0,0.005132981,0.001760171,0.005343562,0.003208379,0,0,0.003895505,0.01797076,0.007989794,0.006499278,0.001088811,0.01282109,0.01046641,0.03915934,0.001099215,0.003243804,0,0.0005534045,0.005613138,0.004382675,0.003826258,0.008594175,0.0007024762,0.00408792,0.001403612,0.1359732,0.006332514,0.009144322,0.01360037,0.01638336,0,0.0049053,0.001095148,0.02262893,0.01961101,0.0008516024,0.007025868,0.01667357,0.0116249,0.007620437,0.008309718,0,0.0137113,0.004225307,0.004674412,0.02447701,0.02383148,0.004290444,0,0.01312021,0.01561829,0.002404622,0.0181216,0.00298986,0.01101557,0.001752838,0.006018881,0.008903724,0.01262063,0.001418802,0.007428802,0.0364419,0.01164304
5,2,2.941176E-13,4.938572E-08,8.349355E-08,0,0,1.355388E-06,6.794013E-06,1.018373E-06,1.046001E-05,9.129261E-06,0,2.302293E-05,1.909511E-05,5.666084E-05,0.0001137092,0.000187511,0.0003031391,0.0003761378,0.001092273,0.001528301,0.001487758,0.003114747,0.0003987338,0.0008889312,0.001170542,0.0009256552,0.00167821,0.001958144,0.003089638,0.00332299,0,0.005109256,0.006411087,0.01192266,0.004114925,0.00367148,0.0006329147,0.001984754,0.006321429,0.002245626,0.006908338,0.000724995,0.002837263,0.01710359,0.00305422,0.004593888,0,0.007278193,0.00373843,0.002352072,0,0,0.0007104669,0.006021742,0.00500287,0,0.001154189,0.01526822,0.005659358,0.001137268,0,0.00655826,0,0,0.001591741,0.01736936,0.008421876,0.01012769,0.003691976,0.00933207,0.02596863,0.01035777,0.007988753,0.007471193,0.004452153,0.003717825,0.1449718,0.002783471,0.004691382,0.0008059343,0.01006267,0.02395114,0.01085063,0.002590857,0.02573706,0,0.00943548,0.02118361,0.04714726,0,0.007989238,0.01033656,0,0.0125688,0.01535042,0.003532445,0.01348259,0.01729632,0.001834765,0.01619751,0.01126728,0.004086337,0.003594426,0.001724544,0.001870324,0.009478744,0.007330473,0,0.005164969,0.1028138,0.006946583,0.0009649838,0.005313055
6,2,1.470588E-13,1.933951E-08,8.683391E-08,0,0,2.233013E-06,3.173385E-06,1.801289E-05,5.33911E-06,1.85812E-05,1.546424E-05,1.664413E-05,4.248932E-05,1.354903E-05,4.077118E-05,0.0005373257,0.0003227638,0.001322903,0.0008236812,0.0004328532,9.539448E-05,0.001467908,0.001555296,0.002482241,0.003562542,0.001736694,0.0381654,0.0003663411,0.000336574,0.006510837,0.001074148,0.001648214,0.000861857,0.001446999,0.01206738,0.0035154,0,0.001022631,0.0007615339,0.006733128,0.006216624,0.05281907,0.001979765,0.002230374,0.04851117,0.002201841,0.007726334,0.001078509,0.003916577,0.003687941,0.004612674,0.006996064,0.001078998,0,0.006386116,0.004199375,0,0.003243992,0.006554454,0.0007468687,0.001210307,0.000984901,0.0006295906,0.008903584,0,0.003418265,0.01347848,0.004288535,0.006963531,0.009112661,0.01265158,0.02769328,0.001988736,0.007063518,0,0.007244474,0.006238754,0.131371,0.01392939,0,0.00110011,0.01238041,0.007494845,0.001884805,0,0,0.005710969,0.008840735,0.003062179,0.001622121,0.01090848,0,0.002805447,0.01143742,0.004301984,0.01230266,0.007583985,0.01765117,0.008901441,0.003416587,0.008754726,0.001678096,0.01012833,0.002737267,0.01236897,0.01107939,0.01989101,0.003365546,0.003893016,0.005839879,0,0.01377763,0.004254452
7,2,1.470588E-13,1.467615E-08,6.210995E-06,9.538847E-08,0,1.846771E-06,3.418135E-06,2.941807E-06,4.867298E-06,7.686029E-06,1.502346E-05,9.48281E-06,4.420821E-05,5.575929E-05,0.000172676,0.0002634779,0.0003047466,0.0003315744,0.0002264357,0.0004198112,0.0009422369,8.818795E-05,0.003740966,0.002963257,0.002004486,0.002778875,0,0.03475022,0.003890541,0.001793046,0.008426748,0.001267188,0.001039554,0.002479831,0.003028946,0.01299702,0.002706734,0,0.01071572,0.0007481393,0.002952391,0.001011364,0.07568819,0,0.003006432,0.04656892,0.001279503,0.005696566,0.001202367,0.007640781,0.005506922,0.0005558199,0.01297135,0,0.0005162528,0.01012011,0.002449872,0,0,0.002665978,0.002191211,0.01086859,0,0,0.001205927,0.002444626,0.008468315,0.008775032,0.01394556,0.00839211,0.01040717,0.01030314,0.0239779,0.01665842,0.006426437,0.001919551,0.01793656,0.0007859113,0.1262394,0.00798444,0,0.01225933,0.01191217,0.007368532,0.001066822,0.00271781,0.003062287,0.004627022,0.005664727,0.002973471,0.009251611,0.03436809,0,0.01568691,0.01918096,0.02454037,0.0009570068,0.02332595,0.001347163,0.001675619,0,0.005180042,0.002000796,0.02009299,0,0.01559395,0.005967604,0.01695569,0.01505731,0,0.01206067,0.003128525,0.01429394
8,2,0,7.12065E-09,3.716299E-07,2.981471E-07,3.055282E-06,2.29776E-06,2.10147E-06,9.769189E-06,7.267695E-06,1.45644E-05,1.657892E-05,3.258217E-05,0,0,1.592566E-05,0.0008061246,0.002621941,0.0006121006,0.0002384257,0.001027152,0.0005947365,0.001535237,0.001681134,0.001131031,0,0.0006683191,0.007081445,0.0005442172,0.0009863095,0.003487529,0.003625109,0.001918907,0.001389766,0.004425178,0,0.001146065,0.01905699,0.005279912,0.005236396,0.0007350496,0.0006754209,0.006147584,0.005989938,0.09705319,0.003590058,0.002648896,0.0415027,0.003924496,0.006564269,0.007112664,0.001301754,0.003253288,0,0.009368219,0,0.002152801,0,0.002739068,0.007471724,0.01187345,0.002497057,0.0007042893,0.008738957,0.001330814,0.0006998471,0.001845861,0.001822414,0.003744683,0.01058911,0.008573197,0.004531798,0.008671539,0.01018906,0.02086991,0.01333481,0.005849199,0.008288197,0.01666423,0.001427246,0.1161783,0.001967592,0,0.01879385,0.0110916,0.007126602,0.001155043,0.01306733,0.001864238,0.007380778,0.01575619,0.01426723,0.01410141,0.01819674,0,0.02706551,0.009337359,0.04161337,0.01298441,0.01264229,0.002723098,0.003635967,0.001686792,0.004857296,0.004738987,0.01555355,0.001701687,0.01052822,0.002836852,0.001714961,0.002077963,0.007627154,0,0.003079094
9,2,1.470588E-13,2.891499E-08,3.956193E-07,2.153755E-06,0,1.580604E-06,2.468995E-06,6.295588E-06,6.471088E-06,2.01633E-05,1.9801E-05,2.637281E-05,1.830756E-05,0,0,0.0001983825,0.0009010424,0.001324865,0.0004572211,0.001797804,0.001050689,0.0008965426,0.001773204,0.003487431,0.0008934894,0.003074597,0.0005287701,0.008461214,0.0003878971,0.003233639,0.0004816427,0.004788434,0.003591778,0.0005291743,0.0004143751,0.001247061,0.002681191,0.02708464,0.003623636,0.003711155,0.007163346,0.0003423106,0.0004315618,0.001264812,0.08968937,0.006073482,0.00664865,0.01023377,0.009174894,0.004059801,0.02223531,0.001521475,0.006223027,0,0.001764894,0.008188811,0.005805004,0.005716228,0.01080038,0.0005674807,0,0.01108322,0,0.01325267,0.001407871,0.002584187,0.0007015177,0.0120613,0.01767926,0.004386091,0.00709391,0.005058703,0.01076187,0.01452392,0.01551692,0.0107737,0.005321864,0.02232129,0.02325286,0,0.1090764,0.003171033,0.009049602,0.001489965,0.01339248,0.01828134,0.003534757,0.003653079,0.004277462,0.01620235,0.02080878,0.01069678,0.0270389,0.01146635,0.004512409,0.03062317,0.01223176,0.1430025,0.0007936725,0.002769932,0.001116149,0.009150967,0.01218186,0.01344663,0,0.004624573,0,0.00675854,0.01328159,0,0.01237292,0,0.01028228
