"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0.2953762,0.2591092,0.2272952,0.1993874,0.1749062,0.1534308,0.1345922,0.1180667,0.1035702,0.09085362,0.07969841,0.06991286,0.06132881,0.05659763,0.05223144,0.04820208,0.04448356,0.04105191,0.03788498,0.03496237,0.03226522,0.02977614,0.02747907,0.02535922,0.0234029,0.0215975,0.01993137,0.01839378,0.0169748,0.01566529,0.0144568,0.01334154,0.01231232,0.01136249,0.01048594,0.009677006,0.008930479,0.008241544,0.007605755,0.007019014,0.006477536,0.00597783,0.005516674,0.005091093,0.004698344,0.004335893,0.004001404,0.003692718,0.003407845,0.003144949,0.002902334,0.002678435,0.002471809,0.002281123,0.002105147,0.001942747,0.001792875,0.001654564,0.001526924,0.001409131,0.001300424,0.001200104,0.001107522,0.001022083,0.0009432352,0.0008704699,0.000803318,0.0007413466,0.0006841558,0.000631377,0.0005826699,0.0005377202,0.0004962381,0.0004579561,0.0004226273,0.000390024,0.0003599359,0.0003321689,0.0003065439,0.0002828958,0.000261072,0.0002409317,0.0002223452,0.0002051925,0.0001893631,0.0001747548,0.0001612734,0.0001488321,0.0001373505,0.0001267547,0.0001169763,0.0001079522,9.962432E-05,9.193887E-05,8.48463E-05,7.830089E-05,7.226042E-05,6.668593E-05,6.154148E-05,5.67939E-05,5.241257E-05,4.836923E-05,4.463782E-05,4.119426E-05,3.801635E-05,3.508361E-05,3.237711E-05,2.987939E-05,2.757437E-05,2.544716E-05,2.348405E-05,2.167239E-05,2.000049E-05,1.845756E-05,1.703366E-05,1.571961E-05,1.450693E-05,1.33878E-05,1.235501E-05,1.140189E-05,1.05223E-05,9.710561E-06,8.961446E-06,8.270121E-06,7.632128E-06,7.043352E-06,6.499997E-06,5.998559E-06,5.535804E-06,5.108748E-06,4.714636E-06,4.350929E-06,4.015279E-06,3.705523E-06,4.432808E-05
1,2,0.01093899,0.01140657,0.01097791,0.01080489,0.01064283,0.01012728,0.0102722,0.009880994,0.00883243,0.01020459,0.01008983,0.008849835,0.008766346,0.009196677,0.009668831,0.01091963,0.01139218,0.01151223,0.01359973,0.0128153,0.01460604,0.01644659,0.01742925,0.01815699,0.02064599,0.02673979,0.02562538,0.02317818,0.02172205,0.02022878,0.01840158,0.01773602,0.01600334,0.01524017,0.01482166,0.01297635,0.01285505,0.01210544,0.01141072,0.01016055,0.009233044,0.008755089,0.008208761,0.007245285,0.006801342,0.006111306,0.005780521,0.005696859,0.004959773,0.004581073,0.004280941,0.003910499,0.003631132,0.003235663,0.003031474,0.002719601,0.002696694,0.002448073,0.002209102,0.002092128,0.001967194,0.001745368,0.001534035,0.001500124,0.001372149,0.00121627,0.001176371,0.001059444,0.0009828556,0.0009244828,0.0008730606,0.0008343281,0.0007163872,0.0006887343,0.0006058978,0.0005858499,0.0005325896,0.0004978751,0.000444724,0.0004328251,0.000377737,0.0003594785,0.000318413,0.000308854,0.0002794478,0.0002461247,0.0002359698,0.0002091404,0.0001844048,0.0001808699,0.0001764985,0.0001606301,0.0001472821,0.000131586,0.0001185018,0.0001159382,0.0001009424,9.834899E-05,8.600756E-05,8.343767E-05,7.6311E-05,7.131491E-05,6.394085E-05,6.236441E-05,5.598652E-05,5.076631E-05,4.847885E-05,4.427772E-05,3.885207E-05,3.753902E-05,3.477015E-05,3.265505E-05,3.002143E-05,2.739967E-05,2.358545E-05,2.223353E-05,2.187521E-05,1.948111E-05,1.786326E-05,1.589538E-05,1.542447E-05,1.404587E-05,1.300819E-05,1.228552E-05,1.162704E-05,1.029151E-05,9.341795E-06,8.667624E-06,8.180102E-06,7.323124E-06,6.958477E-06,6.546856E-06,5.734405E-06,5.40515E-06,4.998768E-06
2,2,0.01126963,0.01005849,0.0107388,0.0100418,0.009905005,0.009571069,0.009018644,0.009121871,0.008948356,0.008262799,0.009175018,0.009288137,0.008051682,0.008176103,0.008936721,0.00953635,0.01024803,0.01052828,0.01098545,0.0128209,0.01248495,0.01377622,0.01587006,0.01634107,0.01751026,0.01937029,0.02603258,0.02394544,0.02168994,0.02083922,0.01895892,0.01776145,0.01740319,0.01504969,0.01422245,0.01396838,0.01262355,0.01210708,0.01122252,0.01064438,0.009455169,0.008955468,0.008223668,0.007831316,0.006953164,0.006475034,0.005874367,0.005528071,0.005441145,0.004775368,0.004388773,0.003945018,0.003702368,0.003437253,0.003056311,0.002943071,0.002645759,0.002523009,0.002310316,0.002112584,0.001995406,0.001920452,0.001650519,0.001420819,0.001416252,0.001311528,0.001178259,0.001121622,0.0009909904,0.0009169201,0.0008933202,0.0008230192,0.0007941326,0.0006954916,0.000660394,0.0005891104,0.0005601188,0.0005088921,0.0004752135,0.0004107993,0.0004114989,0.0003546416,0.0003411075,0.0003010638,0.000290469,0.0002664688,0.0002320527,0.0002265434,0.0001942508,0.0001779972,0.0001772888,0.0001690927,0.0001542819,0.0001402819,0.0001296206,0.0001132988,0.0001118307,9.51328E-05,9.359502E-05,8.294937E-05,7.976364E-05,7.250272E-05,6.779025E-05,6.03369E-05,5.949357E-05,5.180816E-05,4.849727E-05,4.569442E-05,4.245899E-05,3.661781E-05,3.640159E-05,3.310405E-05,3.060127E-05,2.86088E-05,2.528553E-05,2.232077E-05,2.103784E-05,2.094701E-05,1.880671E-05,1.718991E-05,1.492575E-05,1.469105E-05,1.332659E-05,1.220896E-05,1.184196E-05,1.110172E-05,9.802728E-06,8.947383E-06,8.154036E-06,7.914096E-06,7.095516E-06,6.612137E-06,6.095082E-06,5.581715E-06,5.17401E-06
3,2,0.01059074,0.01036395,0.009223694,0.00960309,0.009154102,0.009088629,0.00865185,0.00827966,0.008453218,0.008183938,0.007539154,0.008190969,0.008451767,0.00764882,0.007871578,0.008368338,0.008892858,0.009976839,0.01002967,0.01038581,0.01212998,0.01171635,0.0133982,0.01481426,0.01545863,0.016481,0.01926515,0.02541113,0.02314843,0.02086866,0.01968993,0.01765368,0.01709279,0.01651049,0.01450744,0.0140221,0.01323426,0.0117668,0.01175461,0.01060282,0.01011909,0.009161894,0.00828305,0.007738369,0.007242881,0.006483151,0.006334148,0.005541494,0.005360518,0.005105132,0.004672546,0.004222565,0.00383429,0.003500716,0.003310392,0.002967368,0.0028099,0.002536931,0.002397229,0.002179555,0.002047651,0.00188289,0.001769611,0.001587896,0.001404051,0.001324115,0.001280941,0.00113023,0.001085285,0.0009516902,0.0008820344,0.0008504289,0.0007642906,0.0007545555,0.0006659076,0.0006112615,0.0005620075,0.0005320644,0.0004705223,0.0004486639,0.0003882633,0.0003933504,0.0003407864,0.000330396,0.0002881908,0.0002801349,0.0002533616,0.0002176134,0.0002171829,0.0001848476,0.0001677453,0.0001698508,0.0001610539,0.0001445144,0.0001335945,0.0001206297,0.0001106819,0.0001069524,9.096936E-05,9.040633E-05,7.904402E-05,7.543605E-05,6.977557E-05,6.2629E-05,5.856761E-05,5.806488E-05,5.067628E-05,4.618417E-05,4.362264E-05,4.033716E-05,3.423054E-05,3.507197E-05,3.119219E-05,2.968912E-05,2.687964E-05,2.425382E-05,2.163427E-05,2.007685E-05,1.962558E-05,1.768464E-05,1.647226E-05,1.417815E-05,1.378849E-05,1.264273E-05,1.177713E-05,1.108192E-05,1.054783E-05,9.297359E-06,8.475394E-06,7.870506E-06,7.405051E-06,6.789508E-06,6.154879E-06,5.787445E-06,5.297266E-06
4,2,0.01005605,0.0100252,0.009616518,0.008382356,0.008680893,0.008253612,0.008302073,0.007841095,0.0075822,0.007523873,0.007326012,0.006949143,0.007410412,0.007993774,0.007117551,0.007249538,0.007995351,0.008603148,0.009378276,0.009569825,0.01008751,0.01166298,0.0113376,0.01274095,0.01422759,0.01490773,0.01508887,0.01820824,0.02416697,0.02208059,0.02012473,0.01856012,0.01746805,0.01579888,0.01554165,0.01375617,0.01322739,0.0125522,0.01116006,0.01101714,0.01012369,0.009678164,0.008697487,0.007856941,0.007404559,0.007097285,0.006179965,0.00604817,0.005277612,0.005016814,0.004893463,0.004449484,0.004077507,0.003604659,0.003324379,0.003124975,0.00292684,0.002654053,0.002329109,0.002261412,0.002078657,0.001896292,0.001843275,0.00173508,0.001482136,0.001345232,0.001257104,0.001216393,0.001087237,0.001054043,0.0008804711,0.0008448659,0.000803942,0.000715702,0.0007006629,0.0006346769,0.0005824296,0.0005144123,0.0005038587,0.0004540801,0.0004326719,0.0003683745,0.0003690135,0.0003223883,0.0003024566,0.0002750295,0.0002712333,0.0002345199,0.0002018453,0.0002066227,0.0001795376,0.0001660767,0.0001629489,0.0001533765,0.0001409737,0.0001256434,0.0001163938,0.0001018417,0.0001017421,8.68799E-05,8.659901E-05,7.677767E-05,7.17703E-05,6.626218E-05,5.976873E-05,5.522764E-05,5.383667E-05,4.775032E-05,4.409523E-05,4.103825E-05,3.9232E-05,3.244767E-05,3.299433E-05,2.983891E-05,2.830918E-05,2.558075E-05,2.287355E-05,2.023729E-05,1.926236E-05,1.913902E-05,1.69575E-05,1.586201E-05,1.362628E-05,1.340185E-05,1.219412E-05,1.13794E-05,1.063307E-05,1.007841E-05,8.885106E-06,8.15751E-06,7.480553E-06,7.090377E-06,6.437398E-06,5.734038E-06,5.626156E-06
5,2,0.01030613,0.009214234,0.009005901,0.008477987,0.007606301,0.007911574,0.007361665,0.0073553,0.007201902,0.006897774,0.006808627,0.006686068,0.006222104,0.006987375,0.007648819,0.006728266,0.006887669,0.007410405,0.008065224,0.008864936,0.009133148,0.009521791,0.01101134,0.01080248,0.01220814,0.01341459,0.0140213,0.01466156,0.01711753,0.02282079,0.02097986,0.01871824,0.01800307,0.0163956,0.01534575,0.01500033,0.0128228,0.01239354,0.01194117,0.01060736,0.01073436,0.009393075,0.009269518,0.008259589,0.007629993,0.007108375,0.006794545,0.006012964,0.005587938,0.005056735,0.004833125,0.004671289,0.004130417,0.003908698,0.003516948,0.003129047,0.002989346,0.002706708,0.002551099,0.002278044,0.002164714,0.001985076,0.001825675,0.00174462,0.00163884,0.001434459,0.001309772,0.001193141,0.001163159,0.001028872,0.0009864548,0.0008590489,0.0008080588,0.0007805542,0.0006855548,0.0006631997,0.0005888082,0.0005524159,0.0005034967,0.0004805719,0.0004257707,0.0004083856,0.000356209,0.0003575104,0.0003066316,0.0002886116,0.0002571008,0.0002561203,0.0002259741,0.0001931342,0.0001983278,0.0001704393,0.000156835,0.0001526662,0.0001492654,0.000129622,0.0001197574,0.0001088695,9.75886E-05,9.760189E-05,8.419957E-05,8.189333E-05,7.214901E-05,7.04728E-05,6.246884E-05,5.767912E-05,5.158463E-05,5.172487E-05,4.598177E-05,4.284729E-05,3.934862E-05,3.676913E-05,3.214683E-05,3.087214E-05,2.855081E-05,2.686285E-05,2.422858E-05,2.195505E-05,1.989629E-05,1.847666E-05,1.789661E-05,1.616995E-05,1.532942E-05,1.282329E-05,1.255377E-05,1.138597E-05,1.081503E-05,1.006629E-05,9.683442E-06,8.717176E-06,7.681408E-06,7.064198E-06,6.539494E-06,6.117458E-06,5.581448E-06
6,2,0.0103362,0.009627658,0.008495423,0.008293296,0.007801325,0.006777636,0.007185642,0.006983764,0.006677078,0.006352516,0.006158418,0.006081654,0.00609731,0.005721463,0.006693156,0.007183241,0.006311426,0.006625889,0.007263512,0.007584654,0.008415045,0.008729713,0.009245374,0.01047164,0.01041337,0.01160796,0.01260986,0.01351016,0.01426634,0.0164282,0.02117161,0.01921482,0.0181533,0.0170726,0.01566595,0.01492455,0.01409137,0.01177935,0.01169319,0.01135521,0.01035147,0.009907267,0.009051461,0.00892315,0.007858108,0.007264834,0.006752194,0.006540875,0.005785931,0.005274472,0.004715772,0.004531491,0.004452868,0.00400453,0.003674936,0.003313076,0.003033789,0.002896341,0.002637776,0.002472065,0.002178051,0.002057691,0.001870021,0.001726463,0.001691075,0.001543083,0.001341731,0.001221563,0.00114281,0.00108005,0.0009857904,0.0009373667,0.0008107024,0.0007624913,0.0007277321,0.0006445567,0.0006489371,0.0005694629,0.0005057979,0.0004770833,0.000472566,0.0004109202,0.0003885934,0.0003433137,0.0003443248,0.0002939663,0.0002742378,0.0002511449,0.0002467944,0.000219262,0.0001842069,0.000190055,0.0001585393,0.0001494452,0.0001434573,0.0001379416,0.0001247583,0.0001133308,0.0001036043,9.545247E-05,9.102331E-05,7.964699E-05,7.762093E-05,6.841222E-05,6.626865E-05,6.116913E-05,5.521035E-05,5.059306E-05,4.908289E-05,4.329132E-05,4.058927E-05,3.737334E-05,3.555797E-05,3.033155E-05,2.922864E-05,2.715237E-05,2.580437E-05,2.263954E-05,2.028345E-05,1.883389E-05,1.72897E-05,1.726039E-05,1.56335E-05,1.447681E-05,1.211096E-05,1.245469E-05,1.114829E-05,1.029107E-05,1.000922E-05,9.158902E-06,8.209674E-06,7.222412E-06,6.715657E-06,6.239471E-06,5.914665E-06
7,2,0.009490905,0.009285744,0.008519721,0.007491732,0.007580046,0.006947872,0.006048393,0.006383229,0.006042521,0.005889221,0.005736914,0.005522875,0.005456982,0.005808619,0.00546285,0.006477838,0.006904201,0.006127811,0.006396517,0.006749765,0.007356992,0.007991287,0.008298026,0.008628404,0.009788733,0.01004335,0.0109373,0.01211569,0.01296808,0.01318459,0.01554339,0.02013861,0.01840234,0.01726582,0.01649244,0.01474976,0.01403206,0.01314312,0.01157865,0.01133376,0.01054758,0.01002078,0.009401354,0.008685473,0.008427772,0.007606657,0.00698257,0.006370474,0.006259378,0.005529531,0.004975723,0.004581159,0.004297439,0.004172475,0.003726103,0.003436403,0.003214177,0.002957015,0.002656462,0.002522287,0.002349098,0.002069681,0.001935988,0.001756537,0.001670041,0.001578847,0.001465769,0.001265544,0.001153496,0.001088757,0.001036277,0.000961592,0.0009083994,0.0007557515,0.0007279423,0.000704838,0.0006220302,0.0006068088,0.000529038,0.0004947616,0.0004469776,0.0004499877,0.0003933511,0.0003782379,0.0003230055,0.0003200496,0.0002724959,0.0002610292,0.0002326535,0.0002389824,0.0002080397,0.0001773069,0.0001810452,0.000153115,0.0001411701,0.0001374459,0.0001324987,0.0001178408,0.0001062659,0.0001000595,8.839303E-05,8.71925E-05,7.652556E-05,7.336392E-05,6.432065E-05,6.378503E-05,5.819575E-05,5.214292E-05,4.794757E-05,4.781579E-05,4.114698E-05,3.874305E-05,3.524106E-05,3.336513E-05,2.908686E-05,2.846168E-05,2.612813E-05,2.455212E-05,2.194746E-05,1.957218E-05,1.792733E-05,1.658984E-05,1.663609E-05,1.489025E-05,1.360571E-05,1.154848E-05,1.153307E-05,1.030751E-05,9.668658E-06,9.420303E-06,8.857421E-06,7.795859E-06,7.096824E-06,6.46423E-06,6.130971E-06
8,2,0.009569174,0.008799735,0.008398589,0.007733573,0.006764351,0.006918742,0.006467924,0.005576587,0.005864217,0.005346505,0.005293102,0.005220763,0.005007732,0.005188119,0.005501067,0.005214617,0.006044652,0.006464305,0.005936615,0.005999397,0.006652484,0.006948369,0.00757464,0.00793431,0.008260934,0.009443738,0.009569554,0.01024429,0.01177949,0.01258138,0.01263185,0.01471716,0.01953004,0.01755016,0.01655073,0.01548767,0.01406778,0.01364038,0.01276252,0.01135606,0.01075309,0.01020812,0.009505386,0.009079549,0.008332223,0.008146949,0.007406963,0.006686524,0.005970141,0.005798867,0.005287016,0.004864083,0.00422471,0.004169735,0.00396892,0.003533848,0.003229073,0.003081792,0.002763835,0.002591066,0.00239826,0.00228618,0.001942806,0.001865347,0.001724961,0.001548932,0.001479623,0.001417056,0.001198902,0.001115715,0.001021587,0.0009846863,0.0008938466,0.0008621919,0.0007365587,0.0007037329,0.000673683,0.0005933524,0.0005838837,0.0005092276,0.0004708359,0.0004198108,0.0004235514,0.0003730853,0.0003570366,0.000310408,0.0003024613,0.0002647075,0.0002482217,0.0002228637,0.0002238108,0.0002009011,0.0001685406,0.0001686916,0.0001473759,0.0001345472,0.0001325694,0.0001263901,0.0001135815,0.0001016099,9.518901E-05,8.555545E-05,8.343109E-05,7.371475E-05,6.999053E-05,6.155702E-05,6.019482E-05,5.535398E-05,4.898383E-05,4.554797E-05,4.534638E-05,4.013291E-05,3.724987E-05,3.44379E-05,3.203205E-05,2.758209E-05,2.659512E-05,2.530213E-05,2.348225E-05,2.06788E-05,1.904894E-05,1.680695E-05,1.589522E-05,1.582899E-05,1.399288E-05,1.305464E-05,1.118499E-05,1.098706E-05,1.009712E-05,9.202501E-06,8.899789E-06,8.518393E-06,7.481615E-06,6.622985E-06,6.344041E-06
9,2,0.009868217,0.008506969,0.008087132,0.007539513,0.006955001,0.006191061,0.006056797,0.005764258,0.004943035,0.005231126,0.004848003,0.004722888,0.004694421,0.004837626,0.004878428,0.005141617,0.004913802,0.005794991,0.006187632,0.005658932,0.005529281,0.006278776,0.006570586,0.007103605,0.007475927,0.007812819,0.009388812,0.009152618,0.009819418,0.01105455,0.01192443,0.0117689,0.01425052,0.0186073,0.01684864,0.01598283,0.01472103,0.01324347,0.0127805,0.01231531,0.01075898,0.01018718,0.009429085,0.009129839,0.008456932,0.00760387,0.007518606,0.006896945,0.006338573,0.005804182,0.005578203,0.005049062,0.00466373,0.004025958,0.004051645,0.003829843,0.003371554,0.003109806,0.002898048,0.002701499,0.002436798,0.002271662,0.002157223,0.001831608,0.001770584,0.001667836,0.001495102,0.001432612,0.001354849,0.001151285,0.00106134,0.000982728,0.0009743742,0.0008566675,0.0008268873,0.0006921684,0.000666055,0.0006256725,0.0005728183,0.0005519956,0.0004741561,0.0004468622,0.0004030797,0.0004007618,0.000362184,0.0003413369,0.0002924256,0.0002943121,0.0002627022,0.00023887,0.0002128591,0.0002138369,0.0001902218,0.0001604714,0.0001622453,0.0001405521,0.0001327723,0.0001239647,0.0001182878,0.0001067931,9.766726E-05,9.021847E-05,8.260108E-05,8.173958E-05,6.98017E-05,6.706807E-05,5.904931E-05,5.739728E-05,5.31167E-05,4.696802E-05,4.30217E-05,4.223938E-05,3.782686E-05,3.566089E-05,3.261373E-05,3.08674E-05,2.613818E-05,2.608285E-05,2.380253E-05,2.240671E-05,1.987753E-05,1.777419E-05,1.652912E-05,1.546216E-05,1.478855E-05,1.326771E-05,1.259761E-05,1.08411E-05,1.048763E-05,9.584402E-06,8.869164E-06,8.485298E-06,7.999537E-06,7.355575E-06,6.392202E-06
