"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:37:50 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"

Data,"Average biomass by region"
"Region 1 area km2",46657.5737708939
"Number of cells",136

TimeStep,"offshore dolphins","coastal dolphins",seabirds,"pelagic sharks","large demersal sharks","small sharks and rays","pelagic piscivores","king mackerel juv","king mackerel adult","Spanish mackerel juv","Spanish mackerel adult",cobia,"greater amberjack","red snapper 0","red snapper 1-2","red snapper 3+","vermilion snapper","grey snapper","other snapper","gag 0","gag 1","gag 2","gag 3","gag 4","gag 5+","red grouper 0","red grouper 1","red grouper 2","red grouper 3","red grouper 4","red grouper 5+","black grouper","yellowedge grouper",scamp,"goliath grouper","other SWG","other DWG","blueline tilefish","golden tilefish","lionfish juv","lionfish adult","gray triggerfish","red porgy",hogfish,"black sea bass","reef carnivores","reef crustacean eaters","reef invertivores","medium reef omnivores","small reef omnivores","reef planktivores","coastal piscivores","offshore demersal carnivores","nearshore demersal carnivores","demersal omnivores","sardine herring scad","nearshore small pelagics","offshore small pelagics",mullet,squid,shrimp,"large crabs",stomatopods,echinoderms,gastropods,bivalves,"sessile epibenthos","mobile epifauna","small infauna",meiobenthos,"carnivorous zooplankton","herbivorous zooplankton","omnivorous zooplankton",ichthyoplankton,jellyfish,microbes,anthozoans,macroalgae,microphytobenthos,phytoplankton,seagrass,"water column detritus","sediment detritus"
11,0.001312506,0.01437773,0.003092682,0.09604812,0.08547455,0.1932487,0.05478531,0.003685407,2.205114,0.002274789,0.06308896,0.01608742,0.057286,0.001833308,0.01268918,0.01245937,0.02495431,0.01884183,0.2378558,0.003686057,0.02894321,0.03712523,0.02204852,0.01112911,0.002664174,0.003589379,0.02469066,0.05856885,0.08611863,0.1608426,0.08204272,0.0008249684,0.0001139582,0.005880668,0.009374536,0.01531231,0.000240933,3.70179E-05,0.00482743,1.295659E-06,1.87939E-05,0.06469055,0.01512518,0.03731059,0.04542888,3.713279,2.01484,3.473999,1.414939,4.477457,1.214173,0.7601049,0.00339308,5.203907,41.18126,3.584709,1.507766,0.3076394,0.3926878,0.3944407,2.67518,8.244101,4.257359,2.552689,14.92032,16.99142,53.15783,42.11032,9.63815,107.1253,3.870287,10.76698,6.649792,0.7290586,30.18823,35.60815,0.4382424,62.18588,35.53661,19.32324,510.357,306.0119,428.7467
12,0.001417449,0.01430352,0.003050691,0.09710162,0.0838173,0.1927525,0.05409354,0.003545723,2.242816,0.002175367,0.06201356,0.01616981,0.0561429,0.001932987,0.0129378,0.01334377,0.02530795,0.01946491,0.2409097,0.003814559,0.02882363,0.03848113,0.02269557,0.01153074,0.002609879,0.004182618,0.02540542,0.06176402,0.09067653,0.1680032,0.08424678,0.0008349625,0.0001141168,0.005956706,0.009513049,0.015559,0.0002422832,3.713435E-05,0.004919954,0,1.700088E-05,0.06550036,0.01527781,0.03685805,0.04551128,3.784097,2.022197,3.5206,1.443681,4.754817,1.23156,0.7508685,0.003476756,5.209415,40.35207,3.754745,1.477724,0.3621515,0.3976697,0.4131666,2.767363,8.443147,4.363981,2.754982,15.6412,17.17101,54.1426,46.07487,9.596614,105.8654,3.272281,9.355903,5.934196,0.6983027,34.61327,29.35861,0.4382009,55.40525,28.72978,14.98198,440.4891,284.2545,485.282
13,0.001528874,0.01423028,0.003009375,0.09843272,0.08226234,0.1925263,0.05337501,0.003482407,2.19842,0.002184518,0.06195733,0.0163097,0.05529206,0.002033289,0.01290593,0.01466369,0.02568753,0.02008257,0.2463825,0.003905063,0.02882896,0.03994334,0.02261979,0.01261565,0.002840851,0.004677934,0.02636382,0.06577326,0.09167012,0.1731297,0.0937973,0.000845318,0.0001143148,0.006031919,0.009741978,0.01583025,0.0002437619,3.735788E-05,0.005010626,0,1.459664E-05,0.06657614,0.01539221,0.03629688,0.04575858,3.874825,2.040653,3.57509,1.473128,5.069628,1.249509,0.7476647,0.003618326,5.257146,39.58221,3.930321,1.451887,0.4252194,0.3950716,0.4323795,2.789506,8.78345,4.54697,2.953535,15.95725,16.52646,54.42334,46.88929,9.126081,94.93771,2.547475,7.203139,4.633326,0.6121088,33.05128,25.24041,0.4292013,46.9873,24.7002,12.97132,362.7376,254.4645,527.9333
14,0.001640472,0.01415787,0.002968717,0.09973597,0.08077078,0.192491,0.05235691,0.003457916,2.113389,0.002283352,0.06113425,0.01647034,0.05501004,0.002112156,0.01279798,0.0161327,0.02602332,0.02077347,0.2523025,0.004003257,0.0288332,0.04095733,0.02290557,0.01345137,0.002930035,0.004921476,0.02723448,0.06977574,0.09315836,0.1800867,0.1023567,0.0008558205,0.0001145774,0.006108422,0.009990692,0.01611922,0.0002453122,3.746626E-05,0.005099592,0,1.249232E-06,0.06767976,0.01558983,0.03575873,0.04611474,3.9713,2.063668,3.629924,1.49693,5.339045,1.265203,0.7465093,0.003784391,5.320512,39.0344,4.038854,1.418841,0.480932,0.3875615,0.4447809,2.735862,9.020587,4.734607,3.105126,15.78019,15.44771,54.04267,44.77509,8.496742,81.72005,2.047861,5.511838,3.555083,0.5096751,28.08457,23.98454,0.4134521,41.52214,25.66187,13.8848,329.0988,226.6642,529.8111
15,0.001747185,0.01408602,0.002928622,0.1005917,0.0793217,0.1929458,0.05108063,0.003438586,2.015774,0.002414404,0.06062142,0.01663739,0.05556666,0.002122353,0.01255696,0.01760119,0.02629587,0.02157612,0.2572857,0.00405565,0.02911123,0.04137217,0.02350645,0.01434371,0.003051892,0.004884039,0.02786156,0.07290401,0.09423498,0.1925626,0.1083603,0.0008663804,0.0001148993,0.006189257,0.01021982,0.01641541,0.0002468907,3.779144E-05,0.005186435,0,1.339955E-06,0.0686932,0.01590305,0.03546446,0.04651515,4.05962,2.084386,3.678699,1.513715,5.52519,1.277763,0.7454668,0.003942382,5.382052,38.8225,4.047897,1.374405,0.5134625,0.3799062,0.446576,2.635244,9.00526,4.854178,3.183018,15.28337,14.54179,53.23789,41.07227,7.932693,70.2089,1.890496,4.88511,3.084437,0.4341503,22.11512,25.25531,0.3967293,39.42828,29.58401,16.55953,336.7886,210.5461,504.205
16,0.001845702,0.01401454,0.002888958,0.1008327,0.07790256,0.194097,0.04969524,0.003473183,1.928107,0.002442934,0.06026776,0.01680407,0.05743565,0.00209742,0.01247383,0.01896576,0.02651649,0.02215314,0.2592573,0.004051413,0.02953473,0.04193572,0.02406698,0.01517015,0.003198456,0.004645207,0.02808443,0.07502145,0.09517042,0.2044637,0.1131304,0.0008768965,0.0001152495,0.006280708,0.01041172,0.01670757,0.0002484538,3.80786E-05,0.005270583,0,1.621537E-06,0.06960388,0.01616817,0.0355118,0.04689608,4.130299,2.097757,3.717949,1.52252,5.617512,1.287441,0.7436078,0.004068342,5.431152,38.93175,3.975112,1.321447,0.5171123,0.3758426,0.4380197,2.529492,8.72834,4.865447,3.188285,14.72442,14.1882,52.33259,37.39878,7.553229,62.57803,2.003366,5.197704,3.134392,0.40509,17.24324,28.17305,0.3841498,39.44035,32.81866,18.79398,362.5564,209.303,473.9651
17,0.0019347,0.01394335,0.002849604,0.1003686,0.07650847,0.1949989,0.04835635,0.003549183,1.862462,0.002485714,0.05953216,0.01696695,0.06093712,0.002030207,0.01236664,0.02028781,0.02672123,0.02199249,0.2562984,0.004025437,0.0296703,0.04231722,0.0251102,0.01567396,0.003245527,0.004365201,0.02796265,0.07603581,0.09585359,0.2182785,0.1182751,0.0008872687,0.0001155883,0.006390836,0.01056883,0.01698711,0.0002499587,3.832247E-05,0.005351756,0,3.083097E-06,0.07047509,0.01616075,0.03604189,0.04721016,4.181088,2.10192,3.747705,1.517322,5.6306,1.294468,0.7407262,0.004157109,5.464758,39.63651,3.857491,1.267927,0.4838378,0.3760836,0.419063,2.445216,8.261031,4.777061,3.089103,14.2961,14.32599,51.46784,33.96627,7.210547,59.55432,2.282759,6.052878,3.496084,0.4162967,14.46331,31.23669,0.378371,41.11544,35.02127,20.23381,397.3347,218.3106,451.1409
18,0.002015127,0.01387239,0.002810778,0.09944072,0.07514162,0.1951782,0.04703747,0.003650377,1.837561,0.002591218,0.05924458,0.0171224,0.06418141,0.001937242,0.01234583,0.02158419,0.02692219,0.02126166,0.2517767,0.003995096,0.02975762,0.04269449,0.02643718,0.01626565,0.003373865,0.004087347,0.02756792,0.0760743,0.09682362,0.2301573,0.1241375,0.0008974556,0.0001158821,0.006513385,0.01069859,0.01724938,0.0002513886,3.844656E-05,0.00542976,0,7.263031E-06,0.07128274,0.01586865,0.03688233,0.04741761,4.210974,2.096407,3.768229,1.502543,5.577416,1.299059,0.7368548,0.004208952,5.479452,41.09253,3.729681,1.220227,0.4192968,0.3797495,0.3918081,2.398005,7.705009,4.617219,2.881683,14.06732,14.76875,50.68072,30.76736,6.80363,60.90431,2.578614,7.110141,3.973869,0.454719,13.79646,32.51268,0.3790016,44.03519,36.7481,21.04082,433.124,230.3709,439.4084
19,0.002089496,0.01380164,0.002772656,0.09835334,0.07380413,0.1949297,0.04575109,0.003745576,1.869697,0.002505234,0.05895486,0.01726828,0.06668859,0.001826803,0.01254409,0.02286696,0.02711732,0.02031076,0.2467925,0.003968725,0.03009839,0.04264077,0.02804564,0.0165149,0.00344882,0.00389275,0.02715638,0.0754493,0.0975293,0.2442427,0.127475,0.0009074979,0.000116096,0.006638495,0.01080941,0.01749024,0.0002527231,3.851892E-05,0.005504291,0,1.107879E-05,0.07201006,0.015419,0.03777003,0.04748669,4.220465,2.081295,3.779709,1.484525,5.483139,1.30143,0.7320551,0.004221301,5.474779,42.7593,3.608712,1.177997,0.3526506,0.3852438,0.3637623,2.38358,7.162546,4.418369,2.643507,14.04169,15.38366,50.04868,28.69641,6.581307,65.02364,2.764328,8.00478,4.408139,0.5037779,14.89895,32.91806,0.3838343,48.78176,39.62154,22.58278,475.2319,240.5047,436.5832
20,0.002162547,0.01373113,0.002735366,0.09734165,0.0724971,0.1943876,0.04445298,0.003829228,1.961994,0.002459509,0.05830164,0.01740385,0.06894977,0.001732596,0.01279589,0.02421889,0.0273007,0.01932163,0.2414536,0.00398517,0.03046643,0.04266526,0.02976921,0.01663245,0.00352895,0.003788313,0.02668824,0.07461196,0.0987456,0.2603553,0.1293593,0.0009173898,0.0001162157,0.006762264,0.01090755,0.01770838,0.0002539501,3.842428E-05,0.005575081,0,1.772164E-05,0.07267013,0.01493566,0.03849969,0.04743134,4.214147,2.058787,3.784463,1.464826,5.367139,1.302875,0.7265754,0.004201015,5.454382,44.24228,3.502695,1.13712,0.2999469,0.3927633,0.3395863,2.38556,6.704964,4.214818,2.43245,14.24631,16.26178,49.67067,28.03838,6.643244,69.19881,2.913645,8.85615,4.846317,0.5556827,17.09447,34.0411,0.3929374,54.45988,41.06331,23.07371,512.5497,250.8049,446.0712
