"<HEADER software/>"
EwEVersion,"6.7.0.17922 (compiled 8/29/2022)"
Date,"10/26/2022 12:32:43 PM"
"<HEADER ecopath/>"
ModelName,"WFS EwE 2.09"
"<HEADER ecosim/>"
EcosimScenario,sim12_fit97v_ecospace_Vs
TimeSeries,-
StartYear,1985
"<HEADER ecospace/>"
EcospaceScenario,"sp1_ecospace diagnostics"
MapRows,34
MapCols,40
MapCellLength,18.52216
MapCellSize,0.1666667
MapLatitude,30.5823
MapLongitude,-87.5833
NoActiveCells,975
EcoSpaceTimeStepLength,0.0833333333333333
CoordinateSystemWKT),"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
"Layer 1 Primary Production",PP
"Layer 1 SST",SST
"Layer 2 SBT",SBT
"Layer 3 SSS",SSS
"Layer 5 Red tide",complete_red_tide
"<HEADER end/>"
Max Age,134
Timestep, Region,"Spanish mackerel juv"_0,"Spanish mackerel juv"_1,"Spanish mackerel juv"_2,"Spanish mackerel juv"_3,"Spanish mackerel juv"_4,"Spanish mackerel juv"_5,"Spanish mackerel juv"_6,"Spanish mackerel juv"_7,"Spanish mackerel juv"_8,"Spanish mackerel juv"_9,"Spanish mackerel juv"_10,"Spanish mackerel juv"_11,"Spanish mackerel adult"_12,"Spanish mackerel adult"_13,"Spanish mackerel adult"_14,"Spanish mackerel adult"_15,"Spanish mackerel adult"_16,"Spanish mackerel adult"_17,"Spanish mackerel adult"_18,"Spanish mackerel adult"_19,"Spanish mackerel adult"_20,"Spanish mackerel adult"_21,"Spanish mackerel adult"_22,"Spanish mackerel adult"_23,"Spanish mackerel adult"_24,"Spanish mackerel adult"_25,"Spanish mackerel adult"_26,"Spanish mackerel adult"_27,"Spanish mackerel adult"_28,"Spanish mackerel adult"_29,"Spanish mackerel adult"_30,"Spanish mackerel adult"_31,"Spanish mackerel adult"_32,"Spanish mackerel adult"_33,"Spanish mackerel adult"_34,"Spanish mackerel adult"_35,"Spanish mackerel adult"_36,"Spanish mackerel adult"_37,"Spanish mackerel adult"_38,"Spanish mackerel adult"_39,"Spanish mackerel adult"_40,"Spanish mackerel adult"_41,"Spanish mackerel adult"_42,"Spanish mackerel adult"_43,"Spanish mackerel adult"_44,"Spanish mackerel adult"_45,"Spanish mackerel adult"_46,"Spanish mackerel adult"_47,"Spanish mackerel adult"_48,"Spanish mackerel adult"_49,"Spanish mackerel adult"_50,"Spanish mackerel adult"_51,"Spanish mackerel adult"_52,"Spanish mackerel adult"_53,"Spanish mackerel adult"_54,"Spanish mackerel adult"_55,"Spanish mackerel adult"_56,"Spanish mackerel adult"_57,"Spanish mackerel adult"_58,"Spanish mackerel adult"_59,"Spanish mackerel adult"_60,"Spanish mackerel adult"_61,"Spanish mackerel adult"_62,"Spanish mackerel adult"_63,"Spanish mackerel adult"_64,"Spanish mackerel adult"_65,"Spanish mackerel adult"_66,"Spanish mackerel adult"_67,"Spanish mackerel adult"_68,"Spanish mackerel adult"_69,"Spanish mackerel adult"_70,"Spanish mackerel adult"_71,"Spanish mackerel adult"_72,"Spanish mackerel adult"_73,"Spanish mackerel adult"_74,"Spanish mackerel adult"_75,"Spanish mackerel adult"_76,"Spanish mackerel adult"_77,"Spanish mackerel adult"_78,"Spanish mackerel adult"_79,"Spanish mackerel adult"_80,"Spanish mackerel adult"_81,"Spanish mackerel adult"_82,"Spanish mackerel adult"_83,"Spanish mackerel adult"_84,"Spanish mackerel adult"_85,"Spanish mackerel adult"_86,"Spanish mackerel adult"_87,"Spanish mackerel adult"_88,"Spanish mackerel adult"_89,"Spanish mackerel adult"_90,"Spanish mackerel adult"_91,"Spanish mackerel adult"_92,"Spanish mackerel adult"_93,"Spanish mackerel adult"_94,"Spanish mackerel adult"_95,"Spanish mackerel adult"_96,"Spanish mackerel adult"_97,"Spanish mackerel adult"_98,"Spanish mackerel adult"_99,"Spanish mackerel adult"_100,"Spanish mackerel adult"_101,"Spanish mackerel adult"_102,"Spanish mackerel adult"_103,"Spanish mackerel adult"_104,"Spanish mackerel adult"_105,"Spanish mackerel adult"_106,"Spanish mackerel adult"_107,"Spanish mackerel adult"_108,"Spanish mackerel adult"_109,"Spanish mackerel adult"_110,"Spanish mackerel adult"_111,"Spanish mackerel adult"_112,"Spanish mackerel adult"_113,"Spanish mackerel adult"_114,"Spanish mackerel adult"_115,"Spanish mackerel adult"_116,"Spanish mackerel adult"_117,"Spanish mackerel adult"_118,"Spanish mackerel adult"_119,"Spanish mackerel adult"_120,"Spanish mackerel adult"_121,"Spanish mackerel adult"_122,"Spanish mackerel adult"_123,"Spanish mackerel adult"_124,"Spanish mackerel adult"_125,"Spanish mackerel adult"_126,"Spanish mackerel adult"_127,"Spanish mackerel adult"_128,"Spanish mackerel adult"_129,"Spanish mackerel adult"_130,"Spanish mackerel adult"_131,"Spanish mackerel adult"_132,"Spanish mackerel adult"_133,"Spanish mackerel adult"_134
0,Ecosim Base Values,0,1.517479E-05,0.0001169456,0.0003802745,0.0008686027,0.001635035,0.002723421,0.004169342,0.006001001,0.008240045,0.01090231,0.01399849,0.01753474,0.02151326,0.02593275,0.03078891,0.03607484,0.04178138,0.04789748,0.0544105,0.06130645,0.06857022,0.07618592,0.08413684,0.09240588,0.1009755,0.109828,0.1189456,0.1283104,0.1379047,0.1477109,0.1577117,0.1678901,0.1782293,0.1887133,0.199326,0.2100522,0.2208769,0.2317857,0.2427648,0.2538008,0.2648809,0.2759928,0.2871248,0.2982657,0.3094047,0.3205318,0.3316373,0.3427121,0.3537475,0.3647356,0.3756684,0.3865389,0.3973404,0.4080664,0.4187112,0.4292692,0.4397352,0.4501047,0.4603732,0.4705368,0.4805918,0.4905349,0.5003629,0.5100733,0.5196635,0.5291312,0.5384747,0.5476921,0.5567822,0.5657434,0.574575,0.5832759,0.5918457,0.6002837,0.6085896,0.6167635,0.6248051,0.6327147,0.6404924,0.6481388,0.6556543,0.6630393,0.6702948,0.6774213,0.68442,0.6912917,0.6980374,0.7046583,0.7111554,0.71753,0.7237833,0.7299168,0.7359316,0.7418293,0.7476113,0.753279,0.7588338,0.7642773,0.7696112,0.7748368,0.7799558,0.7849697,0.7898801,0.7946886,0.7993969,0.8040065,0.8085189,0.8129359,0.817259,0.8214899,0.8256299,0.829681,0.8336443,0.8375218,0.8413148,0.8450249,0.8486536,0.8522025,0.8556731,0.8590668,0.8623852,0.8656295,0.8688014,0.8719022,0.8749334,0.8778962,0.8807921,0.8836225,0.8863887,0.8890918,0.8917333,0.8943146,0.8968366,0.9219052
1,2,4.985284E-11,1.769549E-05,0.0001550748,0.000446794,0.0009116629,0.00169611,0.003001488,0.004405633,0.005372196,0.009367648,0.01026355,0.01235399,0.01614619,0.01507354,0.01431878,0.01535879,0.01497645,0.0150451,0.01518332,0.01345483,0.01463789,0.01593803,0.01632705,0.01745145,0.01800331,0.02097036,0.02427144,0.02594349,0.02749063,0.02923031,0.03050801,0.03404552,0.03519873,0.03859325,0.04169999,0.04155556,0.04564255,0.04852046,0.05200129,0.05254878,0.05392132,0.05860089,0.06263001,0.06363837,0.06676795,0.06773619,0.07095981,0.07913567,0.07680297,0.0792563,0.08477668,0.08593269,0.09073518,0.08773162,0.09420344,0.09510785,0.1039661,0.105752,0.106465,0.112788,0.1144934,0.1159034,0.1132941,0.1244392,0.1232502,0.1224395,0.1302667,0.1335486,0.1300101,0.1396036,0.1442941,0.1486085,0.1459879,0.1534934,0.1517689,0.1590718,0.1562666,0.1595297,0.1616224,0.1663814,0.1604968,0.174192,0.1667983,0.1793098,0.1743213,0.1704288,0.1792001,0.1774234,0.1665735,0.179052,0.1908947,0.1868247,0.1913783,0.185946,0.1868873,0.200028,0.1859942,0.1999255,0.1900545,0.2054994,0.2036046,0.2063978,0.2033403,0.2150841,0.2137519,0.2120402,0.2142502,0.2164825,0.2077376,0.2168388,0.223755,0.224653,0.2315565,0.2255232,0.2155258,0.2187928,0.2337833,0.2245028,0.2247235,0.2171981,0.2334052,0.2319863,0.2346732,0.2370311,0.2407407,0.2378641,0.2299841,0.2332882,0.2414769,0.2366192,0.24314,0.2455591,0.2308291,0.2478381,0.2503408
2,2,5.411747E-11,1.742708E-05,0.0001468893,0.000453094,0.001064433,0.001747187,0.002877088,0.004321715,0.006693444,0.008357771,0.01187233,0.01455198,0.01682067,0.01602795,0.01582053,0.0160738,0.01535084,0.01462836,0.01560936,0.01630205,0.01504561,0.01605763,0.01764095,0.01744995,0.0188743,0.01902086,0.02329734,0.02546144,0.02738612,0.02979929,0.03038553,0.03355614,0.0373671,0.03681294,0.04011797,0.04295992,0.04510075,0.04774622,0.04939857,0.05275428,0.05306541,0.05715895,0.0596149,0.06482971,0.06620263,0.06875879,0.07049751,0.07364969,0.08127972,0.08010307,0.08186069,0.08324564,0.08731437,0.09212557,0.0889989,0.0981183,0.09835926,0.1032933,0.1054078,0.1082015,0.1138387,0.1192902,0.11642,0.1103126,0.1240545,0.1244428,0.1259364,0.130309,0.1311975,0.1270604,0.1428194,0.1450035,0.1490223,0.1488941,0.1546077,0.1546717,0.1586297,0.1578908,0.1603281,0.156058,0.16584,0.1591875,0.1727465,0.1643894,0.1763522,0.1747912,0.1670554,0.1801325,0.1713481,0.1697758,0.1831525,0.1923046,0.185921,0.1896129,0.1900745,0.1852135,0.2007618,0.1812491,0.1988871,0.1891601,0.2052417,0.2004675,0.2041129,0.20036,0.2130244,0.2059807,0.2100308,0.2100823,0.2154227,0.2026756,0.2176195,0.2194379,0.2187023,0.2295115,0.2144653,0.2114567,0.2160185,0.232501,0.2247663,0.2234394,0.2122138,0.231305,0.2258488,0.2259245,0.2356632,0.236782,0.2340886,0.2288028,0.2283876,0.2439448,0.236167,0.23853,0.2368623,0.2336728,0.2494027
3,2,5.294102E-11,1.9488E-05,0.0001624848,0.0004702005,0.001080873,0.00200021,0.002864385,0.004718355,0.006555713,0.009341763,0.01169633,0.01504281,0.0186413,0.01770502,0.01647407,0.0159018,0.01544525,0.01618755,0.01527626,0.01753692,0.01720371,0.01559684,0.01752676,0.01863927,0.01884056,0.02027594,0.0216008,0.02622999,0.02830781,0.02996466,0.03191275,0.0314437,0.03596678,0.03942293,0.03960954,0.04368193,0.04548012,0.04581425,0.0516206,0.05089559,0.05485065,0.05640934,0.05768897,0.06055507,0.06514714,0.06663425,0.07241857,0.07152774,0.07707822,0.08135995,0.08400898,0.08454965,0.08716237,0.08893641,0.09461156,0.09227012,0.09966581,0.1010461,0.1041557,0.1049034,0.1118372,0.1138131,0.1164516,0.1178359,0.1170952,0.1238591,0.1272834,0.1272105,0.1325468,0.1312217,0.1291873,0.1417147,0.1394968,0.1512371,0.1492431,0.1496591,0.1554579,0.1586948,0.1529404,0.1572606,0.1546268,0.1663324,0.1626501,0.1759148,0.1655807,0.176507,0.1734655,0.164355,0.1797396,0.1694577,0.1666231,0.1838336,0.1917189,0.1833568,0.1886654,0.1850373,0.1896161,0.1993653,0.1798063,0.1993111,0.18875,0.2027,0.2014002,0.1942419,0.2032981,0.2156248,0.209104,0.2104878,0.2091246,0.2128683,0.1958174,0.2204144,0.2139806,0.2210606,0.2229999,0.2150079,0.2126824,0.2122638,0.2240889,0.2182702,0.2230747,0.2078904,0.2241789,0.2223558,0.2270608,0.2282664,0.2336108,0.2310861,0.2229267,0.2257758,0.2370992,0.2338085,0.2300214,0.2337305,0.234513
4,2,5.176457E-11,2.593559E-05,0.0001886831,0.0005034791,0.001072499,0.002008329,0.003582003,0.004562752,0.007144341,0.009474488,0.0123279,0.01482505,0.02035385,0.01874804,0.01683561,0.01562392,0.01691554,0.01742625,0.01670868,0.01683706,0.01839823,0.01858956,0.01672493,0.01889274,0.02030264,0.02029045,0.02066987,0.02344609,0.02813092,0.03040518,0.0322432,0.03336056,0.03508214,0.03674817,0.04122254,0.04157985,0.04551164,0.04714263,0.04745284,0.05275414,0.05298372,0.05722456,0.05859299,0.05943286,0.06307276,0.06889208,0.06926838,0.07522657,0.07356416,0.07762921,0.08339163,0.08598973,0.0878764,0.0871097,0.09011508,0.09548227,0.09765774,0.1001304,0.09898338,0.1041432,0.1066772,0.1089178,0.1180314,0.1215085,0.1162703,0.1189388,0.1231648,0.1281103,0.129394,0.1370953,0.1280198,0.1316977,0.1417394,0.1384689,0.1484939,0.1496694,0.1495935,0.1482147,0.1570139,0.1567637,0.1584015,0.153483,0.1636399,0.1594969,0.1669625,0.1654313,0.1781811,0.1667461,0.1599034,0.1796599,0.1732119,0.1743991,0.1836409,0.1923962,0.1870196,0.1852093,0.1868092,0.1816823,0.1976002,0.1788277,0.1988876,0.1925472,0.2007663,0.1985568,0.1934802,0.1982927,0.2080653,0.2038287,0.2094778,0.204715,0.2160669,0.1930707,0.2137048,0.2134433,0.2159546,0.2204423,0.2107878,0.2083551,0.2119273,0.2280662,0.2181674,0.2230702,0.209374,0.2260302,0.2230703,0.2284262,0.2288475,0.2320436,0.229361,0.2215491,0.2235064,0.2361149,0.2305226,0.2213184,0.2404604
5,2,5.411747E-11,2.103947E-05,0.0001838287,0.0005659379,0.001220523,0.002190608,0.003483559,0.005385567,0.007824227,0.01044629,0.0129402,0.01710916,0.01861974,0.02059211,0.02007316,0.01581979,0.01657844,0.01752232,0.01690708,0.01693199,0.01716739,0.01905197,0.01953477,0.01840381,0.02050321,0.02170246,0.02131678,0.02301705,0.02389646,0.03018298,0.03210051,0.03385151,0.03612474,0.03672819,0.03963785,0.04387453,0.04256815,0.04718797,0.04932343,0.05015595,0.05663791,0.05399133,0.05991862,0.06044416,0.06276086,0.06607629,0.07183351,0.07420408,0.07452018,0.07733706,0.08119615,0.08593805,0.08612082,0.09015799,0.09175993,0.09143362,0.09696943,0.09603655,0.1024775,0.1034625,0.1067152,0.1088855,0.1126205,0.1184294,0.1213285,0.1192863,0.1242279,0.1238442,0.1305455,0.1281916,0.1352641,0.134136,0.132875,0.1456503,0.138602,0.1466,0.1450056,0.1501372,0.1542075,0.1587482,0.1536587,0.1563449,0.1564736,0.1672416,0.1587387,0.1664379,0.1614244,0.1766788,0.1690006,0.1602739,0.1785936,0.1721865,0.1717735,0.1780703,0.1958601,0.177126,0.1846262,0.1826336,0.1825897,0.1974395,0.1819884,0.1953325,0.1874934,0.2039038,0.1956375,0.1967636,0.1918951,0.2087164,0.2049405,0.2110664,0.2055698,0.211759,0.2006706,0.2078779,0.2105106,0.2150391,0.2183246,0.2110094,0.214824,0.210257,0.2222961,0.215436,0.2250191,0.2038536,0.220711,0.2159526,0.2236456,0.2242645,0.2316586,0.2321337,0.2156599,0.2178989,0.2230044,0.2273214,0.232406
6,2,5.499981E-11,2.31832E-05,0.0001664452,0.0005979037,0.001388353,0.002400532,0.003975351,0.005730914,0.008049935,0.01029018,0.01285969,0.01745036,0.02240201,0.01780947,0.02019742,0.01875061,0.01659845,0.01664818,0.01865001,0.01739484,0.01788785,0.01926465,0.02090107,0.02074629,0.01986955,0.0216942,0.02285391,0.02382511,0.02523251,0.02654836,0.03107533,0.032721,0.03642429,0.03873808,0.0392773,0.04313855,0.04563309,0.04278259,0.04863825,0.05133751,0.05319897,0.05686998,0.05677025,0.06334669,0.06262286,0.06487897,0.06790794,0.07461401,0.07620483,0.076428,0.07751917,0.08146873,0.08781851,0.09003864,0.09056973,0.09320351,0.09380216,0.1013688,0.1011216,0.1069938,0.1047218,0.1081133,0.1103095,0.1132787,0.1228892,0.1213695,0.118353,0.1222034,0.1269127,0.1274308,0.13191,0.1353136,0.1327218,0.1326816,0.1423249,0.1368408,0.1524551,0.147562,0.1442082,0.1537518,0.1639192,0.1557965,0.1563531,0.1581637,0.1695164,0.1606873,0.1658063,0.1655841,0.1765471,0.1723452,0.1601949,0.1812807,0.1677122,0.1716755,0.1780666,0.187487,0.1792427,0.182588,0.1803153,0.186759,0.1919041,0.1803409,0.1927711,0.1856205,0.2006554,0.2008495,0.1970042,0.195676,0.2061863,0.2006143,0.2085959,0.2030994,0.2124096,0.1974036,0.2061873,0.2088015,0.2149862,0.2106322,0.2026335,0.2089609,0.2041524,0.223329,0.2171884,0.2225265,0.2004629,0.2295587,0.2206877,0.2227585,0.232751,0.2283929,0.2269356,0.2116047,0.2149497,0.2222311,0.2338159
7,2,5.102929E-11,2.392168E-05,0.0001728958,0.0005384267,0.001449205,0.002532498,0.00372564,0.005750571,0.008158928,0.01127481,0.0145188,0.01788964,0.02357959,0.02248003,0.01893123,0.02092901,0.02019269,0.01776887,0.01732604,0.01894297,0.01872452,0.0189753,0.01990109,0.02129306,0.02100278,0.02181491,0.0233005,0.02499971,0.02552866,0.02635797,0.02790341,0.033336,0.03537801,0.03853545,0.04162955,0.04069491,0.04443719,0.04689108,0.0464735,0.05180649,0.0527729,0.0569854,0.058785,0.05935567,0.06550948,0.06623395,0.067738,0.07009509,0.07691905,0.07929424,0.07799965,0.08147341,0.08362687,0.08845208,0.08899197,0.0901133,0.09777038,0.09783249,0.09912141,0.1035405,0.1088545,0.1056595,0.108321,0.1100898,0.1152538,0.1221515,0.1222436,0.1189506,0.1213686,0.1270264,0.12937,0.1370903,0.1396959,0.1308593,0.1330281,0.1471083,0.1414589,0.149973,0.1449455,0.1492291,0.153216,0.1633825,0.1577344,0.1611387,0.1562923,0.1667997,0.1544392,0.1654474,0.1610709,0.1808844,0.1716157,0.1614193,0.1804185,0.1699732,0.1691389,0.1781517,0.1890009,0.1766107,0.1805159,0.180864,0.1793174,0.1922255,0.1818389,0.1900839,0.181299,0.2025564,0.1975503,0.1948676,0.19404,0.2103523,0.1970499,0.2074097,0.1990774,0.208657,0.1988549,0.2087465,0.2095824,0.2149734,0.2147808,0.2064258,0.2078287,0.2026546,0.2252434,0.215923,0.2167766,0.2007207,0.2195861,0.2106296,0.2179601,0.228607,0.2284585,0.2248023,0.2190679,0.2160736,0.2331682
8,2,5.191162E-11,2.686843E-05,0.0002535698,0.0005937978,0.001247102,0.002842151,0.004523517,0.006332554,0.009444489,0.01121773,0.01540988,0.0192442,0.02434667,0.02335702,0.0232935,0.01941893,0.02069345,0.01921543,0.01861102,0.01779854,0.02019228,0.01963839,0.02022842,0.02147828,0.02244188,0.02318611,0.02324634,0.02481112,0.0270077,0.02803266,0.02874796,0.02957872,0.03629567,0.0376733,0.04072253,0.04300256,0.04332141,0.0482868,0.04976394,0.05027341,0.05396548,0.05596976,0.05831976,0.06180461,0.06243674,0.06891378,0.07010635,0.07067827,0.07130785,0.0774276,0.08220205,0.08220197,0.08025291,0.0877907,0.09022325,0.09093335,0.09093078,0.100161,0.0968366,0.1038674,0.1051433,0.1128668,0.1050569,0.1106498,0.1146172,0.1138149,0.1216499,0.126456,0.119354,0.1237857,0.1263086,0.1298598,0.1344276,0.1405718,0.134331,0.1360485,0.1490577,0.1431882,0.151118,0.1466923,0.1488675,0.1516212,0.161217,0.1582548,0.1585614,0.1591209,0.1641322,0.1595273,0.1657102,0.1618739,0.1790871,0.1748025,0.1620657,0.1759811,0.1725805,0.1686155,0.1793602,0.1891777,0.1781622,0.1829465,0.1798958,0.1824974,0.1914258,0.1817714,0.1895234,0.1839546,0.1995071,0.1958802,0.1889289,0.1918566,0.2070558,0.2016984,0.2078227,0.2046516,0.2107483,0.19612,0.2025174,0.2125391,0.2132414,0.2113825,0.2099668,0.2020613,0.2015439,0.2235886,0.206344,0.216721,0.2032648,0.217349,0.2154677,0.2131024,0.2245534,0.2287567,0.2251598,0.2123389,0.2283086
9,2,5.397041E-11,2.485267E-05,0.0002236218,0.0007242437,0.001385934,0.00257705,0.004670212,0.006683486,0.009023136,0.01244596,0.01666177,0.01983999,0.02459262,0.02432689,0.0229627,0.02324563,0.01883398,0.02130486,0.02073823,0.01867075,0.0178246,0.02062145,0.01961382,0.02111731,0.02211883,0.02331628,0.02656314,0.02490086,0.02649653,0.02824839,0.02929574,0.029555,0.03225857,0.03826122,0.04031368,0.04387604,0.04508004,0.04457147,0.0494577,0.05257014,0.05238657,0.05588246,0.05614405,0.06121652,0.06246735,0.06181426,0.06835958,0.07076919,0.07229382,0.07424621,0.0799651,0.08451062,0.08502858,0.08205308,0.09204019,0.09303025,0.09293479,0.09344356,0.09947658,0.1025079,0.1031878,0.1057726,0.112848,0.1048974,0.109983,0.1176509,0.1180922,0.1251941,0.1284361,0.1227998,0.1241933,0.1286827,0.1365038,0.1360773,0.143311,0.1339999,0.1364338,0.1453393,0.1484468,0.1506101,0.1426302,0.1488749,0.1547805,0.1605858,0.162818,0.1608139,0.1582244,0.168707,0.1667026,0.1702753,0.1617292,0.1789747,0.1737968,0.160958,0.1770059,0.1718113,0.1762984,0.1770387,0.1865979,0.1739943,0.1825098,0.1787504,0.1848771,0.1971574,0.1793746,0.1897237,0.1849275,0.200084,0.1968461,0.1890551,0.1909045,0.200359,0.1973083,0.2079955,0.2011147,0.2122523,0.1938146,0.2101016,0.2089649,0.213573,0.2137074,0.206213,0.2097131,0.2066623,0.2157701,0.2051987,0.2182938,0.2062899,0.2150859,0.2130337,0.2144306,0.2239895,0.223367,0.2345273,0.2176735
