"LO"	"HI"	"INIT"	"PRIOR"	"PR_SD"	"PR_type"	"PHASE"	"desc"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_13_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_13_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_13_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_13_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_14_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_14_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_14_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_14_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_15_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_15_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_15_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_15_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_16_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_16_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_16_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_16_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_17_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_17_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_17_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_17_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_18_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_18_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_18_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_18_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_19_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_19_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_19_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_19_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_20_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_20_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_20_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_20_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_21_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_21_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_21_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_21_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_22_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_22_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_22_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_22_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_23_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_23_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_23_BLK1add_2018"
0	1.21	0.0109290317446471	0.0109290317446471	0.033017352668549	6	4	"# NatM_break_1_Fem_GP_23_BLK1add_2019"
0	1.21	0.241776197148309	0.241776197148309	0.681884528092056	6	4	"# NatM_break_1_Fem_GP_24_BLK1add_2005"
0	1.21	0.0012301925019332	0.0012301925019332	0.00175616755401318	6	4	"# NatM_break_1_Fem_GP_24_BLK1add_2006"
0	1.21	0.0463221566816254	0.0463221566816254	0.0781754516149744	6	4	"# NatM_break_1_Fem_GP_24_BLK1add_2018"
